id_snippet,modello,layer_analizzato,cosine_similarity_PJ_vs_AP,valore_assoluto
1,Qwen/Qwen2.5-7B-Instruct,18,0.1693115234375,0.1693115234375
3,Qwen/Qwen2.5-7B-Instruct,18,0.280029296875,0.280029296875
4,Qwen/Qwen2.5-7B-Instruct,18,0.2900390625,0.2900390625
6,Qwen/Qwen2.5-7B-Instruct,18,0.104248046875,0.104248046875
7,Qwen/Qwen2.5-7B-Instruct,18,0.1385498046875,0.1385498046875
9,Qwen/Qwen2.5-7B-Instruct,18,0.2010498046875,0.2010498046875
10,Qwen/Qwen2.5-7B-Instruct,18,0.261474609375,0.261474609375
11,Qwen/Qwen2.5-7B-Instruct,18,0.1546630859375,0.1546630859375
12,Qwen/Qwen2.5-7B-Instruct,18,0.152099609375,0.152099609375
14,Qwen/Qwen2.5-7B-Instruct,18,0.14453125,0.14453125
15,Qwen/Qwen2.5-7B-Instruct,18,0.1051025390625,0.1051025390625
16,Qwen/Qwen2.5-7B-Instruct,18,0.11566162109375,0.11566162109375
18,Qwen/Qwen2.5-7B-Instruct,18,0.10150146484375,0.10150146484375
19,Qwen/Qwen2.5-7B-Instruct,18,0.20556640625,0.20556640625
20,Qwen/Qwen2.5-7B-Instruct,18,0.0261383056640625,0.0261383056640625
21,Qwen/Qwen2.5-7B-Instruct,18,0.1419677734375,0.1419677734375
25,Qwen/Qwen2.5-7B-Instruct,18,0.08770751953125,0.08770751953125
26,Qwen/Qwen2.5-7B-Instruct,18,0.074951171875,0.074951171875
27,Qwen/Qwen2.5-7B-Instruct,18,0.264404296875,0.264404296875
28,Qwen/Qwen2.5-7B-Instruct,18,0.152099609375,0.152099609375
29,Qwen/Qwen2.5-7B-Instruct,18,0.2095947265625,0.2095947265625
30,Qwen/Qwen2.5-7B-Instruct,18,0.2069091796875,0.2069091796875
31,Qwen/Qwen2.5-7B-Instruct,18,0.11932373046875,0.11932373046875
32,Qwen/Qwen2.5-7B-Instruct,18,0.1187744140625,0.1187744140625
33,Qwen/Qwen2.5-7B-Instruct,18,0.18603515625,0.18603515625
34,Qwen/Qwen2.5-7B-Instruct,18,0.27783203125,0.27783203125
35,Qwen/Qwen2.5-7B-Instruct,18,0.1446533203125,0.1446533203125
36,Qwen/Qwen2.5-7B-Instruct,18,0.139404296875,0.139404296875
37,Qwen/Qwen2.5-7B-Instruct,18,0.33349609375,0.33349609375
38,Qwen/Qwen2.5-7B-Instruct,18,0.1278076171875,0.1278076171875
40,Qwen/Qwen2.5-7B-Instruct,18,0.0814208984375,0.0814208984375
41,Qwen/Qwen2.5-7B-Instruct,18,0.08233642578125,0.08233642578125
42,Qwen/Qwen2.5-7B-Instruct,18,0.158935546875,0.158935546875
43,Qwen/Qwen2.5-7B-Instruct,18,0.2408447265625,0.2408447265625
44,Qwen/Qwen2.5-7B-Instruct,18,0.382080078125,0.382080078125
45,Qwen/Qwen2.5-7B-Instruct,18,0.1826171875,0.1826171875
46,Qwen/Qwen2.5-7B-Instruct,18,0.321533203125,0.321533203125
48,Qwen/Qwen2.5-7B-Instruct,18,0.25927734375,0.25927734375
49,Qwen/Qwen2.5-7B-Instruct,18,0.1400146484375,0.1400146484375
50,Qwen/Qwen2.5-7B-Instruct,18,0.1790771484375,0.1790771484375
52,Qwen/Qwen2.5-7B-Instruct,18,0.14404296875,0.14404296875
53,Qwen/Qwen2.5-7B-Instruct,18,0.2066650390625,0.2066650390625
