MODELLO,LAYER,Cosine_AA_vs_AP,Cosine_AA_vs_PI,Cosine_AP_vs_PI
Qwen/Qwen2.5-7B-Instruct,0,0.2057693302631378,-0.0925421863794326,0.3871343731880188
Qwen/Qwen2.5-7B-Instruct,1,0.2399302870035171,-0.0221355855464935,0.3172532618045807
Qwen/Qwen2.5-7B-Instruct,2,0.2466902881860733,0.0874463617801666,0.33008873462677
Qwen/Qwen2.5-7B-Instruct,3,0.3432153463363647,0.2884747684001922,0.4770299792289734
Qwen/Qwen2.5-7B-Instruct,4,0.3412908911705017,0.3511571884155273,0.5149903297424316
Qwen/Qwen2.5-7B-Instruct,5,0.3776441216468811,0.3035153448581695,0.3979946076869964
Qwen/Qwen2.5-7B-Instruct,6,0.4394485652446747,0.3844258785247803,0.370258092880249
Qwen/Qwen2.5-7B-Instruct,7,0.4833960831165313,0.4085400104522705,0.362449049949646
Qwen/Qwen2.5-7B-Instruct,8,0.5407612323760986,0.4452854096889496,0.3724622130393982
Qwen/Qwen2.5-7B-Instruct,9,0.5253013968467712,0.4671507179737091,0.2892244756221771
Qwen/Qwen2.5-7B-Instruct,10,0.5080491900444031,0.4773738384246826,0.2181273847818374
Qwen/Qwen2.5-7B-Instruct,11,0.4627004265785217,0.39372119307518,0.2258856296539306
Qwen/Qwen2.5-7B-Instruct,12,0.5061011910438538,0.3595663011074066,0.2232092916965484
Qwen/Qwen2.5-7B-Instruct,13,0.4917124509811401,0.3131421208381653,0.1559996902942657
Qwen/Qwen2.5-7B-Instruct,14,0.5001571178436279,0.2922161221504211,0.1992959678173065
Qwen/Qwen2.5-7B-Instruct,15,0.4536157846450805,0.2458304464817047,0.1883600354194641
Qwen/Qwen2.5-7B-Instruct,16,0.4581471383571625,0.2209701836109161,0.2061006277799606
Qwen/Qwen2.5-7B-Instruct,17,0.4521186351776123,0.1470927447080612,0.1190918833017349
Qwen/Qwen2.5-7B-Instruct,18,0.4366815686225891,0.1103804558515548,0.1842371523380279
Qwen/Qwen2.5-7B-Instruct,19,0.4697628319263458,0.1966738104820251,0.1369552165269851
Qwen/Qwen2.5-7B-Instruct,20,0.4682626724243164,0.1802433878183365,0.1149068027734756
Qwen/Qwen2.5-7B-Instruct,21,0.4701430797576904,0.1911277025938034,0.093385212123394
Qwen/Qwen2.5-7B-Instruct,22,0.4782597422599792,0.1985062211751938,0.0715796276926994
Qwen/Qwen2.5-7B-Instruct,23,0.4715457856655121,0.184346005320549,0.0522101372480392
Qwen/Qwen2.5-7B-Instruct,24,0.4949703812599182,0.1677199006080627,0.0918411538004875
Qwen/Qwen2.5-7B-Instruct,25,0.4770145416259765,0.1639852225780487,0.1365380883216858
Qwen/Qwen2.5-7B-Instruct,26,0.4820632934570312,0.1791711896657943,0.1614170521497726
Qwen/Qwen2.5-7B-Instruct,27,0.3556428253650665,0.0637079328298568,0.1920340061187744
Qwen/Qwen2.5-Coder-7B-Instruct,0,0.3267683088779449,0.5149924159049988,0.4962953925132751
Qwen/Qwen2.5-Coder-7B-Instruct,1,0.2821315824985504,0.4733501076698303,0.4251492023468017
Qwen/Qwen2.5-Coder-7B-Instruct,2,0.2776042819023132,0.414195567369461,0.4220651984214782
Qwen/Qwen2.5-Coder-7B-Instruct,3,0.4042254686355591,0.3965931236743927,0.4929558932781219
Qwen/Qwen2.5-Coder-7B-Instruct,4,0.4207630157470703,0.3759593665599823,0.4755710363388061
Qwen/Qwen2.5-Coder-7B-Instruct,5,0.4229331612586975,0.4067359864711761,0.4885770082473755
Qwen/Qwen2.5-Coder-7B-Instruct,6,0.4499351382255554,0.3650833964347839,0.4890177845954895
