modello,target_vero,target_predetto,codice
Qwen/Qwen2.5-7B-Instruct,Vulnerabile,Vulnerabile,"static int get_coc(Jpeg2000DecoderContext *s, Jpeg2000CodingStyle *c,

                   uint8_t *properties)

{

    int compno;



    if (s->buf_end - s->buf < 2)

        return AVERROR_INVALIDDATA;



    compno = bytestream_get_byte(&s->buf);



    c      += compno;

    c->csty = bytestream_get_byte(&s->buf);

    get_cox(s, c);



    properties[compno] |= HAD_COC;

    return 0;

}
"
Qwen/Qwen2.5-7B-Instruct,Vulnerabile,Vulnerabile,"static void do_change_block(const char *device, const char *filename)

{

    BlockDriverState *bs;



    bs = bdrv_find(device);

    if (!bs) {

        term_printf(""device not found\n"");

        return;

    }

    if (eject_device(bs, 0) < 0)

        return;

    bdrv_open(bs, filename, 0);

    qemu_key_check(bs, filename);

}
"
Qwen/Qwen2.5-7B-Instruct,Vulnerabile,Vulnerabile,"void block_job_cancel_sync(BlockJob *job)

{

    BlockDriverState *bs = job->bs;



    assert(bs->job == job);

    block_job_cancel(job);

    while (bs->job != NULL && bs->job->busy) {

        qemu_aio_wait();

    }

}
"
Qwen/Qwen2.5-7B-Instruct,Vulnerabile,Vulnerabile,"static void rtce_init(VIOsPAPRDevice *dev)

{

    size_t size = (dev->rtce_window_size >> SPAPR_VIO_TCE_PAGE_SHIFT)

        * sizeof(VIOsPAPR_RTCE);



    if (size) {

        dev->rtce_table = kvmppc_create_spapr_tce(dev->reg,

                                                  dev->rtce_window_size,

                                                  &dev->kvmtce_fd);



        if (!dev->rtce_table) {

            dev->rtce_table = g_malloc0(size);

        }

    }

}
"
Qwen/Qwen2.5-7B-Instruct,Vulnerabile,Vulnerabile,"static int get_uint8_equal(QEMUFile *f, void *pv, size_t size,

                           VMStateField *field)

{

    uint8_t *v = pv;

    uint8_t v2;

    qemu_get_8s(f, &v2);



    if (*v == v2) {

        return 0;


    error_report(""%x != %x"", *v, v2);




    return -EINVAL;
"
Qwen/Qwen2.5-7B-Instruct,Vulnerabile,Vulnerabile,"void virtio_panic(const char *string)

{

    sclp_print(string);

    disabled_wait();

    while (1) { }

}
"
Qwen/Qwen2.5-7B-Instruct,Vulnerabile,Vulnerabile,"static int scale_vector(int16_t *dst, const int16_t *vector, int length)

{

    int bits, max = 0;

    int i;



    for (i = 0; i < length; i++)

        max |= FFABS(vector[i]);



    bits  = normalize_bits(max, 15);



    if (bits == 15)

        for (i = 0; i < length; i++)

            dst[i] = vector[i] * 0x7fff >> 3;

    else

        for (i = 0; i < length; i++)

            dst[i] = vector[i] << bits >> 3;



    return bits - 3;

}
"
Qwen/Qwen2.5-7B-Instruct,Vulnerabile,Vulnerabile,"static inline int l3_unscale(int value, int exponent)

{

    unsigned int m;

    int e;



    e  = table_4_3_exp  [4 * value + (exponent & 3)];

    m  = table_4_3_value[4 * value + (exponent & 3)];

    e -= exponent >> 2;

#ifdef DEBUG

    if(e < 1)

        av_log(NULL, AV_LOG_WARNING, ""l3_unscale: e is %d\n"", e);

#endif

    if (e > (SUINT)31)

        return 0;

    m = (m + (1 << (e - 1))) >> e;



    return m;

}
"
Qwen/Qwen2.5-7B-Instruct,Vulnerabile,Vulnerabile,"static void dec_user(DisasContext *dc)

{

    LOG_DIS(""user"");



    cpu_abort(dc->env, ""user insn undefined\n"");

}
"
Qwen/Qwen2.5-7B-Instruct,Vulnerabile,Vulnerabile,"static void handle_satn_stop(ESPState *s)

{

    if (s->dma && !s->dma_enabled) {

        s->dma_cb = handle_satn_stop;

        return;

    }

    s->cmdlen = get_cmd(s, s->cmdbuf);

    if (s->cmdlen) {

        trace_esp_handle_satn_stop(s->cmdlen);

        s->do_cmd = 1;

        s->rregs[ESP_RSTAT] = STAT_TC | STAT_CD;

        s->rregs[ESP_RINTR] = INTR_BS | INTR_FC;

        s->rregs[ESP_RSEQ] = SEQ_CD;

        esp_raise_irq(s);

    }

}
"
Qwen/Qwen2.5-7B-Instruct,Vulnerabile,Vulnerabile,"static inline abi_long host_to_target_timespec(abi_ulong target_addr,

                                               struct timespec *host_ts)

{

    struct target_timespec *target_ts;



    if (!lock_user_struct(VERIFY_WRITE, target_ts, target_addr, 0))

        return -TARGET_EFAULT;

    target_ts->tv_sec = tswapal(host_ts->tv_sec);

    target_ts->tv_nsec = tswapal(host_ts->tv_nsec);

    unlock_user_struct(target_ts, target_addr, 1);

    return 0;

}
"
Qwen/Qwen2.5-Coder-7B-Instruct,Vulnerabile,Vulnerabile,"static int get_coc(Jpeg2000DecoderContext *s, Jpeg2000CodingStyle *c,

                   uint8_t *properties)

{

    int compno;



    if (s->buf_end - s->buf < 2)

        return AVERROR_INVALIDDATA;



    compno = bytestream_get_byte(&s->buf);



    c      += compno;

    c->csty = bytestream_get_byte(&s->buf);

    get_cox(s, c);



    properties[compno] |= HAD_COC;

    return 0;

}
"
Qwen/Qwen2.5-Coder-7B-Instruct,Vulnerabile,Vulnerabile,"static void count_usage(uint8_t *src, int width,

                        int height, uint32_t *counts)

{

    int i, j;



    for (j = 0; j < height; j++) {

        for (i = 0; i < width; i++) {

            counts[src[i]]++;

        }

        src += width;

    }

}
"
Qwen/Qwen2.5-Coder-7B-Instruct,Vulnerabile,Vulnerabile,"static void guest_fsfreeze_cleanup(void)

{

    int64_t ret;

    Error *err = NULL;



    if (ga_is_frozen(ga_state) == GUEST_FSFREEZE_STATUS_FROZEN) {

        ret = qmp_guest_fsfreeze_thaw(&err);

        if (ret < 0 || err) {

            slog(""failed to clean up frozen filesystems"");

        }

    }

}
"
Qwen/Qwen2.5-Coder-7B-Instruct,Vulnerabile,Vulnerabile,"static void do_change_block(const char *device, const char *filename)

{

    BlockDriverState *bs;



    bs = bdrv_find(device);

    if (!bs) {

        term_printf(""device not found\n"");

        return;

    }

    if (eject_device(bs, 0) < 0)

        return;

    bdrv_open(bs, filename, 0);

    qemu_key_check(bs, filename);

}
"
Qwen/Qwen2.5-Coder-7B-Instruct,Vulnerabile,Vulnerabile,"struct vhost_net *vhost_net_init(VLANClientState *backend, int devfd,

                                 bool force)

{


    return NULL;

}"
Qwen/Qwen2.5-Coder-7B-Instruct,Vulnerabile,Vulnerabile,"static void rtce_init(VIOsPAPRDevice *dev)

{

    size_t size = (dev->rtce_window_size >> SPAPR_VIO_TCE_PAGE_SHIFT)

        * sizeof(VIOsPAPR_RTCE);



    if (size) {

        dev->rtce_table = kvmppc_create_spapr_tce(dev->reg,

                                                  dev->rtce_window_size,

                                                  &dev->kvmtce_fd);



        if (!dev->rtce_table) {

            dev->rtce_table = g_malloc0(size);

        }

    }

}
"
