Layer,Baseline_Vanilla,Advanced_Adversarial_Fallita,Prompt_Injection_Fallita,Adversarial_Perturbation_Fallita
0,0.2062,0.6885,0.7246,1.537
1,0.2686,0.9355,1.004,1.676
2,0.353,1.299,1.769,2.414
3,0.4128,1.654,2.504,3.047
4,0.454,1.925,2.941,3.877
5,0.5137,2.438,3.385,4.67
6,0.5464,2.57,3.537,4.617
7,0.573,2.627,3.56,4.78
8,0.662,3.01,3.957,5.11
9,0.709,2.988,4.61,5.4
10,0.7227,3.236,4.586,5.824
11,0.837,3.557,4.93,6.066
12,0.8174,3.63,5.09,5.816
13,1.031,4.17,6.184,6.594
14,1.107,4.492,6.977,6.82
15,1.094,4.617,8.35,6.59
16,1.154,4.914,9.52,6.934
17,1.357,5.95,11.984,7.797
18,2.764,7.867,15.88,8.93
19,4.473,9.766,22.4,11.0
20,5.523,11.61,30.11,13.3
21,5.605,11.68,30.16,13.69
22,6.582,13.55,38.3,15.81
23,7.11,15.01,41.44,17.86
24,7.93,16.98,46.25,20.7
25,9.69,20.9,54.34,25.88
26,11.266,26.81,69.25,31.72
27,9.125,25.12,52.03,28.17
