Layer,Baseline_Vanilla (S_base - V_base),Steering_Overshooting (S_Steering - S_base),Steering_Forza (S_Steering - V_base),Steering_Confine (S_Steering - V_Steering)
0,0.2119,0.1945,0.04517,0.17
1,0.2773,0.25,0.06244,0.2346
2,0.3643,0.3462,0.08093,0.304
3,0.4316,0.4128,0.09344,0.349
4,0.4834,0.4646,0.10004,0.3762
5,0.542,0.514,0.1155,0.4307
6,0.5674,0.5337,0.1355,0.5093
7,0.587,0.5493,0.152,0.5728
8,0.6763,0.635,0.1785,0.6685
9,0.7354,0.7134,0.2292,0.861
10,0.7583,0.7554,0.2367,0.8896
11,0.8506,0.843,0.2637,0.988
12,0.8247,0.8223,0.2399,0.901
13,1.031,0.976,0.3013,1.129
14,1.134,1.0625,0.2954,1.112
15,1.121,1.041,0.2913,1.092
16,1.198,1.121,0.298,1.117
17,1.451,1.327,0.3499,1.314
18,2.414,2.217,0.4094,1.531
19,3.307,22.5,25.05,2.012
20,4.125,23.12,25.8,2.44
21,4.285,23.16,25.81,2.676
22,4.99,25.39,28.44,3.064
23,5.473,27.8,30.89,3.432
24,6.15,29.83,33.2,4.004
25,7.61,33.25,37.16,5.016
26,8.97,38.5,42.9,6.28
27,7.805,28.34,31.92,5.15
