Layer,Baseline_Sv_Vv,Sv_AA (Dist da Sicuro),Vv_AA (Shift Attacco),Sv_PI (Dist da Sicuro),Vv_PI (Shift Attacco),Sv_AP (Dist da Sicuro),Vv_AP (Shift Attacco)
0,0.299,1.101,0.9033,1.055,0.9575,1.981,1.951
1,0.3542,1.487,1.258,1.281,1.174,2.156,2.133
2,0.4514,1.982,1.76,1.84,1.757,2.984,2.947
3,0.5244,2.443,2.193,2.47,2.37,3.559,3.488
4,0.5806,2.611,2.365,3.059,2.908,4.074,3.977
5,0.7236,3.16,2.834,3.81,3.588,5.285,5.137
6,0.7456,3.486,3.191,4.043,3.81,5.63,5.457
7,0.864,3.918,3.547,4.742,4.414,6.32,6.027
8,1.115,4.258,3.793,4.85,4.473,6.508,6.12
9,1.246,4.703,4.11,5.832,5.332,7.176,6.64
10,1.287,4.97,4.33,6.176,5.59,7.305,6.72
11,1.3545,5.27,4.56,6.69,6.074,7.74,7.09
12,1.31,5.066,4.406,7.523,6.88,7.453,6.81
13,1.387,5.64,4.96,9.64,9.016,8.07,7.395
14,1.511,6.457,5.75,10.77,10.16,8.84,8.16
15,1.562,6.895,6.168,11.86,11.25,9.086,8.41
16,1.74,7.27,6.484,14.56,13.89,9.74,8.95
17,2.152,8.36,7.44,20.3,19.61,11.37,10.48
18,4.45,13.92,12.52,23.92,23.25,14.33,13.8
19,6.117,15.64,14.1,29.08,28.66,15.49,15.28
20,8.19,21.2,19.17,35.1,34.6,18.88,18.03
21,9.01,22.78,20.31,36.38,35.78,20.36,19.64
22,9.64,24.62,21.89,42.28,41.62,21.9,21.44
23,10.52,26.89,23.86,44.2,43.53,24.12,23.83
24,12.25,30.78,27.19,49.47,48.6,27.4,26.88
25,14.44,36.97,32.66,60.0,58.5,33.2,32.12
26,16.95,46.84,42.06,81.44,79.4,43.1,41.94
27,5.0,13.76,12.016,25.17,24.22,13.12,12.24
