Layer,Baseline_Vanilla,Advanced_Adversarial_Fallita,Prompt_Injection_Fallita,Adversarial_Perturbation_Fallita
0,0.2917,1.251,1.028,1.948
1,0.3506,1.686,1.241,2.145
2,0.4429,2.271,1.811,2.984
3,0.5146,2.773,2.432,3.604
4,0.5703,2.973,3.078,4.137
5,0.706,3.627,3.818,5.375
6,0.7124,3.95,4.01,5.77
7,0.813,4.324,4.703,6.523
8,0.9956,4.69,4.95,6.79
9,1.082,5.16,5.918,7.582
10,1.131,5.434,6.254,7.637
11,1.182,5.71,6.676,8.086
12,1.1455,5.414,7.473,7.793
13,1.224,5.926,9.5,8.38
14,1.385,6.668,10.555,9.234
15,1.432,7.062,11.56,9.49
16,1.557,7.418,14.35,10.25
17,2.043,8.555,20.16,12.02
18,4.42,14.14,23.8,15.336
19,6.19,16.47,28.5,16.97
20,9.46,22.33,34.47,22.0
21,10.15,24.39,35.56,23.8
22,11.055,26.27,41.84,25.53
23,12.234,28.67,43.9,27.89
24,14.055,32.94,49.22,31.69
25,16.62,39.53,59.38,37.88
26,19.5,49.6,80.8,48.03
27,5.727,14.51,24.9,14.61
