Layer,Baseline_Vanilla (S_base - V_base),Steering_Overshooting (S_Steering - S_base),Steering_Forza (S_Steering - V_base),Steering_Confine (S_Steering - V_Steering)
0,0.299,0.3882,0.2023,0.3152
1,0.3542,0.457,0.2462,0.3833
2,0.4514,0.621,0.347,0.541
3,0.5244,0.715,0.4478,0.6978
4,0.5806,0.7544,0.491,0.7646
5,0.7236,0.9004,0.5503,0.858
6,0.7456,0.9473,0.62,0.966
7,0.864,1.059,0.6714,1.046
8,1.115,1.226,0.72,1.119
9,1.246,1.299,0.739,1.153
10,1.287,1.264,0.8105,1.262
11,1.3545,1.338,0.88,1.37
12,1.31,1.282,0.8765,1.366
13,1.387,1.378,0.9624,1.499
14,1.511,1.484,1.03,1.602
15,1.562,1.523,1.024,1.596
16,1.74,1.594,1.174,1.827
17,2.152,1.965,1.467,2.283
18,4.45,3.477,2.385,3.713
19,6.117,37.28,42.8,5.723
20,8.19,36.4,42.97,7.137
21,9.01,37.75,45.03,7.87
22,9.64,40.1,47.84,8.52
23,10.52,42.34,50.7,9.49
24,12.25,45.53,54.97,11.195
25,14.44,49.53,60.53,13.53
26,16.95,54.22,66.5,16.27
27,5.0,14.914,18.44,4.695
