Layer,Baseline_Vanilla (S_base - V_base),AA_Overshooting (S_AA - S_base),AA_Forza (S_AA - V_base),AA_Confine (S_AA - V_AA),PI_Overshooting (S_PI - S_base),PI_Forza (S_PI - V_base),PI_Confine (S_PI - V_PI),AP_Overshooting (S_AP - S_base),AP_Forza (S_AP - V_base),AP_Confine (S_AP - V_AP)
0,0.0692,0.147,0.1005,0.0781,0.1456,0.11414,,0.1805,0.1411,0.02167
1,0.09937,0.2244,0.1567,0.1168,0.2263,0.193,,0.2983,0.243,0.03087
2,0.1411,0.3071,0.212,0.1726,0.3296,0.2812,,0.4065,0.335,0.04416
3,0.2212,0.501,0.3584,0.314,0.6587,0.605,,0.7314,0.634,0.0821
4,0.3716,0.952,0.78,0.6597,1.346,1.241,,1.577,1.469,0.1614
5,0.511,1.275,1.052,0.8984,1.881,1.784,,2.104,1.976,0.2272
6,0.58,1.528,1.264,1.045,2.191,2.078,,2.447,2.293,0.2908
7,0.7295,2.1,1.715,1.249,3.107,2.916,,3.543,3.256,0.4001
8,0.8726,2.629,2.115,1.548,3.55,3.299,,4.453,4.02,0.4905
9,1.0,3.066,2.48,1.865,4.176,3.863,,5.203,4.668,0.604
10,1.085,3.307,2.709,2.104,4.617,4.26,,5.54,4.99,0.6694
11,1.307,3.781,3.068,2.57,5.715,5.293,,6.38,5.684,0.7954
12,1.456,4.254,3.467,2.963,6.684,6.227,,7.11,6.32,0.8286
13,1.619,4.605,3.922,3.51,7.938,7.59,,7.63,6.816,0.937
14,1.909,5.953,5.29,5.074,11.52,11.305,,9.12,8.25,1.128
15,2.195,6.203,5.67,5.81,13.05,12.805,,10.86,9.82,1.2705
16,2.348,6.574,5.99,6.11,14.1,13.86,,11.305,10.195,1.382
17,2.426,6.9,6.305,6.445,14.984,14.75,,11.68,10.54,1.432
18,2.627,7.84,7.125,7.344,17.23,16.92,,12.81,11.52,1.588
19,2.928,8.914,8.05,7.875,19.02,18.61,,14.48,12.99,1.761
20,3.219,9.67,8.734,8.51,20.62,20.16,,15.46,13.836,1.903
21,3.482,10.4,9.37,9.164,22.31,21.81,,16.86,15.1,2.047
22,3.885,11.375,10.195,10.05,24.56,23.92,,18.53,16.52,2.244
23,4.28,12.66,11.29,10.97,27.0,26.42,,20.36,18.12,2.484
24,4.664,13.94,12.47,11.945,29.73,29.06,,22.3,19.88,2.762
25,5.055,15.69,14.12,13.03,32.9,32.16,,24.81,22.31,3.082
26,5.56,17.39,15.72,14.29,36.56,35.8,,27.1,24.33,3.352
27,6.06,19.6,17.73,15.53,40.34,39.62,,29.84,26.78,3.697
28,6.65,21.94,19.88,17.1,44.5,43.6,,33.75,30.3,4.086
29,7.426,24.4,22.02,18.42,48.72,47.66,,38.03,34.12,4.523
30,8.49,27.45,24.45,20.47,54.6,53.16,,42.7,38.06,5.05
31,3.133,9.9,8.6,6.9,18.53,17.81,,14.625,12.805,1.638
