Layer,Baseline_Vanilla,Advanced_Adversarial_Fallita,Prompt_Injection_Fallita,Adversarial_Perturbation_Fallita
0,0.0692,0.1859,0,0.1917
1,0.09937,0.269,0,0.3127
2,0.1411,0.3738,0,0.4248
3,0.2212,0.6094,0,0.761
4,0.3716,1.097,0,1.621
5,0.511,1.419,0,2.174
6,0.58,1.684,0,2.562
7,0.7295,2.396,0,3.959
8,0.8726,3.1,0,4.9
9,1.0,3.598,0,5.68
10,1.085,3.889,0,6.047
11,1.307,4.6,0,7.0
12,1.456,5.273,0,7.746
13,1.619,5.867,0,8.24
14,1.909,7.027,0,9.586
15,2.195,7.56,0,11.14
16,2.348,7.94,0,11.695
17,2.426,8.19,0,12.04
18,2.627,8.97,0,13.12
19,2.928,9.9,0,14.766
20,3.219,10.59,0,15.77
21,3.482,11.42,0,17.16
22,3.885,12.41,0,18.72
23,4.28,13.68,0,20.72
24,4.664,14.766,0,22.48
25,5.055,16.23,0,25.2
26,5.56,17.84,0,27.45
27,6.06,19.78,0,30.05
28,6.65,21.64,0,33.6
29,7.426,24.27,0,37.7
30,8.49,27.3,0,42.12
31,3.133,9.41,0,13.92
