Layer,Baseline_Vanilla (S_base - V_base),Steering_Overshooting (S_Steering - S_base),Steering_Forza (S_Steering - V_base),Steering_Confine (S_Steering - V_Steering)
0,0.0704,0.0694,0.00651,0.02744
1,0.10156,0.09814,0.01171,0.05148
2,0.1426,0.1378,0.02072,0.09106
3,0.2299,0.2179,0.03772,0.1648
4,0.3855,0.3657,0.071,0.3088
5,0.524,0.5083,0.1,0.4333
6,0.5996,0.5728,0.1196,0.5215
7,0.768,0.7153,0.16,0.694
8,0.9165,0.849,0.1941,0.838
9,1.045,0.9644,0.2236,0.96
10,1.13,1.034,0.2435,1.04
11,1.36,1.24,0.3386,1.413
12,1.536,1.381,0.3904,1.596
13,1.723,1.58,0.4514,1.797
14,2.09,13.98,15.4,2.186
15,2.299,14.81,16.3,2.475
16,2.428,15.6,17.1,2.652
17,2.496,16.17,17.67,2.768
18,2.7,17.45,18.95,2.979
19,3.018,18.64,20.23,3.418
20,3.27,20.1,21.75,3.703
21,3.557,21.7,23.5,4.086
22,3.977,23.77,25.78,4.47
23,4.367,26.08,28.25,4.95
24,4.707,28.56,30.88,5.465
25,5.13,30.94,33.38,6.152
26,5.67,34.1,36.84,6.848
27,6.125,37.44,40.28,7.57
28,6.703,41.06,44.16,8.25
29,7.438,45.16,48.6,9.055
30,8.36,50.06,53.72,10.266
31,2.959,18.34,19.7,3.918
