Layer,Baseline_Vanilla (S_base - V_base),AA_Overshooting (S_AA - S_base),AA_Forza (S_AA - V_base),AA_Confine (S_AA - V_AA),PI_Overshooting (S_PI - S_base),PI_Forza (S_PI - V_base),PI_Confine (S_PI - V_PI),AP_Overshooting (S_AP - S_base),AP_Forza (S_AP - V_base),AP_Confine (S_AP - V_AP)
0,0.4094,2.758,2.64,0.2961,1.806,1.827,0.3345,3.977,4.04,0.1863
1,0.4834,3.148,2.977,0.3667,2.88,2.816,0.3748,4.38,4.406,0.2123
2,0.7607,3.846,3.613,0.6025,7.273,7.195,0.51,6.832,6.88,0.2964
3,0.9473,4.84,4.633,0.797,11.66,11.78,0.6577,9.4,9.56,0.3835
4,1.148,5.848,5.582,0.9663,13.625,13.766,0.775,11.14,11.31,0.441
5,1.469,7.082,6.645,1.145,15.31,15.234,0.8745,13.04,13.164,0.4907
6,1.544,8.15,7.617,1.154,14.9,14.74,0.9478,13.195,13.21,0.5166
7,1.966,10.19,9.734,1.375,16.08,15.74,1.383,15.58,15.63,0.734
8,2.426,12.89,12.16,1.7705,18.34,17.78,1.796,18.64,18.6,0.9805
9,2.434,12.69,12.29,2.082,19.39,18.6,2.11,19.16,19.23,1.169
10,2.398,12.01,11.805,1.971,18.58,17.8,2.143,17.78,17.97,1.05
11,2.611,13.375,13.04,2.248,20.34,19.45,2.332,19.36,19.36,1.146
12,2.752,14.62,14.22,2.562,21.23,20.28,2.57,21.92,21.84,1.281
13,2.914,17.0,16.52,3.45,24.27,23.38,2.908,28.17,28.05,1.775
14,3.23,20.11,19.5,4.406,28.11,27.19,3.285,35.1,34.8,2.268
15,3.627,22.03,21.31,4.883,30.81,30.05,3.64,38.5,38.25,2.531
16,3.975,25.58,24.83,5.69,36.06,35.56,4.12,45.03,44.72,2.906
17,4.56,27.9,26.98,6.414,39.4,38.88,4.652,50.22,49.75,3.254
18,5.707,33.7,32.84,7.168,46.1,45.8,5.77,57.0,56.47,3.715
19,6.68,37.06,35.97,7.594,49.47,49.1,6.414,60.56,59.72,4.176
20,7.754,43.2,41.66,8.68,58.38,58.06,7.496,70.2,68.9,5.027
21,9.1,50.4,48.88,9.94,67.44,66.94,9.03,80.9,79.3,5.977
22,10.88,63.0,61.62,11.85,80.6,80.4,10.84,95.06,93.44,7.4
23,14.02,75.0,73.0,14.51,100.0,98.94,13.86,113.25,110.9,8.8
24,15.85,86.0,83.8,16.66,111.75,110.44,16.36,128.1,125.3,9.92
25,17.9,95.4,92.75,19.16,125.4,123.75,18.42,142.1,139.1,11.04
26,20.7,109.6,106.9,22.22,145.9,143.5,21.1,157.6,154.4,12.37
27,2.375,11.65,11.99,2.463,14.47,14.445,2.125,16.77,16.22,1.443
