Layer,Baseline_Vanilla,Advanced_Adversarial_Fallita,Prompt_Injection_Fallita,Adversarial_Perturbation_Fallita
0,0.4094,2.664,1.963,4.043
1,0.4834,3.186,3.084,4.492
2,0.7607,3.842,7.434,6.93
3,0.9473,4.75,11.6,9.414
4,1.148,5.81,13.57,11.13
5,1.469,6.996,15.4,12.95
6,1.544,8.25,15.08,13.21
7,1.966,10.234,16.5,15.69
8,2.426,13.055,19.0,18.83
9,2.434,12.91,20.17,19.27
10,2.398,12.35,20.19,18.12
11,2.611,13.85,22.58,19.78
12,2.752,15.16,23.77,22.95
13,2.914,16.23,25.61,27.22
14,3.23,18.6,30.75,33.47
15,3.627,20.5,33.62,36.44
16,3.975,23.0,39.1,41.53
17,4.56,25.62,43.94,47.03
18,5.707,30.66,50.44,52.84
19,6.68,33.94,54.56,56.4
20,7.754,39.25,63.66,64.7
21,9.1,46.06,74.5,74.56
22,10.88,56.62,88.06,87.0
23,14.02,68.94,110.5,106.94
24,15.85,78.94,124.0,119.6
25,17.9,88.9,143.2,137.0
26,20.7,103.44,169.1,151.1
27,2.375,12.52,21.58,15.78
