Layer,Baseline_Vanilla (S_base - V_base),Steering_Overshooting (S_Steering - S_base),Steering_Forza (S_Steering - V_base),Steering_Confine (S_Steering - V_Steering)
0,0.4094,0.3728,0.3596,0.4268
1,0.4834,0.436,0.4158,0.4958
2,0.7607,0.696,0.5625,0.683
3,0.9473,0.8667,0.6685,0.8154
4,1.148,1.068,0.821,0.996
5,1.469,1.329,1.001,1.216
6,1.544,1.399,1.117,1.358
7,1.966,1.881,1.44,1.755
8,2.426,2.318,1.856,2.258
9,2.434,2.348,2.027,2.453
10,2.398,2.205,1.96,2.367
11,2.611,2.555,2.244,2.709
12,2.752,2.775,2.418,2.91
13,2.914,3.133,2.734,3.268
14,3.23,3.719,3.14,3.74
15,3.627,4.254,3.46,4.125
16,3.975,4.742,4.027,4.8
17,4.56,5.35,4.53,5.4
18,5.707,6.61,5.207,6.22
19,6.68,7.457,5.688,6.8
20,7.754,8.38,14.49,7.918
21,9.1,9.61,16.67,9.23
22,10.88,11.55,19.55,11.164
23,14.02,13.51,23.56,12.97
24,15.85,15.33,26.47,14.99
25,17.9,16.88,29.12,16.44
26,20.7,19.23,32.7,18.9
27,2.375,2.773,4.55,2.713
