Layer,Baseline_Vanilla (S_base - V_base),AA_Overshooting (S_AA - S_base),AA_Forza (S_AA - V_base),AA_Confine (S_AA - V_AA),PI_Overshooting (S_PI - S_base),PI_Forza (S_PI - V_base),PI_Confine (S_PI - V_PI),AP_Overshooting (S_AP - S_base),AP_Forza (S_AP - V_base),AP_Confine (S_AP - V_AP)
0,0.2764,0.8325,0.6807,0.5015,0.7666,0.7544,0.6816,0.76,0.6816,0.6177
1,0.4827,1.248,0.98,0.6704,1.159,1.175,1.038,1.037,0.936,0.9175
2,0.721,1.5625,1.25,0.917,1.665,1.671,1.441,1.438,1.376,1.361
3,1.054,2.22,1.935,1.32,2.816,2.912,2.268,2.209,2.158,1.938
4,1.354,2.693,2.361,1.727,3.732,3.885,2.963,3.01,2.941,2.447
5,1.78,3.426,3.04,2.129,4.72,4.76,3.65,4.562,4.29,3.207
6,2.63,6.176,5.74,3.344,6.996,6.742,5.113,7.496,6.99,5.066
7,3.305,8.13,7.28,4.008,9.24,8.73,6.832,10.4,9.51,6.258
8,4.004,10.36,9.05,4.625,11.016,10.45,8.02,13.42,12.25,7.047
9,4.508,12.58,10.984,5.715,14.234,13.34,9.54,17.44,15.94,7.9
10,5.574,16.02,13.74,7.074,17.8,16.48,11.44,22.02,20.22,9.34
11,7.457,18.5,15.05,8.96,21.36,19.39,13.34,26.25,23.33,10.89
12,9.32,22.84,18.33,12.42,25.97,23.31,15.92,32.56,29.3,14.58
13,12.42,27.03,21.22,16.47,32.03,28.83,19.47,37.8,34.3,20.48
14,13.164,28.62,23.05,18.19,34.5,31.23,21.17,40.62,36.8,21.7
15,15.1,31.62,25.44,20.56,38.94,36.25,25.56,45.2,41.25,24.05
16,18.86,38.22,30.77,25.19,46.28,44.97,33.1,53.16,48.97,27.95
17,20.12,40.66,33.12,26.47,49.12,48.16,35.34,57.94,53.97,30.36
18,21.31,43.3,35.7,29.47,52.25,51.62,37.62,61.06,56.8,33.44
19,23.05,45.38,38.2,32.34,58.75,58.66,42.75,65.56,61.44,35.3
20,24.94,48.84,40.72,34.16,62.28,61.78,45.0,69.7,65.0,38.06
21,27.02,52.97,43.9,38.0,68.1,67.5,48.47,74.6,69.2,40.7
22,28.52,56.12,46.47,42.44,71.2,70.5,50.78,79.7,73.8,43.2
23,31.53,63.25,51.97,47.06,81.9,79.94,55.66,89.1,82.56,46.6
24,32.9,66.44,54.38,51.78,86.6,84.0,58.3,93.6,87.2,49.0
25,35.94,73.44,60.56,56.62,96.56,93.06,63.84,103.25,95.8,52.94
26,39.2,79.1,65.0,61.66,103.44,99.06,68.0,111.7,103.94,57.72
27,42.12,85.6,71.1,66.4,109.0,104.1,72.25,119.0,111.6,62.56
28,45.53,92.94,77.9,72.06,116.9,110.5,77.4,129.5,122.0,66.2
29,50.56,106.56,89.7,80.9,130.4,123.1,87.2,145.9,137.8,74.1
30,55.78,116.94,98.75,87.25,143.6,134.9,94.94,161.8,152.5,81.06
31,1.662,3.34,2.756,2.463,3.93,3.752,2.629,5.105,4.56,2.377
