Layer,Baseline_Vanilla,Advanced_Adversarial_Fallita,Prompt_Injection_Fallita,Adversarial_Perturbation_Fallita
0,0.2688,0.756,0.455,0.8604
1,0.4854,1.157,0.7534,1.264
2,0.736,1.688,1.13,1.818
3,1.07,2.508,2.266,2.707
4,1.346,3.05,2.846,3.39
5,1.723,3.988,3.816,4.492
6,2.545,7.188,6.035,7.402
7,3.207,9.2,7.36,9.734
8,3.826,11.82,8.68,12.72
9,4.38,14.58,10.97,16.5
10,5.426,18.88,14.086,20.98
11,7.22,22.6,17.16,25.08
12,9.06,28.11,21.39,31.17
13,12.76,35.16,25.53,37.9
14,14.016,37.75,26.92,41.5
15,16.69,41.25,29.03,46.3
16,20.56,50.03,33.6,55.38
17,22.77,52.8,36.03,58.4
18,24.22,56.22,38.03,63.0
19,26.1,58.6,41.25,67.44
20,29.14,63.6,44.28,73.0
21,30.92,69.6,49.44,78.5
22,32.7,75.94,52.44,85.44
23,35.94,85.06,61.78,95.6
24,37.1,90.5,65.56,101.4
25,40.4,99.5,73.2,111.44
26,43.78,108.8,77.75,121.44
27,47.03,115.56,83.06,129.4
28,50.84,124.94,90.44,140.0
29,55.75,140.5,102.5,157.2
30,61.66,153.2,114.5,176.0
31,1.868,4.348,3.277,5.74
