Layer,Baseline_Vanilla (S_base - V_base),Steering_Overshooting (S_Steering - S_base),Steering_Forza (S_Steering - V_base),Steering_Confine (S_Steering - V_Steering)
0,0.2688,0.3162,0.0898,0.6245
1,0.4854,0.5073,0.1735,1.214
2,0.736,0.6743,0.2695,1.887
3,1.07,0.9175,0.4177,2.924
4,1.346,1.152,0.5547,3.885
5,1.723,1.458,0.7427,5.2
6,2.545,2.244,1.134,7.934
7,3.207,2.92,1.34,9.375
8,3.826,3.568,1.599,11.19
9,4.38,4.16,1.889,13.23
10,5.426,5.02,2.213,15.484
11,7.22,6.43,2.72,19.03
12,9.06,7.996,3.47,24.3
13,12.76,11.336,4.484,31.39
14,14.016,12.36,4.957,34.7
15,16.69,14.664,6.055,42.38
16,20.56,18.25,7.44,52.06
17,22.77,12.984,14.11,55.5
18,24.22,14.21,14.96,60.66
19,26.1,15.7,15.88,66.0
20,29.14,17.67,17.19,71.56
21,30.92,19.02,18.27,80.5
22,32.7,20.12,19.31,88.25
23,35.94,22.69,20.75,97.44
24,37.1,23.92,21.42,102.75
25,40.4,27.0,23.02,114.06
26,43.78,28.78,25.12,125.56
27,47.03,31.4,26.62,133.6
28,50.84,34.62,28.89,147.9
29,55.75,39.38,31.19,163.6
30,61.66,44.28,33.75,178.5
31,1.868,1.363,0.9272,4.87
