Layer,Baseline_Vanilla (S_base - V_base),AA_Overshooting (S_AA - S_base),AA_Forza (S_AA - V_base),AA_Confine (S_AA - V_AA),PI_Overshooting (S_PI - S_base),PI_Forza (S_PI - V_base),PI_Confine (S_PI - V_PI),AP_Overshooting (S_AP - S_base),AP_Forza (S_AP - V_base),AP_Confine (S_AP - V_AP)
0,0.0375,0.0987,0.09094,0.05438,0.10876,0.10443,0.01985,,,
1,0.05722,0.134,0.1189,0.0773,0.1833,0.1776,0.02957,,,
2,0.0918,0.2019,0.1676,0.12256,0.2634,0.2542,0.04953,,,
3,0.1464,0.3145,0.2435,0.176,0.398,0.3855,0.0748,,,
4,0.1941,0.4165,0.3176,0.254,0.553,0.513,0.1085,,,
5,0.2415,0.509,0.3757,0.3076,0.663,0.6084,0.143,,,
6,0.272,0.5757,0.406,0.324,0.679,0.6016,0.169,,,
7,0.3418,0.6914,0.4722,0.3916,0.845,0.715,0.219,,,
8,0.3557,0.7466,0.528,0.409,0.967,0.8145,0.2365,,,
9,0.3953,0.848,0.633,0.4812,1.181,1.023,0.2537,,,
10,0.3962,0.8584,0.666,0.514,1.177,1.027,0.2534,,,
11,0.3792,0.827,0.6523,0.5054,1.158,1.004,0.2478,,,
12,0.423,0.956,0.7715,0.54,1.177,1.031,0.291,,,
13,0.4856,1.165,0.9634,0.612,1.408,1.3125,0.3538,,,
14,0.6177,1.362,1.165,0.7725,2.057,2.049,0.456,,,
15,0.788,1.513,1.272,0.816,2.254,2.18,0.511,,,
16,0.935,1.764,1.477,0.895,2.467,2.26,0.5728,,,
17,1.201,2.088,1.634,0.9844,2.959,2.553,0.657,,,
18,1.401,2.457,1.82,1.026,3.162,2.602,0.732,,,
19,1.529,2.674,1.931,1.066,3.477,2.816,0.798,,,
20,1.671,2.865,2.002,1.117,3.82,3.08,0.8843,,,
21,1.861,3.217,2.23,1.243,4.168,3.334,0.9893,,,
22,2.014,3.54,2.443,1.317,4.473,3.582,1.095,,,
23,2.273,4.008,2.688,1.421,4.914,3.812,1.256,,,
24,2.422,4.28,2.861,1.486,5.19,4.027,1.317,,,
25,2.67,4.72,3.148,1.608,5.613,4.348,1.455,,,
26,2.908,5.07,3.43,1.771,6.227,4.875,1.621,,,
27,3.201,5.51,3.729,1.963,7.01,5.61,1.78,,,
28,3.58,6.125,4.13,2.182,7.703,6.12,2.008,,,
29,3.928,6.723,4.637,2.438,8.36,6.68,2.225,,,
30,4.543,7.918,5.652,2.934,9.695,7.754,2.57,,,
31,14.29,24.67,18.0,9.66,29.64,23.53,7.69,,,
