Layer,Baseline_Vanilla,Advanced_Adversarial_Fallita,Prompt_Injection_Fallita,Adversarial_Perturbation_Fallita
0,0.0375,0.09186,0.1141,0.1312
1,0.05722,0.1327,0.1906,0.1902
2,0.0918,0.2156,0.2778,0.3242
3,0.1464,0.3362,0.4163,0.4724
4,0.1941,0.4526,0.5786,0.6133
5,0.2415,0.55,0.7,0.7515
6,0.272,0.614,0.713,0.797
7,0.3418,0.807,0.925,1.1045
8,0.3557,0.86,1.031,1.192
9,0.3953,0.9673,1.241,1.392
10,0.3962,0.9805,1.229,1.414
11,0.3792,0.9644,1.166,1.342
12,0.423,1.118,1.246,1.408
13,0.4856,1.272,1.45,1.477
14,0.6177,1.579,2.037,1.626
15,0.788,1.756,2.326,1.805
16,0.935,1.949,2.62,2.027
17,1.201,2.32,3.172,2.365
18,1.401,2.697,3.482,2.713
19,1.529,2.97,3.832,3.014
20,1.671,3.236,4.18,3.205
21,1.861,3.584,4.543,3.55
22,2.014,3.904,4.875,3.807
23,2.273,4.44,5.43,4.24
24,2.422,4.74,5.742,4.46
25,2.67,5.21,6.2,4.92
26,2.908,5.61,6.863,5.383
27,3.201,6.117,7.664,5.824
28,3.58,6.816,8.43,6.465
29,3.928,7.42,9.13,7.094
30,4.543,8.61,10.56,8.25
31,14.29,27.03,32.78,26.47
