Layer,Baseline_Vanilla (S_base - V_base),Steering_Overshooting (S_Steering - S_base),Steering_Forza (S_Steering - V_base),Steering_Confine (S_Steering - V_Steering)
0,0.0375,0.03506,0.00434,0.01709
1,0.05722,0.05377,0.00623,0.02469
2,0.0918,0.0861,0.0098,0.03793
3,0.1464,0.1366,0.01573,0.0593
4,0.1941,0.1796,0.02312,0.0833
5,0.2415,0.2233,0.02928,0.1044
6,0.272,0.251,0.0316,0.11664
7,0.3418,0.314,0.0406,0.153
8,0.3557,0.3281,0.0451,0.1669
9,0.3953,0.3635,0.05417,0.1941
10,0.3962,0.361,0.05737,0.2042
11,0.3792,0.346,0.05646,0.1998
12,0.423,0.3823,0.0658,0.2343
13,0.4856,0.4353,0.0771,0.276
14,0.6177,0.552,0.0963,0.3506
15,0.788,0.703,0.1176,0.4294
16,0.935,2.682,3.578,0.5464
17,1.201,3.213,4.34,0.651
18,1.401,3.594,4.88,0.7466
19,1.529,3.943,5.336,0.8228
20,1.671,4.164,5.676,0.855
21,1.861,4.65,6.34,0.944
22,2.014,4.977,6.797,1.036
23,2.273,5.516,7.57,1.14
24,2.422,5.867,8.04,1.221
25,2.67,6.33,8.71,1.314
26,2.908,6.734,9.29,1.416
27,3.201,7.367,10.12,1.547
28,3.58,8.125,11.195,1.715
29,3.928,8.914,12.266,1.899
30,4.543,10.28,14.11,2.213
31,14.29,31.27,43.3,6.824
