Layer,Sbase-Vsteering (S_base - V_Steering),Steering_Overshooting (V_base - V_Steering)
0,0.1192,0.06192
1,0.1823,0.1012
2,0.2825,0.1776
3,0.5396,0.3772
4,0.9556,0.6826
5,1.316,0.973
6,1.572,1.179
7,2.191,1.672
8,2.783,2.13
9,3.375,2.625
10,3.746,2.934
11,4.805,3.834
12,5.688,4.645
13,6.75,5.676
14,13.805,14.77
15,14.484,15.41
16,15.23,16.1
17,15.67,16.55
18,17.22,18.11
19,18.39,19.23
20,19.7,20.58
21,21.22,22.16
22,23.1,24.12
23,25.22,26.31
24,27.45,28.61
25,29.8,30.94
26,32.9,34.2
27,35.9,37.2
28,39.25,40.6
29,42.9,44.28
30,47.8,49.16
31,17.45,17.97
