Layer,Sbase-Vsteering (S_base - V_Steering),Steering_Overshooting (V_base - V_Steering)
0,0.4446,0.0758
1,0.523,0.0892
2,0.8257,0.1334
3,1.024,0.1626
4,1.237,0.1941
5,1.584,0.2312
6,1.678,0.2578
7,2.127,0.332
8,2.629,0.4253
9,2.656,0.4495
10,2.627,0.4338
11,2.85,0.4954
12,2.988,0.523
13,3.156,0.57
14,3.469,0.6406
15,3.861,0.7065
16,4.26,0.8247
17,4.902,0.9272
18,6.03,1.085
19,7.02,1.2
20,3.92,11.03
21,4.875,12.83
22,6.1,15.11
23,7.656,19.14
24,8.836,21.44
25,9.664,23.73
26,11.34,26.8
27,1.185,2.842
