Layer,Sbase-Vsteering (S_base - V_Steering),Steering_Overshooting (V_base - V_Steering)
0,0.4905,0.535
1,1.169,1.041
2,2.03,1.618
3,3.207,2.506
4,4.203,3.33
5,5.582,4.453
6,8.31,6.797
7,9.805,8.03
8,11.55,9.586
9,13.44,11.336
10,16.14,13.27
11,20.67,16.31
12,26.4,20.83
13,34.8,26.9
14,38.62,29.73
15,46.88,36.34
16,57.34,44.66
17,55.88,44.2
18,60.8,48.62
19,66.7,53.0
20,73.56,57.53
21,82.9,65.6
22,91.1,72.5
23,101.4,80.25
24,106.3,85.0
25,118.06,94.8
26,130.8,104.2
27,139.4,110.94
28,153.4,123.0
29,168.9,136.8
30,184.1,149.5
31,5.125,4.08
