Layer,Sbase-Vsteering (S_base - V_Steering),Steering_Overshooting (V_base - V_Steering)
0,0.03802,0.02249
1,0.05692,0.03102
2,0.09503,0.04614
3,0.1614,0.06604
4,0.2175,0.0891
5,0.261,0.1055
6,0.283,0.10284
7,0.3586,0.118
8,0.3723,0.1353
9,0.424,0.157
10,0.4434,0.1672
11,0.4307,0.1704
12,0.5107,0.2067
13,0.62,0.2585
14,0.8184,0.3262
15,1.077,0.4255
16,2.248,3.127
17,2.662,3.771
18,2.926,4.188
19,3.191,4.566
20,3.393,4.887
21,3.78,5.457
22,4.04,5.85
23,4.47,6.516
24,4.742,6.914
25,5.145,7.53
26,5.5,8.055
27,6.043,8.81
28,6.684,9.766
29,7.32,10.68
30,8.46,12.305
31,25.77,37.78
