Layer,Baseline_Vanilla (S_base - V_base),AA (S_base - V_AA),AA (V_base - V_AA),PI (S_base - V_PI),PI (V_base - V_PI),AP (S_base - V_AP),AP (V_base - V_AP)
0,0.2062,0.6846,0.5825,0.7114,0.8115,1.515,1.588
1,0.2686,0.9126,0.7563,0.9766,1.103,1.651,1.701
2,0.353,1.235,1.071,1.708,1.743,2.375,2.398
3,0.4128,1.579,1.393,2.494,2.465,2.998,2.979
4,0.454,1.826,1.595,2.852,2.773,3.666,3.57
5,0.5137,2.281,2.02,3.23,3.15,4.375,4.27
6,0.5464,2.414,2.14,3.367,3.23,4.32,4.16
7,0.573,2.523,2.244,3.43,3.262,4.47,4.29
8,0.662,2.875,2.582,3.82,3.64,4.832,4.625
9,0.709,2.844,2.504,4.285,4.11,4.87,4.62
10,0.7227,3.164,2.824,4.406,4.203,5.242,4.977
11,0.837,3.494,3.113,4.78,4.562,5.49,5.223
12,0.8174,3.49,3.117,4.945,4.684,5.285,5.03
13,1.031,4.195,3.668,5.95,5.645,5.926,5.457
14,1.107,4.598,3.97,6.953,6.652,6.305,5.75
15,1.094,4.63,4.03,8.555,8.32,6.125,5.58
16,1.154,4.76,4.133,9.64,9.41,6.598,6.004
17,1.357,5.562,4.86,11.766,11.516,7.285,6.664
18,2.764,8.19,6.727,16.3,15.74,8.71,7.402
19,4.473,10.375,8.24,22.77,22.28,11.29,9.3
20,5.523,12.58,10.08,28.8,27.94,13.7,11.24
21,5.605,12.69,10.16,28.28,27.38,13.98,11.52
22,6.582,14.29,11.24,34.47,33.44,15.58,12.88
23,7.11,15.85,12.51,37.16,36.06,17.4,14.51
24,7.93,17.7,13.84,41.7,40.44,19.97,16.61
25,9.69,21.31,16.92,49.47,47.84,24.7,20.31
26,11.266,26.48,21.61,63.06,61.8,31.08,26.16
27,9.125,21.95,18.05,48.66,49.22,26.02,22.52
