Layer,Baseline_Vanilla (S_base - V_base),AA (S_base - V_AA),AA (V_base - V_AA),PI (S_base - V_PI),PI (V_base - V_PI),AP (S_base - V_AP),AP (V_base - V_AP)
0,0.0692,0.1816,0.1205,,,0.1886,0.1444
1,0.09937,0.263,0.1749,,,0.308,0.2477
2,0.1411,0.3665,0.2474,,,0.4202,0.3413
3,0.2212,0.6035,0.4246,,,0.7554,0.6475
4,0.3716,1.075,0.788,,,1.608,1.4795
5,0.511,1.385,0.9893,,,2.145,1.984
6,0.58,1.645,1.204,,,2.512,2.32
7,0.7295,2.291,1.72,,,3.666,3.336
8,0.8726,3.035,2.33,,,4.633,4.156
9,1.0,3.557,2.752,,,5.43,4.855
10,1.085,3.85,2.982,,,5.797,5.2
11,1.307,4.555,3.506,,,6.68,5.934
12,1.456,5.15,3.996,,,7.39,6.555
13,1.619,5.62,4.387,,,7.92,7.05
14,1.909,6.566,5.16,,,9.31,8.37
15,2.195,7.066,5.527,,,11.016,9.91
16,2.348,7.47,5.844,,,11.52,10.336
17,2.426,7.66,6.023,,,11.914,10.7
18,2.627,8.234,6.54,,,13.086,11.73
19,2.928,9.17,7.277,,,14.79,13.234
20,3.219,9.89,7.8,,,15.81,14.12
21,3.482,10.64,8.36,,,17.23,15.41
22,3.885,11.68,9.07,,,18.92,16.81
23,4.28,12.984,10.07,,,20.81,18.48
24,4.664,14.055,10.94,,,22.73,20.22
25,5.055,15.38,12.07,,,25.22,22.6
26,5.56,16.83,13.27,,,27.45,24.58
27,6.06,18.8,14.98,,,30.3,27.11
28,6.65,20.84,16.62,,,34.2,30.6
29,7.426,23.53,18.8,,,38.6,34.53
30,8.49,26.75,21.23,,,43.28,38.5
31,3.133,9.73,7.566,,,14.805,12.93
