Layer,Baseline_Vanilla (S_base - V_base),AA (S_base - V_AA),AA (V_base - V_AA),PI (S_base - V_PI),PI (V_base - V_PI),AP (S_base - V_AP),AP (V_base - V_AP)
0,0.4094,2.643,2.516,1.873,1.887,4.01,4.074
1,0.4834,3.041,2.861,2.934,2.86,4.414,4.438
2,0.7607,3.73,3.47,7.277,7.188,6.84,6.887
3,0.9473,4.645,4.395,11.57,11.69,9.414,9.58
4,1.148,5.69,5.363,13.53,13.664,11.16,11.33
5,1.469,6.906,6.395,15.266,15.17,13.05,13.17
6,1.544,8.03,7.434,14.914,14.74,13.234,13.25
7,1.966,10.01,9.5,16.19,15.805,15.62,15.67
8,2.426,12.81,11.984,18.6,17.95,18.7,18.64
9,2.434,12.27,11.766,20.02,19.14,19.22,19.28
10,2.398,11.7,11.4,19.27,18.4,17.8,17.95
11,2.611,13.01,12.555,21.0,20.02,19.34,19.31
12,2.752,14.06,13.54,21.95,20.89,21.8,21.7
13,2.914,15.77,15.14,25.17,24.22,27.77,27.62
14,3.23,18.33,17.58,29.1,28.1,34.3,34.0
15,3.627,20.1,19.19,31.78,30.9,37.56,37.28
16,3.975,23.27,22.34,37.12,36.53,43.78,43.47
17,4.56,25.48,24.3,40.47,39.8,48.8,48.3
18,5.707,31.23,30.1,47.25,46.78,55.6,55.0
19,6.68,34.53,33.06,50.72,50.06,59.06,58.16
20,7.754,40.34,38.44,59.75,59.16,68.3,66.94
21,9.1,47.12,45.2,69.1,68.3,78.94,77.25
22,10.88,58.88,57.1,82.25,81.6,92.8,91.06
23,14.02,69.8,67.44,102.5,100.8,110.8,108.1
24,15.85,79.4,76.75,114.7,112.6,125.2,122.06
25,17.9,87.8,84.7,129.0,126.44,138.9,135.5
26,20.7,100.75,97.4,150.1,146.5,153.9,150.2
27,2.375,10.66,10.85,14.78,14.64,16.36,15.805
