Layer,Baseline_Vanilla (S_base - V_base),AA (S_base - V_AA),AA (V_base - V_AA),PI (S_base - V_PI),PI (V_base - V_PI),AP (S_base - V_AP),AP (V_base - V_AP)
0,0.2688,0.727,0.5796,0.4438,0.4868,0.7827,0.6665
1,0.4854,1.069,0.816,0.73,0.703,1.167,0.952
2,0.736,1.607,1.213,1.107,0.9624,1.764,1.424
3,1.07,2.385,2.049,2.13,1.893,2.59,2.254
4,1.346,2.934,2.586,2.709,2.357,3.318,2.967
5,1.723,3.871,3.422,3.645,3.088,4.45,3.889
6,2.545,6.613,6.125,5.71,4.69,7.145,6.33
7,3.207,8.32,7.52,6.918,5.56,9.47,8.4
8,3.826,10.516,9.22,8.2,6.746,11.9,10.64
9,4.38,12.84,11.09,10.42,8.93,15.375,13.89
10,5.426,16.72,14.195,13.445,11.17,19.53,17.64
11,7.22,19.84,15.97,16.64,13.48,22.6,19.75
12,9.06,24.23,19.17,20.16,16.27,27.0,23.6
13,12.76,31.38,24.6,24.88,19.73,33.72,29.36
14,14.016,33.34,26.1,25.8,20.31,35.62,30.92
15,16.69,37.9,29.27,28.34,22.11,40.06,35.1
16,20.56,45.3,35.88,33.4,26.23,46.25,41.4
17,22.77,49.12,39.16,36.34,28.25,51.0,46.28
18,24.22,52.03,41.66,38.3,29.95,54.5,49.34
19,26.1,55.94,44.38,41.66,32.88,60.03,54.47
20,29.14,63.97,50.38,45.75,35.34,66.9,59.75
21,30.92,70.94,56.12,50.34,39.44,73.94,65.7
22,32.7,77.1,61.8,53.56,41.9,80.4,72.06
23,35.94,87.56,70.8,61.97,49.84,90.6,81.44
24,37.1,91.06,74.3,65.06,52.06,95.5,86.1
25,40.4,101.25,83.3,73.75,58.56,105.5,95.06
26,43.78,110.44,90.5,79.25,62.4,114.06,103.06
27,47.03,117.1,96.06,84.7,66.3,121.9,110.75
28,50.84,127.2,104.44,91.3,71.25,130.9,118.7
29,55.75,140.0,116.0,103.75,81.6,145.2,133.0
30,61.66,151.6,125.25,115.9,90.56,160.1,145.2
31,1.868,4.34,3.482,3.383,2.588,4.895,4.152
