Layer,Baseline_Vanilla (S_base - V_base),AA (S_base - V_AA),AA (V_base - V_AA),PI (S_base - V_PI),PI (V_base - V_PI),AP (S_base - V_AP),AP (V_base - V_AP)
0,0.0375,0.0896,0.06866,0.1108,0.1012,0.129,0.1288
1,0.05722,0.1294,0.0937,0.1864,0.1733,0.1866,0.1818
2,0.0918,0.2103,0.1459,0.2717,0.2487,0.3179,0.297
3,0.1464,0.3313,0.2203,0.4119,0.3772,0.4648,0.425
4,0.1941,0.4521,0.3076,0.5845,0.517,0.613,0.541
5,0.2415,0.545,0.3623,0.703,0.6133,0.756,0.644
6,0.272,0.623,0.4072,0.733,0.6104,0.8223,0.6763
7,0.3418,0.797,0.515,0.927,0.7397,1.109,0.901
8,0.3557,0.8433,0.562,1.031,0.8247,1.181,0.9443
9,0.3953,0.922,0.622,1.239,1.028,1.337,1.0625
10,0.3962,0.9336,0.6396,1.23,1.027,1.367,1.093
11,0.3792,0.913,0.638,1.206,1.003,1.296,1.038
12,0.423,1.003,0.7104,1.249,1.038,1.343,1.083
13,0.4856,1.107,0.789,1.481,1.309,1.388,1.111
14,0.6177,1.283,0.891,2.064,1.967,1.542,1.25
15,0.788,1.5,1.01,2.33,2.127,1.738,1.376
16,0.935,1.814,1.234,2.652,2.295,2.016,1.53
17,1.201,2.227,1.407,3.242,2.658,2.354,1.659
18,1.401,2.62,1.608,3.562,2.795,2.707,1.83
19,1.529,2.87,1.746,3.922,3.055,3.002,2.037
20,1.671,3.096,1.834,4.32,3.357,3.145,2.072
21,1.861,3.457,2.04,4.723,3.64,3.496,2.3
22,2.014,3.764,2.229,5.074,3.904,3.719,2.469
23,2.273,4.254,2.477,5.652,4.234,4.13,2.686
24,2.422,4.535,2.639,5.953,4.453,4.348,2.842
25,2.67,5.03,2.941,6.457,4.812,4.812,3.152
26,2.908,5.41,3.178,7.164,5.406,5.27,3.535
27,3.201,5.926,3.484,8.016,6.16,5.71,3.883
28,3.58,6.61,3.879,8.83,6.727,6.336,4.35
29,3.928,7.227,4.305,9.58,7.297,6.96,4.918
30,4.543,8.44,5.168,11.086,8.45,8.14,5.863
31,14.29,26.36,16.31,33.9,25.7,26.27,18.97
