modello,id_snippet,layer,probabilita_vergine,probabilita_attaccata
Qwen/Qwen2.5-7B-Instruct,0,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,0,1,15.93,15.93
Qwen/Qwen2.5-7B-Instruct,0,2,98.8,98.8
Qwen/Qwen2.5-7B-Instruct,0,3,79.04,79.04
Qwen/Qwen2.5-7B-Instruct,0,4,13.05,13.05
Qwen/Qwen2.5-7B-Instruct,0,5,6.14,6.14
Qwen/Qwen2.5-7B-Instruct,0,6,0.02,0.02
Qwen/Qwen2.5-7B-Instruct,0,7,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,0,8,84.21,84.21
Qwen/Qwen2.5-7B-Instruct,0,9,0.04,0.04
Qwen/Qwen2.5-7B-Instruct,0,10,91.96,91.96
Qwen/Qwen2.5-7B-Instruct,0,11,17.11,17.11
Qwen/Qwen2.5-7B-Instruct,0,12,95.04,95.04
Qwen/Qwen2.5-7B-Instruct,0,13,99.98,99.98
Qwen/Qwen2.5-7B-Instruct,0,14,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,0,15,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,0,16,5.41,5.41
Qwen/Qwen2.5-7B-Instruct,0,17,8.58,8.58
Qwen/Qwen2.5-7B-Instruct,0,18,99.35,0.0
Qwen/Qwen2.5-7B-Instruct,0,19,30.56,0.0
Qwen/Qwen2.5-7B-Instruct,0,20,27.12,0.0
Qwen/Qwen2.5-7B-Instruct,0,21,64.37,0.0
Qwen/Qwen2.5-7B-Instruct,0,22,99.98,0.01
Qwen/Qwen2.5-7B-Instruct,0,23,46.58,0.0
Qwen/Qwen2.5-7B-Instruct,0,24,98.1,0.0
Qwen/Qwen2.5-7B-Instruct,0,25,99.99,0.09
Qwen/Qwen2.5-7B-Instruct,0,26,11.1,0.0
Qwen/Qwen2.5-7B-Instruct,0,27,74.83,0.0
Qwen/Qwen2.5-7B-Instruct,1,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,1,1,9.62,9.62
Qwen/Qwen2.5-7B-Instruct,1,2,98.74,98.74
Qwen/Qwen2.5-7B-Instruct,1,3,76.09,76.09
Qwen/Qwen2.5-7B-Instruct,1,4,23.98,23.98
Qwen/Qwen2.5-7B-Instruct,1,5,9.94,9.94
Qwen/Qwen2.5-7B-Instruct,1,6,0.05,0.05
