id_snippet,modello,layer_locus,cos_sim_stesso_layer,cos_sim_penultimo_layer
0,Qwen/Qwen2.5-7B-Instruct,18,,-0.30224609375
1,Qwen/Qwen2.5-7B-Instruct,18,,-0.311767578125
2,Qwen/Qwen2.5-7B-Instruct,18,,-0.310302734375
3,Qwen/Qwen2.5-7B-Instruct,18,,-0.297119140625
4,Qwen/Qwen2.5-7B-Instruct,18,,-0.3134765625
5,Qwen/Qwen2.5-7B-Instruct,18,,-0.272705078125
6,Qwen/Qwen2.5-7B-Instruct,18,,-0.3125
7,Qwen/Qwen2.5-7B-Instruct,18,,-0.312744140625
8,Qwen/Qwen2.5-7B-Instruct,18,,-0.30517578125
9,Qwen/Qwen2.5-7B-Instruct,18,,-0.302001953125
10,Qwen/Qwen2.5-7B-Instruct,18,,-0.281494140625
11,Qwen/Qwen2.5-7B-Instruct,18,,-0.32421875
12,Qwen/Qwen2.5-7B-Instruct,18,,-0.29150390625
13,Qwen/Qwen2.5-7B-Instruct,18,,-0.287841796875
14,Qwen/Qwen2.5-7B-Instruct,18,,-0.302734375
15,Qwen/Qwen2.5-7B-Instruct,18,,-0.298095703125
16,Qwen/Qwen2.5-7B-Instruct,18,,-0.297119140625
17,Qwen/Qwen2.5-7B-Instruct,18,,-0.303955078125
18,Qwen/Qwen2.5-7B-Instruct,18,,-0.2978515625
19,Qwen/Qwen2.5-7B-Instruct,18,,-0.3095703125
20,Qwen/Qwen2.5-7B-Instruct,18,,-0.307373046875
21,Qwen/Qwen2.5-7B-Instruct,18,,-0.310546875
22,Qwen/Qwen2.5-7B-Instruct,18,,-0.31005859375
23,Qwen/Qwen2.5-7B-Instruct,18,,-0.311767578125
24,Qwen/Qwen2.5-7B-Instruct,18,,-0.300537109375
25,Qwen/Qwen2.5-7B-Instruct,18,,-0.313720703125
26,Qwen/Qwen2.5-7B-Instruct,18,,-0.29541015625
27,Qwen/Qwen2.5-7B-Instruct,18,,-0.30712890625
28,Qwen/Qwen2.5-7B-Instruct,18,,-0.311767578125
29,Qwen/Qwen2.5-7B-Instruct,18,,-0.290771484375
30,Qwen/Qwen2.5-7B-Instruct,18,,-0.305908203125
31,Qwen/Qwen2.5-7B-Instruct,18,,-0.296630859375
32,Qwen/Qwen2.5-7B-Instruct,18,,-0.298583984375
33,Qwen/Qwen2.5-7B-Instruct,18,,-0.311767578125
34,Qwen/Qwen2.5-7B-Instruct,18,,-0.30712890625
35,Qwen/Qwen2.5-7B-Instruct,18,,-0.300537109375
36,Qwen/Qwen2.5-7B-Instruct,18,,-0.3115234375
37,Qwen/Qwen2.5-7B-Instruct,18,,-0.32958984375
38,Qwen/Qwen2.5-7B-Instruct,18,,-0.295166015625
39,Qwen/Qwen2.5-7B-Instruct,18,,-0.309326171875
40,Qwen/Qwen2.5-7B-Instruct,18,,-0.306884765625
41,Qwen/Qwen2.5-7B-Instruct,18,,-0.2998046875
42,Qwen/Qwen2.5-7B-Instruct,18,,-0.293212890625
43,Qwen/Qwen2.5-7B-Instruct,18,,-0.305908203125
44,Qwen/Qwen2.5-7B-Instruct,18,,-0.299072265625
45,Qwen/Qwen2.5-7B-Instruct,18,,-0.306396484375
46,Qwen/Qwen2.5-7B-Instruct,18,,-0.31689453125
47,Qwen/Qwen2.5-7B-Instruct,18,,-0.29736328125
48,Qwen/Qwen2.5-7B-Instruct,18,,-0.301513671875
49,Qwen/Qwen2.5-7B-Instruct,18,,-0.302734375
50,Qwen/Qwen2.5-7B-Instruct,18,,-0.30419921875
51,Qwen/Qwen2.5-7B-Instruct,18,,-0.296142578125
52,Qwen/Qwen2.5-7B-Instruct,18,,-0.300048828125
53,Qwen/Qwen2.5-7B-Instruct,18,,-0.289794921875
54,Qwen/Qwen2.5-7B-Instruct,18,,-0.322509765625
55,Qwen/Qwen2.5-7B-Instruct,18,,-0.306640625
56,Qwen/Qwen2.5-7B-Instruct,18,,-0.305908203125
57,Qwen/Qwen2.5-7B-Instruct,18,,-0.301513671875
58,Qwen/Qwen2.5-7B-Instruct,18,,-0.307373046875
59,Qwen/Qwen2.5-7B-Instruct,18,,-0.3056640625
60,Qwen/Qwen2.5-7B-Instruct,18,,-0.302734375
61,Qwen/Qwen2.5-7B-Instruct,18,,-0.3134765625
62,Qwen/Qwen2.5-7B-Instruct,18,,-0.31787109375
63,Qwen/Qwen2.5-7B-Instruct,18,,-0.30908203125
64,Qwen/Qwen2.5-7B-Instruct,18,,-0.3173828125
65,Qwen/Qwen2.5-7B-Instruct,18,,-0.308349609375
66,Qwen/Qwen2.5-7B-Instruct,18,,-0.29443359375
67,Qwen/Qwen2.5-7B-Instruct,18,,-0.291259765625
68,Qwen/Qwen2.5-7B-Instruct,18,,-0.309814453125
69,Qwen/Qwen2.5-7B-Instruct,18,,-0.30322265625
70,Qwen/Qwen2.5-7B-Instruct,18,,-0.3046875
71,Qwen/Qwen2.5-7B-Instruct,18,,-0.316162109375
