modello,layer_analizzato,media_cosine_similarity,media_valore_assoluto
Qwen/Qwen2.5-7B-Instruct,0,,
Qwen/Qwen2.5-7B-Instruct,1,-0.29777099609375,0.29777099609375
Qwen/Qwen2.5-7B-Instruct,2,-0.233939208984375,0.233939208984375
Qwen/Qwen2.5-7B-Instruct,3,-0.124447021484375,0.128431396484375
Qwen/Qwen2.5-7B-Instruct,4,-0.07143272399902344,0.07848106384277344
Qwen/Qwen2.5-7B-Instruct,5,0.022784366607666015,0.056139926910400394
Qwen/Qwen2.5-7B-Instruct,6,0.08165004730224609,0.09023715972900391
Qwen/Qwen2.5-7B-Instruct,7,0.09597915649414063,0.10034286499023437
Qwen/Qwen2.5-7B-Instruct,8,0.0949935531616211,0.09784366607666016
Qwen/Qwen2.5-7B-Instruct,9,0.07345191955566406,0.08069435119628907
Qwen/Qwen2.5-7B-Instruct,10,0.0989202880859375,0.1116558837890625
Qwen/Qwen2.5-7B-Instruct,11,0.09578872680664062,0.10604721069335937
Qwen/Qwen2.5-7B-Instruct,12,0.10506904602050782,0.12058906555175782
Qwen/Qwen2.5-7B-Instruct,13,0.107777099609375,0.117364501953125
Qwen/Qwen2.5-7B-Instruct,14,0.185687255859375,0.189222412109375
Qwen/Qwen2.5-7B-Instruct,15,0.214527587890625,0.221229248046875
Qwen/Qwen2.5-7B-Instruct,16,0.210955810546875,0.218814697265625
Qwen/Qwen2.5-7B-Instruct,17,0.1955340576171875,0.2027911376953125
Qwen/Qwen2.5-7B-Instruct,18,0.09400087356567383,0.10278623580932617
Qwen/Qwen2.5-7B-Instruct,19,0.1399761962890625,0.1495147705078125
Qwen/Qwen2.5-7B-Instruct,20,0.13922454833984374,0.16067535400390626
Qwen/Qwen2.5-7B-Instruct,21,0.1464752197265625,0.1706463623046875
Qwen/Qwen2.5-7B-Instruct,22,0.1362908935546875,0.1623052978515625
Qwen/Qwen2.5-7B-Instruct,23,0.12281524658203125,0.16477569580078125
Qwen/Qwen2.5-7B-Instruct,24,0.1251397705078125,0.1661968994140625
Qwen/Qwen2.5-7B-Instruct,25,0.1397674560546875,0.1706524658203125
Qwen/Qwen2.5-7B-Instruct,26,0.1416790771484375,0.1711187744140625
Qwen/Qwen2.5-7B-Instruct,27,0.0932550048828125,0.1221844482421875
Qwen/Qwen2.5-Coder-7B-Instruct,0,,
Qwen/Qwen2.5-Coder-7B-Instruct,1,0.0033419926961263022,0.12365245819091797
Qwen/Qwen2.5-Coder-7B-Instruct,2,-0.03575325012207031,0.10901408725314671
Qwen/Qwen2.5-Coder-7B-Instruct,3,-0.02043739954630534,0.0873277982076009
Qwen/Qwen2.5-Coder-7B-Instruct,4,0.03750779893663195,0.08597819010416667
Qwen/Qwen2.5-Coder-7B-Instruct,5,0.08526611328125,0.11018202039930555
Qwen/Qwen2.5-Coder-7B-Instruct,6,0.1251678466796875,0.1304745144314236
Qwen/Qwen2.5-Coder-7B-Instruct,7,0.1496310763888889,0.15467325846354166
Qwen/Qwen2.5-Coder-7B-Instruct,8,0.19747416178385416,0.19747416178385416
Qwen/Qwen2.5-Coder-7B-Instruct,9,0.1926693386501736,0.1926693386501736
Qwen/Qwen2.5-Coder-7B-Instruct,10,0.2784288194444444,0.2784288194444444
Qwen/Qwen2.5-Coder-7B-Instruct,11,0.3252766927083333,0.3252766927083333
Qwen/Qwen2.5-Coder-7B-Instruct,12,0.3338860405815972,0.3338860405815972
Qwen/Qwen2.5-Coder-7B-Instruct,13,0.3634507921006944,0.3634507921006944
Qwen/Qwen2.5-Coder-7B-Instruct,14,0.341644287109375,0.341644287109375
Qwen/Qwen2.5-Coder-7B-Instruct,15,0.3436448838975694,0.3436448838975694
Qwen/Qwen2.5-Coder-7B-Instruct,16,0.3138631184895833,0.3138631184895833
Qwen/Qwen2.5-Coder-7B-Instruct,17,0.2751973470052083,0.2751973470052083
Qwen/Qwen2.5-Coder-7B-Instruct,18,0.12336900499131945,0.1279262966579861
Qwen/Qwen2.5-Coder-7B-Instruct,19,0.14084625244140625,0.15318383110894096
Qwen/Qwen2.5-Coder-7B-Instruct,20,0.11657947964138454,0.16553645663791233
Qwen/Qwen2.5-Coder-7B-Instruct,21,0.20697445339626735,0.22371334499782985
Qwen/Qwen2.5-Coder-7B-Instruct,22,0.19675699869791666,0.222137451171875
Qwen/Qwen2.5-Coder-7B-Instruct,23,0.1819941202799479,0.21625518798828125
Qwen/Qwen2.5-Coder-7B-Instruct,24,0.1578404638502333,0.19987334145439994
Qwen/Qwen2.5-Coder-7B-Instruct,25,0.15006722344292533,0.19327333238389757
Qwen/Qwen2.5-Coder-7B-Instruct,26,0.14013841417100695,0.1837039523654514
Qwen/Qwen2.5-Coder-7B-Instruct,27,0.08970006306966145,0.13842561509874132
meta-llama/Llama-3.1-8B-Instruct,0,,
meta-llama/Llama-3.1-8B-Instruct,1,-0.06048970489028078,0.10467750537469521
meta-llama/Llama-3.1-8B-Instruct,2,-0.014213878915917058,0.0867545886069351
meta-llama/Llama-3.1-8B-Instruct,3,0.0438508661637395,0.07442953571769761
meta-llama/Llama-3.1-8B-Instruct,4,0.051044282705887505,0.07677323477608818
meta-llama/Llama-3.1-8B-Instruct,5,0.11100218607031781,0.1136006642572628
meta-llama/Llama-3.1-8B-Instruct,6,0.15963264133619226,0.15963264133619226
meta-llama/Llama-3.1-8B-Instruct,7,0.22084874692170517,0.22084874692170517
meta-llama/Llama-3.1-8B-Instruct,8,0.294164432501941,0.294164432501941
meta-llama/Llama-3.1-8B-Instruct,9,0.3120041367430124,0.3120041367430124
meta-llama/Llama-3.1-8B-Instruct,10,0.352136837029309,0.352136837029309
meta-llama/Llama-3.1-8B-Instruct,11,0.3541938355250388,0.3541938355250388
meta-llama/Llama-3.1-8B-Instruct,12,0.2961952730735637,0.2961952730735637
meta-llama/Llama-3.1-8B-Instruct,13,0.2327806934806871,0.2327806934806871
meta-llama/Llama-3.1-8B-Instruct,14,0.21837715480638586,0.21837715480638586
meta-llama/Llama-3.1-8B-Instruct,15,0.14025107673976733,0.14128725276970716
meta-llama/Llama-3.1-8B-Instruct,16,0.15172783188197925,0.1548853498067915
meta-llama/Llama-3.1-8B-Instruct,17,0.1906441931398759,0.1939233282338018
meta-llama/Llama-3.1-8B-Instruct,18,0.21463783705456657,0.22212978993883783
meta-llama/Llama-3.1-8B-Instruct,19,0.25873315704535255,0.2674273496829205
meta-llama/Llama-3.1-8B-Instruct,20,0.25252664459418067,0.2646291863103831
meta-llama/Llama-3.1-8B-Instruct,21,0.2585412197231506,0.2733471260307738
meta-llama/Llama-3.1-8B-Instruct,22,0.2544516510104541,0.2720392179785308
meta-llama/Llama-3.1-8B-Instruct,23,0.24653606829435928,0.2695848068095142
meta-llama/Llama-3.1-8B-Instruct,24,0.24522800401130818,0.2775082862155038
meta-llama/Llama-3.1-8B-Instruct,25,0.23307884479901805,0.2703328332545594
meta-llama/Llama-3.1-8B-Instruct,26,0.229845020341577,0.26948714700544846
meta-llama/Llama-3.1-8B-Instruct,27,0.21486042301106897,0.2598726453248018
meta-llama/Llama-3.1-8B-Instruct,28,0.18606942632923956,0.24509108584860098
meta-llama/Llama-3.1-8B-Instruct,29,0.16486253205293455,0.23733031231424082
meta-llama/Llama-3.1-8B-Instruct,30,0.14261487848270013,0.22020405864123233
meta-llama/Llama-3.1-8B-Instruct,31,0.14969996635958274,0.18573135766923798
codellama/CodeLlama-7b-Instruct-hf,0,,
codellama/CodeLlama-7b-Instruct-hf,1,0.2665599113286928,0.2676677703857422
codellama/CodeLlama-7b-Instruct-hf,2,0.2085869035055471,0.21340786024581554
codellama/CodeLlama-7b-Instruct-hf,3,0.18904440763384797,0.1982382522072903
codellama/CodeLlama-7b-Instruct-hf,4,0.14735994228096896,0.1510350593300753
codellama/CodeLlama-7b-Instruct-hf,5,0.09908311311588731,0.11043724902840547
codellama/CodeLlama-7b-Instruct-hf,6,0.13678871857565503,0.14156455113444216
codellama/CodeLlama-7b-Instruct-hf,7,0.13412220256273136,0.13636118589445603
codellama/CodeLlama-7b-Instruct-hf,8,0.24542875068132267,0.24542875068132267
codellama/CodeLlama-7b-Instruct-hf,9,0.3271420500999273,0.3271420500999273
codellama/CodeLlama-7b-Instruct-hf,10,0.3839161007903343,0.3839161007903343
codellama/CodeLlama-7b-Instruct-hf,11,0.34614385560501454,0.34614385560501454
codellama/CodeLlama-7b-Instruct-hf,12,0.35322677257449125,0.35322677257449125
codellama/CodeLlama-7b-Instruct-hf,13,0.3542877906976744,0.3542877906976744
codellama/CodeLlama-7b-Instruct-hf,14,0.2709849157998728,0.2709849157998728
codellama/CodeLlama-7b-Instruct-hf,15,0.27702588813249457,0.27712276370026345
codellama/CodeLlama-7b-Instruct-hf,16,0.2990021816519804,0.29932971333348474
codellama/CodeLlama-7b-Instruct-hf,17,0.3060577747433685,0.30670857983966204
codellama/CodeLlama-7b-Instruct-hf,18,0.32229862656704217,0.3227379377498183
codellama/CodeLlama-7b-Instruct-hf,19,0.31652690089026164,0.3168122047601744
codellama/CodeLlama-7b-Instruct-hf,20,0.3327838099280069,0.33303380566974017
codellama/CodeLlama-7b-Instruct-hf,21,0.3400316460188045,0.34032475671102835
codellama/CodeLlama-7b-Instruct-hf,22,0.3406175569046375,0.3406543731689453
codellama/CodeLlama-7b-Instruct-hf,23,0.340128876442133,0.3403173047442769
codellama/CodeLlama-7b-Instruct-hf,24,0.3455802368563275,0.34558896962986435
codellama/CodeLlama-7b-Instruct-hf,25,0.34205512113349384,0.34205512113349384
codellama/CodeLlama-7b-Instruct-hf,26,0.3236913237460824,0.3237142562866211
