modello,layer_analizzato,media_cosine_similarity,media_valore_assoluto
Qwen/Qwen2.5-7B-Instruct,0,,
Qwen/Qwen2.5-7B-Instruct,1,-0.24664410677823154,0.24757836081764914
Qwen/Qwen2.5-7B-Instruct,2,-0.19235749678178268,0.19389169866388495
Qwen/Qwen2.5-7B-Instruct,3,0.03186649625951594,0.06319833885539662
Qwen/Qwen2.5-7B-Instruct,4,0.06957008621909401,0.0823445970361883
Qwen/Qwen2.5-7B-Instruct,5,0.13272170587019486,0.1356739347631281
Qwen/Qwen2.5-7B-Instruct,6,0.17955994606018066,0.18047356605529785
Qwen/Qwen2.5-7B-Instruct,7,0.17442167888988147,0.17442167888988147
Qwen/Qwen2.5-7B-Instruct,8,0.20969737659801135,0.20969737659801135
Qwen/Qwen2.5-7B-Instruct,9,0.16338851235129617,0.16357959400523792
Qwen/Qwen2.5-7B-Instruct,10,0.18503451347351074,0.18526855382052335
Qwen/Qwen2.5-7B-Instruct,11,0.18248055197975852,0.18284225463867188
Qwen/Qwen2.5-7B-Instruct,12,0.1766702045093883,0.17874019796198065
Qwen/Qwen2.5-7B-Instruct,13,0.1540881937200373,0.15663277019153943
Qwen/Qwen2.5-7B-Instruct,14,0.1664662794633345,0.17185089804909445
Qwen/Qwen2.5-7B-Instruct,15,0.17992002313787286,0.18567934903231534
Qwen/Qwen2.5-7B-Instruct,16,0.15568906610662286,0.15960051796653055
Qwen/Qwen2.5-7B-Instruct,17,0.12475733323530717,0.12917787378484552
Qwen/Qwen2.5-7B-Instruct,18,0.07570876858451149,0.0772478472102772
Qwen/Qwen2.5-7B-Instruct,19,0.035934675823558464,0.051844369281422005
Qwen/Qwen2.5-7B-Instruct,20,-0.003893998536196622,0.04392956061796709
Qwen/Qwen2.5-7B-Instruct,21,0.011769478971307928,0.048827615651217376
Qwen/Qwen2.5-7B-Instruct,22,0.023847016421231357,0.05362541025335139
Qwen/Qwen2.5-7B-Instruct,23,0.0035997629165649414,0.04847081141038374
Qwen/Qwen2.5-7B-Instruct,24,0.024091655557805843,0.057111805135553535
Qwen/Qwen2.5-7B-Instruct,25,0.02402099696072665,0.05605951222506436
Qwen/Qwen2.5-7B-Instruct,26,0.04521853273565119,0.06703045151450417
Qwen/Qwen2.5-7B-Instruct,27,-0.051740391687913376,0.05385060201991688
Qwen/Qwen2.5-Coder-7B-Instruct,0,,
Qwen/Qwen2.5-Coder-7B-Instruct,1,0.14717550838694854,0.15445305319393382
Qwen/Qwen2.5-Coder-7B-Instruct,2,0.07131760260638069,0.08195629774355422
Qwen/Qwen2.5-Coder-7B-Instruct,3,0.05101415222766353,0.06933924731086283
Qwen/Qwen2.5-Coder-7B-Instruct,4,0.08152875713273591,0.09281547396790747
Qwen/Qwen2.5-Coder-7B-Instruct,5,0.13130965887331494,0.13414958879059435
Qwen/Qwen2.5-Coder-7B-Instruct,6,0.18398539225260416,0.18505171233532475
Qwen/Qwen2.5-Coder-7B-Instruct,7,0.17866594651166132,0.17866594651166132
Qwen/Qwen2.5-Coder-7B-Instruct,8,0.18853221220128677,0.18853221220128677
Qwen/Qwen2.5-Coder-7B-Instruct,9,0.1709002326516544,0.1709002326516544
Qwen/Qwen2.5-Coder-7B-Instruct,10,0.22653796626072303,0.22653796626072303
Qwen/Qwen2.5-Coder-7B-Instruct,11,0.2842191808363971,0.2842191808363971
Qwen/Qwen2.5-Coder-7B-Instruct,12,0.3095044902726716,0.3095044902726716
Qwen/Qwen2.5-Coder-7B-Instruct,13,0.3687528722426471,0.3687528722426471
Qwen/Qwen2.5-Coder-7B-Instruct,14,0.3540685317095588,0.3540685317095588
Qwen/Qwen2.5-Coder-7B-Instruct,15,0.33141132429534315,0.33141132429534315
Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2941762886795343,0.2941762886795343
Qwen/Qwen2.5-Coder-7B-Instruct,17,0.24541159237132354,0.24541159237132354
Qwen/Qwen2.5-Coder-7B-Instruct,18,0.06724653057023591,0.07072942397173713
Qwen/Qwen2.5-Coder-7B-Instruct,19,-0.07823540182674632,0.07995755064721201
Qwen/Qwen2.5-Coder-7B-Instruct,20,-0.19279330384497548,0.19279330384497548
Qwen/Qwen2.5-Coder-7B-Instruct,21,-0.23195752910539216,0.23195752910539216
Qwen/Qwen2.5-Coder-7B-Instruct,22,-0.22860298904718138,0.22860298904718138
Qwen/Qwen2.5-Coder-7B-Instruct,23,-0.23419787837009803,0.23419787837009803
