modello,layer_analizzato,layer_iniezione_locus,media_cosine_similarity,media_valore_assoluto
Qwen/Qwen2.5-7B-Instruct,0,18,,
Qwen/Qwen2.5-7B-Instruct,1,18,,
Qwen/Qwen2.5-7B-Instruct,2,18,,
Qwen/Qwen2.5-7B-Instruct,3,18,,
Qwen/Qwen2.5-7B-Instruct,4,18,,
Qwen/Qwen2.5-7B-Instruct,5,18,,
Qwen/Qwen2.5-7B-Instruct,6,18,,
Qwen/Qwen2.5-7B-Instruct,7,18,,
Qwen/Qwen2.5-7B-Instruct,8,18,,
Qwen/Qwen2.5-7B-Instruct,9,18,,
Qwen/Qwen2.5-7B-Instruct,10,18,,
Qwen/Qwen2.5-7B-Instruct,11,18,,
Qwen/Qwen2.5-7B-Instruct,12,18,,
Qwen/Qwen2.5-7B-Instruct,13,18,,
Qwen/Qwen2.5-7B-Instruct,14,18,,
Qwen/Qwen2.5-7B-Instruct,15,18,,
Qwen/Qwen2.5-7B-Instruct,16,18,,
Qwen/Qwen2.5-7B-Instruct,17,18,,
Qwen/Qwen2.5-7B-Instruct,18,18,,
Qwen/Qwen2.5-7B-Instruct,19,18,,
Qwen/Qwen2.5-7B-Instruct,20,18,-0.6987096908244681,0.6987096908244681
Qwen/Qwen2.5-7B-Instruct,21,18,-0.6630599650930851,0.6630599650930851
Qwen/Qwen2.5-7B-Instruct,22,18,-0.653818982712766,0.653818982712766
Qwen/Qwen2.5-7B-Instruct,23,18,-0.6799524185505319,0.6799524185505319
Qwen/Qwen2.5-7B-Instruct,24,18,-0.6512581033909575,0.6512581033909575
Qwen/Qwen2.5-7B-Instruct,25,18,-0.6473986037234043,0.6473986037234043
Qwen/Qwen2.5-7B-Instruct,26,18,-0.6197120179521277,0.6197120179521277
Qwen/Qwen2.5-7B-Instruct,27,18,-0.48602944232047873,0.48602944232047873
Qwen/Qwen2.5-Coder-7B-Instruct,0,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,1,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,2,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,3,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,4,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,5,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,6,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,7,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,8,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,9,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,10,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,11,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,12,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,13,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,14,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,15,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,16,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,17,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,18,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,19,18,,
Qwen/Qwen2.5-Coder-7B-Instruct,20,18,-0.7649136766975309,0.7649136766975309
