MODELLO,LAYER,Delta_AA,Delta_PI,Delta_AP,Base_AA,Base_PI,Base_AP
Qwen/Qwen2.5-7B-Instruct,0,0.0,0.0,0.0,0.775390625,0.775390625,0.775390625
Qwen/Qwen2.5-7B-Instruct,1,0.09325199336796017,0.03386133367365057,0.1706299712692482,-0.006193056211366758,-0.01807403564453125,-0.002762061962182971
Qwen/Qwen2.5-7B-Instruct,2,-0.07990575098729391,0.07688834450461646,-0.06272202643795288,0.7318363399296016,0.7243298617276278,0.7464343084805254
Qwen/Qwen2.5-7B-Instruct,3,-0.13697295136504128,-0.12041130932894617,-0.1417740531589674,1.0766118646978022,1.0694052956321023,1.0973254217617754
Qwen/Qwen2.5-7B-Instruct,4,-0.04759158668937269,-0.23546818169680506,0.10711639514867821,0.918754504277156,0.9152218320152976,0.93035714522652
Qwen/Qwen2.5-7B-Instruct,5,-0.16932041042453644,-0.24116724187677552,0.046239742334338224,-0.2989285647214114,-0.31369625438343396,-0.27999358246291894
Qwen/Qwen2.5-7B-Instruct,6,0.022898632091480353,-0.27699869329279125,-0.022052709607110366,1.3857511583265367,1.3831179358742454,1.3928687054177988
Qwen/Qwen2.5-7B-Instruct,7,-0.11515757801768522,-0.36956474997780564,0.0693514174309331,3.1163729154146633,3.1111363497647373,3.12430517224298
Qwen/Qwen2.5-7B-Instruct,8,-0.08085615556318704,-0.5101429332386362,0.041751585144927716,3.9056329412774726,3.9003406871448862,3.9077643795289854
Qwen/Qwen2.5-7B-Instruct,9,-0.02519209306318615,-0.4558604847301133,-0.31059641077898537,4.747698102678571,4.747120250355113,4.762277796648551
Qwen/Qwen2.5-7B-Instruct,10,0.024830315139267256,-1.0173956155776978,-0.11214180269103124,4.383418062231043,4.378492084416476,4.403010589489038
Qwen/Qwen2.5-7B-Instruct,11,-0.054800180288461675,-0.6027055220170454,-0.17622707201086962,3.492697244162088,3.481689453125,3.5246334352355073
Qwen/Qwen2.5-7B-Instruct,12,-0.0903826781681607,-0.6474578245119615,-0.1434668216152466,3.6643011569976807,3.656667414036664,3.684917128604391
Qwen/Qwen2.5-7B-Instruct,13,-0.03773584470644087,-0.6201574368910356,-0.279248859571374,3.790064486828479,3.787645101547241,3.8038499528083247
Qwen/Qwen2.5-7B-Instruct,14,0.024102934114225594,-0.4097323634407737,-0.058067266491876435,2.361282474392063,2.3574117747220127,2.371926293856856
Qwen/Qwen2.5-7B-Instruct,15,-0.02138779189560447,0.04488026012073876,-0.10758551998414845,2.403588598901099,2.3987593217329546,2.4125870414402173
Qwen/Qwen2.5-7B-Instruct,16,-0.06837949648008257,-0.46101101962002833,-0.15751493149909424,1.9002336774553572,1.897398515181108,1.9049956833106885
Qwen/Qwen2.5-7B-Instruct,17,-0.052949004120879106,-0.3266379616477275,0.008590919384058093,2.8251523866758244,2.819113991477273,2.8227256000905796
Qwen/Qwen2.5-7B-Instruct,18,-0.0194614955357143,-0.12385142933238635,0.10333871150362317,0.6266472785027473,0.6170765269886364,0.6283330502717391
Qwen/Qwen2.5-7B-Instruct,19,-0.843808352292239,0.05083465576171886,0.07839744678442029,0.9940165425394918,0.984316045587713,0.953963569972826
Qwen/Qwen2.5-7B-Instruct,20,-1.1090530563186813,0.005470969460227182,-0.5623867753623188,0.9836023351648352,0.9650324041193182,0.9700237771739131
Qwen/Qwen2.5-7B-Instruct,21,-1.5804000686813184,-0.5600918856534092,-1.2391162817028987,-0.8307112809065934,-0.8631369850852273,-0.9327870244565217
Qwen/Qwen2.5-7B-Instruct,22,-1.8565848214285716,-0.9062943892045454,-2.266304347826087,-0.2970037774725275,-0.3239524147727273,-0.38773777173913043
Qwen/Qwen2.5-7B-Instruct,23,-9.029876373626374,-9.707697088068182,-10.216117527173912,0.4728708791208791,0.48921342329545453,0.17629076086956522
Qwen/Qwen2.5-7B-Instruct,24,-9.661229395604396,-10.109996448863637,-10.336277173913043,0.7304258241758241,0.775390625,0.3372961956521739
Qwen/Qwen2.5-7B-Instruct,25,-9.442565247252746,-9.771040482954545,-9.436141304347826,1.1578811813186813,1.2067649147727273,0.786911231884058
Qwen/Qwen2.5-7B-Instruct,26,-8.857829670329672,-9.078835227272727,-8.491791213768115,0.8328468406593407,0.8787286931818182,0.48924365942028986
Qwen/Qwen2.5-7B-Instruct,27,-8.365041208791208,-7.471590909090908,-7.7355072463768115,0.7307692307692307,0.7817826704545454,0.4180253623188406
Qwen/Qwen2.5-7B-Instruct,28,-5.930116758241758,-5.3932883522727275,-6.000226449275361,1.396978021978022,1.4348366477272727,1.181159420289855
Qwen/Qwen2.5-Coder-7B-Instruct,0,0.0,0.0,0.0,0.994140625,0.994140625,0.994140625
Qwen/Qwen2.5-Coder-7B-Instruct,1,-0.011292317708333277,0.0745131548713236,-0.08765035962301604,1.1883268229166666,1.1768846698835784,1.2001294332837302
Qwen/Qwen2.5-Coder-7B-Instruct,2,0.009369656244913482,0.013937931434780726,-0.1097266182066905,2.139017791748047,2.1290678884468828,2.147178468250093
Qwen/Qwen2.5-Coder-7B-Instruct,3,-0.06913590749104825,-0.23498624913832722,-0.22314507620675228,0.8574188741048178,0.8572435566023284,0.8721108209519159
Qwen/Qwen2.5-Coder-7B-Instruct,4,-0.06447916666666667,-0.21233053768382354,-0.12603856646825395,-0.18174479166666666,-0.17076439950980393,-0.1648220486111111
Qwen/Qwen2.5-Coder-7B-Instruct,5,0.011260019938151178,-0.13818598728553955,-0.20230381072513648,-3.1626570638020834,-3.158638748468137,-3.147525847904266
Qwen/Qwen2.5-Coder-7B-Instruct,6,0.04363281250000006,-0.17678653492647056,-0.22515190972222232,-1.3865104166666666,-1.381280637254902,-1.3715122767857142
Qwen/Qwen2.5-Coder-7B-Instruct,7,0.0303976806004842,-0.2095722334057678,-0.2677809567678543,-0.8076257181167602,-0.8031951843523512,-0.8015310329104227
Qwen/Qwen2.5-Coder-7B-Instruct,8,0.0071101888020832504,-0.07636335784313708,-0.2511315724206349,-1.6885970052083332,-1.6913105085784315,-1.6773003472222223
