MODELLO,LAYER,Delta_AA,Delta_PI,Delta_AP,Base_AA,Base_PI,Base_AP
Qwen/Qwen2.5-7B-Instruct,0,0.0,0.0,0.0,0.775390625,0.775390625,0.775390625
Qwen/Qwen2.5-7B-Instruct,1,0.0762939453125,-0.016026814778645843,0.14804931640625,0.049560546875,0.1959381103515625,-0.00897216796875
Qwen/Qwen2.5-7B-Instruct,2,-0.10245768229166674,0.03232828776041674,-0.06321777343750001,0.7784016927083334,0.8652140299479166,0.6971337890625
Qwen/Qwen2.5-7B-Instruct,3,-0.15169270833333326,-0.1673583984375,-0.1276611328124999,1.1092122395833333,1.1986083984375,1.0233544921875
Qwen/Qwen2.5-7B-Instruct,4,-0.051849365234375,-0.25969950358072924,0.11907413482666018,0.957000732421875,0.9896901448567709,0.8913207626342774
Qwen/Qwen2.5-7B-Instruct,5,-0.13812255859375,-0.29599444071451825,0.0587486267089844,-0.3575846354166667,-0.111663818359375,-0.35822784423828125
Qwen/Qwen2.5-7B-Instruct,6,0.04492441813151049,-0.25623067220052076,-0.07681030273437495,1.3555501302083333,1.409271240234375,1.3624826049804688
Qwen/Qwen2.5-7B-Instruct,7,-0.13216145833333304,-0.4513346354166665,0.057326660156249876,3.2257486979166665,3.24786376953125,3.10760498046875
Qwen/Qwen2.5-7B-Instruct,8,-0.12858072916666696,-0.5670572916666665,0.00873046874999961,3.9866536458333335,4.023763020833333,3.90947265625
Qwen/Qwen2.5-7B-Instruct,9,-0.0556640625,-0.44303385416666696,-0.2646484375,4.891927083333333,4.828287760416667,4.724765625
Qwen/Qwen2.5-7B-Instruct,10,0.015787760416666075,-1.0452473958333335,-0.08418212890624943,4.429606119791667,4.478759765625,4.33488525390625
Qwen/Qwen2.5-7B-Instruct,11,-0.04020182291666696,-0.7418619791666665,-0.08552734375000037,3.5701497395833335,3.69287109375,3.41384765625
Qwen/Qwen2.5-7B-Instruct,12,-0.059417724609375,-0.73321533203125,-0.04740661621093745,3.72344970703125,3.8058369954427085,3.6144989013671873
Qwen/Qwen2.5-7B-Instruct,13,-0.03090413411458348,-0.6038970947265625,-0.13283477783203113,3.8682454427083335,3.8646392822265625,3.7613983154296875
Qwen/Qwen2.5-7B-Instruct,14,0.03474934895833348,-0.348210652669271,0.07328186035156214,2.3415934244791665,2.408208211263021,2.3295428466796877
Qwen/Qwen2.5-7B-Instruct,15,-0.0322265625,0.1708984375,-0.016904296874999947,2.3639322916666665,2.45458984375,2.373994140625
Qwen/Qwen2.5-7B-Instruct,16,-0.03645833333333326,-0.3235677083333335,-0.02946289062500007,1.7935384114583333,1.8884684244791667,1.874287109375
Qwen/Qwen2.5-7B-Instruct,17,0.00537109375,-0.19376627604166652,0.10669921874999977,2.6993815104166665,2.850830078125,2.8167578125
Qwen/Qwen2.5-7B-Instruct,18,0.0016276041666667407,-0.057373046875,0.13951171875,0.5944010416666666,0.7508951822916666,0.618125
Qwen/Qwen2.5-7B-Instruct,19,-0.9098307291666666,0.198577880859375,0.0700122070312501,1.0764973958333333,1.1775309244791667,1.11446044921875
Qwen/Qwen2.5-7B-Instruct,20,-1.7955729166666667,0.32926432291666674,-0.538359375,1.1842447916666667,1.3562825520833333,1.04515625
Qwen/Qwen2.5-7B-Instruct,21,-2.6022135416666665,0.1640625,-0.736328125,-0.6321614583333334,-0.255859375,-0.52515625
Qwen/Qwen2.5-7B-Instruct,22,-2.485677083333333,0.018229166666666657,-1.1521875,-0.18489583333333334,0.154296875,-0.033125
Qwen/Qwen2.5-7B-Instruct,23,-3.830729166666667,-1.673828125,-1.44875,2.0364583333333335,1.0149739583333333,1.4790625
