MODELLO,LAYER,Locus_Iniezione,Base_Steer,Delta_Steer
Qwen/Qwen2.5-7B-Instruct,0,18,-0.0044136859000997,0.0
Qwen/Qwen2.5-7B-Instruct,1,18,0.733322468209774,0.0
Qwen/Qwen2.5-7B-Instruct,2,18,1.0776523021941489,0.0
Qwen/Qwen2.5-7B-Instruct,3,18,0.919975128579647,0.0
Qwen/Qwen2.5-7B-Instruct,4,18,-0.3008005669776429,0.0
Qwen/Qwen2.5-7B-Instruct,5,18,1.3847872957270195,0.0
Qwen/Qwen2.5-7B-Instruct,6,18,3.119863631877493,0.0
Qwen/Qwen2.5-7B-Instruct,7,18,3.908218708444149,0.0
Qwen/Qwen2.5-7B-Instruct,8,18,4.75230115525266,0.0
Qwen/Qwen2.5-7B-Instruct,9,18,4.384892149174467,0.0
Qwen/Qwen2.5-7B-Instruct,10,18,3.49516913231383,0.0
Qwen/Qwen2.5-7B-Instruct,11,18,3.666188876679603,0.0
Qwen/Qwen2.5-7B-Instruct,12,18,3.7925596237182617,0.0
Qwen/Qwen2.5-7B-Instruct,13,18,2.3606541004586727,0.0
Qwen/Qwen2.5-7B-Instruct,14,18,2.402322972074468,0.0
Qwen/Qwen2.5-7B-Instruct,15,18,1.8968285093916224,0.0
Qwen/Qwen2.5-7B-Instruct,16,18,2.8211384225398937,0.0
Qwen/Qwen2.5-7B-Instruct,17,18,0.6256181432845744,0.0
Qwen/Qwen2.5-7B-Instruct,18,18,0.996648910197806,0.0
Qwen/Qwen2.5-7B-Instruct,19,18,0.990005817819149,-0.4929770611702128
Qwen/Qwen2.5-7B-Instruct,20,18,-0.8243745844414894,-0.5691801030585106
Qwen/Qwen2.5-7B-Instruct,21,18,-0.2934258643617021,-0.622797539893617
Qwen/Qwen2.5-7B-Instruct,22,18,0.5227726063829787,-9.60002493351064
Qwen/Qwen2.5-7B-Instruct,23,18,0.7819148936170213,-10.82488364361702
Qwen/Qwen2.5-7B-Instruct,24,18,1.1999667553191489,-10.539104055851064
Qwen/Qwen2.5-7B-Instruct,25,18,0.8775764627659575,-9.952543218085108
Qwen/Qwen2.5-7B-Instruct,26,18,0.785405585106383,-8.958776595744682
Qwen/Qwen2.5-7B-Instruct,27,18,1.4290226063829787,-7.272440159574469
Qwen/Qwen2.5-Coder-7B-Instruct,0,18,1.1945589795524691,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,1,18,2.141794510829596,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,2,18,0.8597018865891445,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,3,18,-0.1780478395061728,0.0
