MODELLO,LAYER,Locus_Iniezione,Base_Steer,Delta_Steer
meta-llama/Llama-3.1-8B-Instruct,0,15,1.5234375,0.0
meta-llama/Llama-3.1-8B-Instruct,1,15,2.37890625,0.0
meta-llama/Llama-3.1-8B-Instruct,2,15,3.48046875,0.0
meta-llama/Llama-3.1-8B-Instruct,3,15,1.00048828125,0.0
meta-llama/Llama-3.1-8B-Instruct,4,15,2.1650390625,0.0
meta-llama/Llama-3.1-8B-Instruct,5,15,2.5848388671875,0.0
meta-llama/Llama-3.1-8B-Instruct,6,15,0.130859375,0.0
meta-llama/Llama-3.1-8B-Instruct,7,15,0.62109375,0.0
meta-llama/Llama-3.1-8B-Instruct,8,15,1.041259765625,0.0
meta-llama/Llama-3.1-8B-Instruct,9,15,-0.3515625,0.0
meta-llama/Llama-3.1-8B-Instruct,10,15,-0.296875,0.0
meta-llama/Llama-3.1-8B-Instruct,11,15,0.12890625,0.0
meta-llama/Llama-3.1-8B-Instruct,12,15,-2.99609375,0.0
meta-llama/Llama-3.1-8B-Instruct,13,15,-1.416015625,0.0
meta-llama/Llama-3.1-8B-Instruct,14,15,-0.94677734375,0.0
meta-llama/Llama-3.1-8B-Instruct,15,15,-0.9345703125,0.0
meta-llama/Llama-3.1-8B-Instruct,16,15,-0.92578125,0.0
meta-llama/Llama-3.1-8B-Instruct,17,15,-1.8974609375,-1.36962890625
meta-llama/Llama-3.1-8B-Instruct,18,15,-0.94140625,-2.0517578125
meta-llama/Llama-3.1-8B-Instruct,19,15,0.17578125,-2.228515625
meta-llama/Llama-3.1-8B-Instruct,20,15,1.892578125,-3.927734375
meta-llama/Llama-3.1-8B-Instruct,21,15,3.51953125,-3.48046875
meta-llama/Llama-3.1-8B-Instruct,22,15,3.044921875,-3.943359375
meta-llama/Llama-3.1-8B-Instruct,23,15,4.4140625,-5.09375
meta-llama/Llama-3.1-8B-Instruct,24,15,5.6953125,-4.109375
meta-llama/Llama-3.1-8B-Instruct,25,15,6.515625,-5.171875
meta-llama/Llama-3.1-8B-Instruct,26,15,6.765625,-5.0859375
meta-llama/Llama-3.1-8B-Instruct,27,15,5.2578125,-4.703125
meta-llama/Llama-3.1-8B-Instruct,28,15,3.671875,-4.0703125
meta-llama/Llama-3.1-8B-Instruct,29,15,5.5390625,-3.71875
meta-llama/Llama-3.1-8B-Instruct,30,15,6.5078125,-3.9140625
meta-llama/Llama-3.1-8B-Instruct,31,15,4.296875,-3.34375
meta-llama/Llama-3.1-8B-Instruct,32,15,4.4375,-3.984375
codellama/CodeLlama-7b-Instruct-hf,0,13,0.5419921875,0.0
codellama/CodeLlama-7b-Instruct-hf,1,13,-0.2744140625,0.0
codellama/CodeLlama-7b-Instruct-hf,2,13,0.34765625,0.0
codellama/CodeLlama-7b-Instruct-hf,3,13,0.9467239379882812,0.0
codellama/CodeLlama-7b-Instruct-hf,4,13,0.458984375,0.0
