Modello,Activation Steering,Advanced Adversarial,Adversarial Perturbations,Logit Bias,Pizza Perturbation,Prompt Injection,Snipe Steering
Qwen/Qwen2.5-3B-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,7.14
Qwen/Qwen2.5-7B-Instruct,0.0,96.81,73.4,74.47,42.55,93.62,0.0
Qwen/Qwen2.5-Coder-3B-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,3.58
Qwen/Qwen2.5-Coder-7B-Instruct,0.0,92.59,77.78,83.95,12.35,62.96,0.0
codellama/CodeLlama-7b-Instruct-hf,0.0,3.02,13.07,0.0,11.56,100.0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0.0,0.0,0.0,0.0,0.0,0.0,45.22
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,15.21,17.49,43.73,31.18,17.49,53.23,0.0
deepseek-ai/deepseek-coder-6.7b-instruct,68.57,71.43,42.86,14.29,85.71,14.29,0.0
meta-llama/Llama-3.1-8B-Instruct,0.0,0.31,0.0,78.95,2.17,40.56,0.0
meta-llama/Llama-3.2-3B-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,12.5
