id_snippet,modello,layer_attaccato,moltiplicatore,target_vero,predizione_baseline,predizione_post_steering
0,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
1,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
2,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
3,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
4,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
5,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
6,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
7,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
8,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
9,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
10,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
11,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
12,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
13,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
14,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
15,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
16,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
17,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
18,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
19,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
20,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
21,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
22,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
23,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
24,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
25,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
26,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
27,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
28,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
29,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
30,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
31,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
32,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
33,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
34,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
35,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
36,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
37,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
38,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
39,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
40,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro
