modello,layer,moltiplicatore,asr_percentuale,errori_percentuale
Qwen/Qwen2.5-7B-Instruct,0,20,48.93617021276596,0.0
Qwen/Qwen2.5-7B-Instruct,1,20,7.446808510638298,0.0
Qwen/Qwen2.5-7B-Instruct,2,20,27.659574468085108,0.0
Qwen/Qwen2.5-7B-Instruct,3,20,10.638297872340425,0.0
Qwen/Qwen2.5-7B-Instruct,4,20,2.127659574468085,0.0
Qwen/Qwen2.5-7B-Instruct,5,20,2.127659574468085,0.0
Qwen/Qwen2.5-7B-Instruct,6,20,13.829787234042554,0.0
Qwen/Qwen2.5-7B-Instruct,7,20,30.851063829787233,0.0
Qwen/Qwen2.5-7B-Instruct,8,20,6.382978723404255,0.0
Qwen/Qwen2.5-7B-Instruct,9,20,30.851063829787233,0.0
Qwen/Qwen2.5-7B-Instruct,10,20,39.361702127659576,0.0
Qwen/Qwen2.5-7B-Instruct,11,20,40.42553191489361,0.0
Qwen/Qwen2.5-7B-Instruct,12,20,35.1063829787234,0.0
Qwen/Qwen2.5-7B-Instruct,13,20,54.25531914893617,0.0
Qwen/Qwen2.5-7B-Instruct,14,20,73.40425531914893,0.0
Qwen/Qwen2.5-7B-Instruct,15,20,79.7872340425532,0.0
Qwen/Qwen2.5-7B-Instruct,16,20,55.319148936170215,0.0
Qwen/Qwen2.5-7B-Instruct,17,20,85.1063829787234,0.0
Qwen/Qwen2.5-7B-Instruct,18,20,100.0,0.0
Qwen/Qwen2.5-7B-Instruct,19,20,98.93617021276596,0.0
Qwen/Qwen2.5-7B-Instruct,20,20,95.74468085106383,0.0
Qwen/Qwen2.5-7B-Instruct,21,20,45.744680851063826,0.0
Qwen/Qwen2.5-7B-Instruct,22,20,10.638297872340425,0.0
Qwen/Qwen2.5-7B-Instruct,23,20,8.51063829787234,0.0
Qwen/Qwen2.5-7B-Instruct,24,20,9.574468085106384,0.0
Qwen/Qwen2.5-7B-Instruct,25,20,8.51063829787234,0.0
Qwen/Qwen2.5-7B-Instruct,26,20,8.51063829787234,0.0
Qwen/Qwen2.5-7B-Instruct,27,20,7.446808510638298,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,0,30,3.7037037037037033,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,1,30,4.938271604938271,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,2,30,6.172839506172839,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,3,30,6.172839506172839,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,4,30,4.938271604938271,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,5,30,7.4074074074074066,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,6,30,2.4691358024691357,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,7,30,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,8,30,2.4691358024691357,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,9,30,6.172839506172839,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,10,30,4.938271604938271,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,11,30,8.641975308641975,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,12,30,2.4691358024691357,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,13,30,7.4074074074074066,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,14,30,35.80246913580247,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,15,30,53.086419753086425,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,16,30,48.148148148148145,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,17,30,93.82716049382715,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,18,30,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,19,30,98.76543209876543,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,20,30,97.53086419753086,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,21,30,87.65432098765432,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,22,30,37.03703703703704,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,23,30,37.03703703703704,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,24,30,29.629629629629626,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,25,30,20.98765432098765,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,26,30,13.580246913580247,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,27,30,28.39506172839506,0.0
meta-llama/Llama-3.1-8B-Instruct,0,3,0.0,96.28482972136223
meta-llama/Llama-3.1-8B-Instruct,1,3,25.696594427244584,0.0
meta-llama/Llama-3.1-8B-Instruct,2,3,4.024767801857585,0.0
meta-llama/Llama-3.1-8B-Instruct,3,3,0.30959752321981426,0.0
meta-llama/Llama-3.1-8B-Instruct,4,3,2.1671826625387,0.0
meta-llama/Llama-3.1-8B-Instruct,5,3,3.4055727554179565,0.0
meta-llama/Llama-3.1-8B-Instruct,6,3,6.191950464396285,0.6191950464396285
meta-llama/Llama-3.1-8B-Instruct,7,3,2.476780185758514,0.30959752321981426
meta-llama/Llama-3.1-8B-Instruct,8,3,0.6191950464396285,0.0
meta-llama/Llama-3.1-8B-Instruct,9,3,1.8575851393188854,0.0
meta-llama/Llama-3.1-8B-Instruct,10,3,0.6191950464396285,0.0
meta-llama/Llama-3.1-8B-Instruct,11,3,0.30959752321981426,0.30959752321981426
meta-llama/Llama-3.1-8B-Instruct,12,3,34.05572755417957,1.5479876160990713
meta-llama/Llama-3.1-8B-Instruct,13,3,53.56037151702786,0.6191950464396285
meta-llama/Llama-3.1-8B-Instruct,14,3,87.61609907120743,1.8575851393188854
meta-llama/Llama-3.1-8B-Instruct,15,3,89.1640866873065,1.8575851393188854
meta-llama/Llama-3.1-8B-Instruct,16,3,69.04024767801857,1.238390092879257
