id_snippet,modello,layer_attaccato,moltiplicatore,target_vero,predizione_post_steering
0,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
1,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
2,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
3,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
4,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
5,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
6,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
7,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
8,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
9,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
10,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
11,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
12,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Sicuro
13,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
14,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
15,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
16,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
17,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
18,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
19,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
20,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Sicuro
21,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
22,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
23,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
24,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
25,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
26,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
27,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Sicuro
28,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
29,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
30,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Sicuro
31,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
32,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
33,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
34,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
35,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
36,Qwen/Qwen2.5-7B-Instruct,1,20,Vulnerabile,Vulnerabile
