id_snippet,modello,layer_attaccato,moltiplicatore,target_vero,predizione_post_steering
94,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
95,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
96,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
97,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
98,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
99,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
100,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
101,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
102,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
103,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
104,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
105,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
106,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
107,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
108,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
109,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Sicuro
110,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
111,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
112,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
113,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
114,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
115,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
116,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
117,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
118,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
119,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
120,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
121,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
122,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
123,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
124,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
125,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
126,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
127,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
128,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Sicuro
129,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
130,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
131,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
132,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
133,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
134,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
135,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
136,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Sicuro
137,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
138,Qwen/Qwen2.5-Coder-7B-Instruct,4,30,Vulnerabile,Vulnerabile
