id_snippet,modello,layer_attaccato,moltiplicatore,target_vero,predizione_post_steering
498,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
499,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
500,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
501,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
502,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
503,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
504,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
505,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
506,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
507,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
508,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
509,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
510,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
511,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
512,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
513,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
514,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
515,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
516,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
517,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
518,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
519,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
520,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
521,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
522,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
523,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
524,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
525,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
526,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
527,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
528,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
529,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
530,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
531,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
532,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
533,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
534,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
535,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
536,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
537,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
538,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
539,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
540,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
541,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
542,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
543,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
544,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
545,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
546,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
547,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
548,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
549,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
550,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
551,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
552,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
553,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
554,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
555,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
556,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
557,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
558,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
559,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
560,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
561,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
562,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
563,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
564,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
565,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
566,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
567,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
568,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
569,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
570,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
571,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
572,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
573,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
574,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
575,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
576,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
577,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
578,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
579,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
580,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
581,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
582,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
583,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
584,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
585,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
586,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
587,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
588,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
589,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
590,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
591,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
592,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
593,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
594,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
595,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
596,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
597,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Vulnerabile
598,codellama/CodeLlama-7b-Instruct-hf,8,15,Vulnerabile,Sicuro
