id_snippet,modello,layer_attaccato,moltiplicatore,target_vero,predizione_post_steering
175,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
176,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
177,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
178,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
179,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
180,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
181,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
182,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
183,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Vulnerabile
184,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
185,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
186,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
187,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
188,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
189,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
190,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
191,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Non Classificato
192,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
193,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
194,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
195,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
196,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
197,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
198,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Vulnerabile
199,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
200,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
201,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Vulnerabile
202,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
203,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
204,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
205,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Non Classificato
206,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
207,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
208,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
209,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
210,meta-llama/Llama-3.1-8B-Instruct,15,3,Vulnerabile,Sicuro
