id_snippet,modello,layer_analizzato,cosine_similarity,valore_assoluto_allineamento
1,Qwen/Qwen2.5-7B-Instruct,18,0.1748046875,0.1748046875
3,Qwen/Qwen2.5-7B-Instruct,18,0.06854248046875,0.06854248046875
4,Qwen/Qwen2.5-7B-Instruct,18,0.1287841796875,0.1287841796875
6,Qwen/Qwen2.5-7B-Instruct,18,0.11053466796875,0.11053466796875
7,Qwen/Qwen2.5-7B-Instruct,18,0.1304931640625,0.1304931640625
9,Qwen/Qwen2.5-7B-Instruct,18,0.1552734375,0.1552734375
10,Qwen/Qwen2.5-7B-Instruct,18,-0.043670654296875,0.043670654296875
11,Qwen/Qwen2.5-7B-Instruct,18,0.160888671875,0.160888671875
12,Qwen/Qwen2.5-7B-Instruct,18,0.09356689453125,0.09356689453125
14,Qwen/Qwen2.5-7B-Instruct,18,0.1259765625,0.1259765625
15,Qwen/Qwen2.5-7B-Instruct,18,0.1605224609375,0.1605224609375
16,Qwen/Qwen2.5-7B-Instruct,18,0.1868896484375,0.1868896484375
17,Qwen/Qwen2.5-7B-Instruct,18,0.0655517578125,0.0655517578125
18,Qwen/Qwen2.5-7B-Instruct,18,0.102294921875,0.102294921875
19,Qwen/Qwen2.5-7B-Instruct,18,0.177734375,0.177734375
20,Qwen/Qwen2.5-7B-Instruct,18,0.137939453125,0.137939453125
21,Qwen/Qwen2.5-7B-Instruct,18,0.1663818359375,0.1663818359375
25,Qwen/Qwen2.5-7B-Instruct,18,-0.0234375,0.0234375
26,Qwen/Qwen2.5-7B-Instruct,18,0.10784912109375,0.10784912109375
27,Qwen/Qwen2.5-7B-Instruct,18,0.12060546875,0.12060546875
28,Qwen/Qwen2.5-7B-Instruct,18,0.004123687744140625,0.004123687744140625
29,Qwen/Qwen2.5-7B-Instruct,18,0.043121337890625,0.043121337890625
30,Qwen/Qwen2.5-7B-Instruct,18,0.1279296875,0.1279296875
31,Qwen/Qwen2.5-7B-Instruct,18,0.10003662109375,0.10003662109375
32,Qwen/Qwen2.5-7B-Instruct,18,0.00614166259765625,0.00614166259765625
33,Qwen/Qwen2.5-7B-Instruct,18,0.03228759765625,0.03228759765625
34,Qwen/Qwen2.5-7B-Instruct,18,0.13427734375,0.13427734375
35,Qwen/Qwen2.5-7B-Instruct,18,0.1549072265625,0.1549072265625
36,Qwen/Qwen2.5-7B-Instruct,18,0.11065673828125,0.11065673828125
37,Qwen/Qwen2.5-7B-Instruct,18,0.0994873046875,0.0994873046875
38,Qwen/Qwen2.5-7B-Instruct,18,-0.039276123046875,0.039276123046875
40,Qwen/Qwen2.5-7B-Instruct,18,0.1104736328125,0.1104736328125
41,Qwen/Qwen2.5-7B-Instruct,18,0.1258544921875,0.1258544921875
42,Qwen/Qwen2.5-7B-Instruct,18,0.1881103515625,0.1881103515625
43,Qwen/Qwen2.5-7B-Instruct,18,0.16162109375,0.16162109375
44,Qwen/Qwen2.5-7B-Instruct,18,0.04913330078125,0.04913330078125
45,Qwen/Qwen2.5-7B-Instruct,18,0.1396484375,0.1396484375
46,Qwen/Qwen2.5-7B-Instruct,18,0.040557861328125,0.040557861328125
48,Qwen/Qwen2.5-7B-Instruct,18,0.08642578125,0.08642578125
49,Qwen/Qwen2.5-7B-Instruct,18,0.1473388671875,0.1473388671875
50,Qwen/Qwen2.5-7B-Instruct,18,0.19140625,0.19140625
52,Qwen/Qwen2.5-7B-Instruct,18,0.07171630859375,0.07171630859375
53,Qwen/Qwen2.5-7B-Instruct,18,0.14501953125,0.14501953125
54,Qwen/Qwen2.5-7B-Instruct,18,0.1353759765625,0.1353759765625
56,Qwen/Qwen2.5-7B-Instruct,18,0.1722412109375,0.1722412109375
58,Qwen/Qwen2.5-7B-Instruct,18,0.125244140625,0.125244140625
60,Qwen/Qwen2.5-7B-Instruct,18,0.20849609375,0.20849609375
