id_snippet,modello,layer_analizzato,cosine_similarity,valore_assoluto_allineamento
0,Qwen/Qwen2.5-7B-Instruct,16,0.1810302734375,0.1810302734375
1,Qwen/Qwen2.5-7B-Instruct,16,0.2166748046875,0.2166748046875
2,Qwen/Qwen2.5-7B-Instruct,16,0.1534423828125,0.1534423828125
3,Qwen/Qwen2.5-7B-Instruct,16,0.0919189453125,0.0919189453125
4,Qwen/Qwen2.5-7B-Instruct,16,0.169677734375,0.169677734375
5,Qwen/Qwen2.5-7B-Instruct,16,-0.08367919921875,0.08367919921875
6,Qwen/Qwen2.5-7B-Instruct,16,0.1856689453125,0.1856689453125
7,Qwen/Qwen2.5-7B-Instruct,16,0.2122802734375,0.2122802734375
8,Qwen/Qwen2.5-7B-Instruct,16,0.2103271484375,0.2103271484375
9,Qwen/Qwen2.5-7B-Instruct,16,0.2042236328125,0.2042236328125
10,Qwen/Qwen2.5-7B-Instruct,16,0.006420135498046875,0.006420135498046875
11,Qwen/Qwen2.5-7B-Instruct,16,0.1925048828125,0.1925048828125
12,Qwen/Qwen2.5-7B-Instruct,16,0.1854248046875,0.1854248046875
13,Qwen/Qwen2.5-7B-Instruct,16,0.1990966796875,0.1990966796875
14,Qwen/Qwen2.5-7B-Instruct,16,0.259765625,0.259765625
15,Qwen/Qwen2.5-7B-Instruct,16,0.2237548828125,0.2237548828125
16,Qwen/Qwen2.5-7B-Instruct,16,0.23046875,0.23046875
18,Qwen/Qwen2.5-7B-Instruct,16,0.1185302734375,0.1185302734375
19,Qwen/Qwen2.5-7B-Instruct,16,0.27197265625,0.27197265625
20,Qwen/Qwen2.5-7B-Instruct,16,0.1910400390625,0.1910400390625
21,Qwen/Qwen2.5-7B-Instruct,16,0.2188720703125,0.2188720703125
22,Qwen/Qwen2.5-7B-Instruct,16,-0.012725830078125,0.012725830078125
23,Qwen/Qwen2.5-7B-Instruct,16,0.15625,0.15625
24,Qwen/Qwen2.5-7B-Instruct,16,0.2020263671875,0.2020263671875
25,Qwen/Qwen2.5-7B-Instruct,16,0.10955810546875,0.10955810546875
26,Qwen/Qwen2.5-7B-Instruct,16,0.183349609375,0.183349609375
27,Qwen/Qwen2.5-7B-Instruct,16,0.201171875,0.201171875
28,Qwen/Qwen2.5-7B-Instruct,16,0.0889892578125,0.0889892578125
29,Qwen/Qwen2.5-7B-Instruct,16,0.0321044921875,0.0321044921875
30,Qwen/Qwen2.5-7B-Instruct,16,0.250732421875,0.250732421875
31,Qwen/Qwen2.5-7B-Instruct,16,0.2188720703125,0.2188720703125
32,Qwen/Qwen2.5-7B-Instruct,16,0.0726318359375,0.0726318359375
33,Qwen/Qwen2.5-7B-Instruct,16,0.2008056640625,0.2008056640625
34,Qwen/Qwen2.5-7B-Instruct,16,0.1971435546875,0.1971435546875
35,Qwen/Qwen2.5-7B-Instruct,16,0.2578125,0.2578125
36,Qwen/Qwen2.5-7B-Instruct,16,0.20263671875,0.20263671875
37,Qwen/Qwen2.5-7B-Instruct,16,0.1876220703125,0.1876220703125
38,Qwen/Qwen2.5-7B-Instruct,16,0.0986328125,0.0986328125
39,Qwen/Qwen2.5-7B-Instruct,16,0.26904296875,0.26904296875
40,Qwen/Qwen2.5-7B-Instruct,16,0.189453125,0.189453125
41,Qwen/Qwen2.5-7B-Instruct,16,0.1939697265625,0.1939697265625
42,Qwen/Qwen2.5-7B-Instruct,16,0.2337646484375,0.2337646484375
43,Qwen/Qwen2.5-7B-Instruct,16,0.190185546875,0.190185546875
44,Qwen/Qwen2.5-7B-Instruct,16,0.144287109375,0.144287109375
45,Qwen/Qwen2.5-7B-Instruct,16,0.1751708984375,0.1751708984375
46,Qwen/Qwen2.5-7B-Instruct,16,0.1683349609375,0.1683349609375
47,Qwen/Qwen2.5-7B-Instruct,16,0.20703125,0.20703125
48,Qwen/Qwen2.5-7B-Instruct,16,0.21337890625,0.21337890625
49,Qwen/Qwen2.5-7B-Instruct,16,0.209228515625,0.209228515625
50,Qwen/Qwen2.5-7B-Instruct,16,0.2427978515625,0.2427978515625
51,Qwen/Qwen2.5-7B-Instruct,16,0.0751953125,0.0751953125
52,Qwen/Qwen2.5-7B-Instruct,16,0.2303466796875,0.2303466796875
53,Qwen/Qwen2.5-7B-Instruct,16,0.2044677734375,0.2044677734375
54,Qwen/Qwen2.5-7B-Instruct,16,0.1700439453125,0.1700439453125
55,Qwen/Qwen2.5-7B-Instruct,16,0.2418212890625,0.2418212890625
56,Qwen/Qwen2.5-7B-Instruct,16,0.2186279296875,0.2186279296875
57,Qwen/Qwen2.5-7B-Instruct,16,0.137451171875,0.137451171875
58,Qwen/Qwen2.5-7B-Instruct,16,0.1573486328125,0.1573486328125
59,Qwen/Qwen2.5-7B-Instruct,16,0.210693359375,0.210693359375
60,Qwen/Qwen2.5-7B-Instruct,16,0.2154541015625,0.2154541015625
61,Qwen/Qwen2.5-7B-Instruct,16,0.1270751953125,0.1270751953125
62,Qwen/Qwen2.5-7B-Instruct,16,0.2371826171875,0.2371826171875
63,Qwen/Qwen2.5-7B-Instruct,16,0.2088623046875,0.2088623046875
64,Qwen/Qwen2.5-7B-Instruct,16,0.21142578125,0.21142578125
65,Qwen/Qwen2.5-7B-Instruct,16,0.2283935546875,0.2283935546875
66,Qwen/Qwen2.5-7B-Instruct,16,0.20361328125,0.20361328125
67,Qwen/Qwen2.5-7B-Instruct,16,0.167724609375,0.167724609375
68,Qwen/Qwen2.5-7B-Instruct,16,0.1822509765625,0.1822509765625
69,Qwen/Qwen2.5-7B-Instruct,16,0.2061767578125,0.2061767578125
70,Qwen/Qwen2.5-7B-Instruct,16,0.2176513671875,0.2176513671875
71,Qwen/Qwen2.5-7B-Instruct,16,0.19482421875,0.19482421875
72,Qwen/Qwen2.5-7B-Instruct,16,0.2091064453125,0.2091064453125
73,Qwen/Qwen2.5-7B-Instruct,16,0.07464599609375,0.07464599609375
74,Qwen/Qwen2.5-7B-Instruct,16,0.2366943359375,0.2366943359375
75,Qwen/Qwen2.5-7B-Instruct,16,0.124267578125,0.124267578125
76,Qwen/Qwen2.5-7B-Instruct,16,0.2232666015625,0.2232666015625
77,Qwen/Qwen2.5-7B-Instruct,16,0.211669921875,0.211669921875
80,Qwen/Qwen2.5-7B-Instruct,16,0.1640625,0.1640625
81,Qwen/Qwen2.5-7B-Instruct,16,0.14794921875,0.14794921875
82,Qwen/Qwen2.5-7B-Instruct,16,0.17626953125,0.17626953125
84,Qwen/Qwen2.5-7B-Instruct,16,-0.0019683837890625,0.0019683837890625
85,Qwen/Qwen2.5-7B-Instruct,16,-0.044952392578125,0.044952392578125
86,Qwen/Qwen2.5-7B-Instruct,16,0.1689453125,0.1689453125
87,Qwen/Qwen2.5-7B-Instruct,16,0.2254638671875,0.2254638671875
88,Qwen/Qwen2.5-7B-Instruct,16,0.1927490234375,0.1927490234375
89,Qwen/Qwen2.5-7B-Instruct,16,0.12139892578125,0.12139892578125
91,Qwen/Qwen2.5-7B-Instruct,16,0.2232666015625,0.2232666015625
92,Qwen/Qwen2.5-7B-Instruct,16,0.2392578125,0.2392578125
94,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.27685546875,0.27685546875
95,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.279296875,0.279296875
96,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.268310546875,0.268310546875
98,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.278076171875,0.278076171875
99,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.1748046875,0.1748046875
100,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.1580810546875,0.1580810546875
101,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.239501953125,0.239501953125
102,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2763671875,0.2763671875
103,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.13818359375,0.13818359375
106,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.18701171875,0.18701171875
107,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.1727294921875,0.1727294921875
108,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2666015625,0.2666015625
109,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.318115234375,0.318115234375
111,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.26171875,0.26171875
114,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.1781005859375,0.1781005859375
115,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.271484375,0.271484375
116,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.265625,0.265625
117,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.341064453125,0.341064453125
118,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.25732421875,0.25732421875
119,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.219970703125,0.219970703125
120,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.287353515625,0.287353515625
121,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.1854248046875,0.1854248046875
122,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2393798828125,0.2393798828125
123,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.242431640625,0.242431640625
125,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.26123046875,0.26123046875
126,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.31396484375,0.31396484375
128,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2578125,0.2578125
132,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.1356201171875,0.1356201171875
133,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.07843017578125,0.07843017578125
135,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.3291015625,0.3291015625
136,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2099609375,0.2099609375
137,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.304931640625,0.304931640625
138,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.254638671875,0.254638671875
140,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.275390625,0.275390625
142,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.284912109375,0.284912109375
143,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.310791015625,0.310791015625
145,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.277587890625,0.277587890625
146,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.229248046875,0.229248046875
148,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.252685546875,0.252685546875
150,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.295654296875,0.295654296875
151,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.224365234375,0.224365234375
152,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.264892578125,0.264892578125
