id_snippet,modello,layer_analizzato,cosine_similarity,valore_assoluto_allineamento
0,Qwen/Qwen2.5-7B-Instruct,16,0.210205078125,0.210205078125
1,Qwen/Qwen2.5-7B-Instruct,16,0.253173828125,0.253173828125
3,Qwen/Qwen2.5-7B-Instruct,16,0.216796875,0.216796875
4,Qwen/Qwen2.5-7B-Instruct,16,0.262939453125,0.262939453125
7,Qwen/Qwen2.5-7B-Instruct,16,0.27197265625,0.27197265625
11,Qwen/Qwen2.5-7B-Instruct,16,0.25830078125,0.25830078125
14,Qwen/Qwen2.5-7B-Instruct,16,0.27978515625,0.27978515625
15,Qwen/Qwen2.5-7B-Instruct,16,0.240234375,0.240234375
16,Qwen/Qwen2.5-7B-Instruct,16,0.286865234375,0.286865234375
17,Qwen/Qwen2.5-7B-Instruct,16,0.282958984375,0.282958984375
18,Qwen/Qwen2.5-7B-Instruct,16,0.14111328125,0.14111328125
19,Qwen/Qwen2.5-7B-Instruct,16,0.300537109375,0.300537109375
20,Qwen/Qwen2.5-7B-Instruct,16,0.288818359375,0.288818359375
21,Qwen/Qwen2.5-7B-Instruct,16,0.2108154296875,0.2108154296875
22,Qwen/Qwen2.5-7B-Instruct,16,0.00348663330078125,0.00348663330078125
26,Qwen/Qwen2.5-7B-Instruct,16,0.2607421875,0.2607421875
29,Qwen/Qwen2.5-7B-Instruct,16,0.0921630859375,0.0921630859375
30,Qwen/Qwen2.5-7B-Instruct,16,0.26806640625,0.26806640625
34,Qwen/Qwen2.5-7B-Instruct,16,0.233642578125,0.233642578125
36,Qwen/Qwen2.5-7B-Instruct,16,0.158203125,0.158203125
38,Qwen/Qwen2.5-7B-Instruct,16,0.06585693359375,0.06585693359375
40,Qwen/Qwen2.5-7B-Instruct,16,0.1505126953125,0.1505126953125
42,Qwen/Qwen2.5-7B-Instruct,16,0.31689453125,0.31689453125
43,Qwen/Qwen2.5-7B-Instruct,16,0.26220703125,0.26220703125
44,Qwen/Qwen2.5-7B-Instruct,16,0.2161865234375,0.2161865234375
45,Qwen/Qwen2.5-7B-Instruct,16,0.2041015625,0.2041015625
48,Qwen/Qwen2.5-7B-Instruct,16,0.250732421875,0.250732421875
49,Qwen/Qwen2.5-7B-Instruct,16,0.2396240234375,0.2396240234375
50,Qwen/Qwen2.5-7B-Instruct,16,0.296630859375,0.296630859375
52,Qwen/Qwen2.5-7B-Instruct,16,0.14794921875,0.14794921875
56,Qwen/Qwen2.5-7B-Instruct,16,0.2222900390625,0.2222900390625
57,Qwen/Qwen2.5-7B-Instruct,16,0.15478515625,0.15478515625
59,Qwen/Qwen2.5-7B-Instruct,16,0.270751953125,0.270751953125
63,Qwen/Qwen2.5-7B-Instruct,16,0.2978515625,0.2978515625
64,Qwen/Qwen2.5-7B-Instruct,16,0.2783203125,0.2783203125
65,Qwen/Qwen2.5-7B-Instruct,16,0.242919921875,0.242919921875
67,Qwen/Qwen2.5-7B-Instruct,16,0.0875244140625,0.0875244140625
70,Qwen/Qwen2.5-7B-Instruct,16,0.21484375,0.21484375
73,Qwen/Qwen2.5-7B-Instruct,16,0.10064697265625,0.10064697265625
74,Qwen/Qwen2.5-7B-Instruct,16,0.1517333984375,0.1517333984375
75,Qwen/Qwen2.5-7B-Instruct,16,0.2073974609375,0.2073974609375
76,Qwen/Qwen2.5-7B-Instruct,16,0.253173828125,0.253173828125
78,Qwen/Qwen2.5-7B-Instruct,16,0.260009765625,0.260009765625
85,Qwen/Qwen2.5-7B-Instruct,16,0.0853271484375,0.0853271484375
89,Qwen/Qwen2.5-7B-Instruct,16,0.0892333984375,0.0892333984375
90,Qwen/Qwen2.5-7B-Instruct,16,0.22265625,0.22265625
91,Qwen/Qwen2.5-7B-Instruct,16,0.32177734375,0.32177734375
92,Qwen/Qwen2.5-7B-Instruct,16,0.299560546875,0.299560546875
93,Qwen/Qwen2.5-7B-Instruct,16,0.1953125,0.1953125
94,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.3310546875,0.3310546875
96,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.24072265625,0.24072265625
97,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.33349609375,0.33349609375
98,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.420654296875,0.420654296875
99,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2073974609375,0.2073974609375
101,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.35986328125,0.35986328125
102,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.354248046875,0.354248046875
103,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.1326904296875,0.1326904296875
104,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.252685546875,0.252685546875
106,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.332763671875,0.332763671875
107,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.30126953125,0.30126953125
109,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.44384765625,0.44384765625
110,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.27880859375,0.27880859375
111,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.38671875,0.38671875
112,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.13037109375,0.13037109375
113,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.404296875,0.404296875
116,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.324462890625,0.324462890625
117,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.469482421875,0.469482421875
118,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.382080078125,0.382080078125
119,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.33935546875,0.33935546875
120,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.396484375,0.396484375
121,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.302734375,0.302734375
123,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.3505859375,0.3505859375
124,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.390869140625,0.390869140625
125,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.365234375,0.365234375
126,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.3115234375,0.3115234375
128,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.369384765625,0.369384765625
130,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2041015625,0.2041015625
131,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.409423828125,0.409423828125
134,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.349365234375,0.349365234375
135,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.422119140625,0.422119140625
136,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.34912109375,0.34912109375
138,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.36572265625,0.36572265625
140,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2147216796875,0.2147216796875
144,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.328369140625,0.328369140625
146,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.341064453125,0.341064453125
147,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.308837890625,0.308837890625
149,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.29150390625,0.29150390625
150,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.259521484375,0.259521484375
151,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.340087890625,0.340087890625
152,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.26806640625,0.26806640625
153,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.2509765625,0.2509765625
154,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.411376953125,0.411376953125
156,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.36865234375,0.36865234375
158,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.33740234375,0.33740234375
159,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.13134765625,0.13134765625
161,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.406982421875,0.406982421875
162,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.252685546875,0.252685546875
163,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.318603515625,0.318603515625
164,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.33740234375,0.33740234375
166,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.422119140625,0.422119140625
167,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.4658203125,0.4658203125
170,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.388916015625,0.388916015625
171,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.37548828125,0.37548828125
173,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.276611328125,0.276611328125
174,Qwen/Qwen2.5-Coder-7B-Instruct,16,0.31982421875,0.31982421875
176,meta-llama/Llama-3.1-8B-Instruct,18,0.01096343994140625,0.01096343994140625
182,meta-llama/Llama-3.1-8B-Instruct,18,0.0662841796875,0.0662841796875
186,meta-llama/Llama-3.1-8B-Instruct,18,-0.056060791015625,0.056060791015625
188,meta-llama/Llama-3.1-8B-Instruct,18,0.118896484375,0.118896484375
200,meta-llama/Llama-3.1-8B-Instruct,18,0.1748046875,0.1748046875
206,meta-llama/Llama-3.1-8B-Instruct,18,-0.06573486328125,0.06573486328125
208,meta-llama/Llama-3.1-8B-Instruct,18,-0.0028667449951171875,0.0028667449951171875
210,meta-llama/Llama-3.1-8B-Instruct,18,-0.1480712890625,0.1480712890625
225,meta-llama/Llama-3.1-8B-Instruct,18,-0.0924072265625,0.0924072265625
229,meta-llama/Llama-3.1-8B-Instruct,18,0.2047119140625,0.2047119140625
239,meta-llama/Llama-3.1-8B-Instruct,18,-0.0016088485717773438,0.0016088485717773438
251,meta-llama/Llama-3.1-8B-Instruct,18,-0.07281494140625,0.07281494140625
255,meta-llama/Llama-3.1-8B-Instruct,18,-0.0078277587890625,0.0078277587890625
286,meta-llama/Llama-3.1-8B-Instruct,18,-0.041778564453125,0.041778564453125
305,meta-llama/Llama-3.1-8B-Instruct,18,-0.220458984375,0.220458984375
308,meta-llama/Llama-3.1-8B-Instruct,18,0.18310546875,0.18310546875
340,meta-llama/Llama-3.1-8B-Instruct,18,-0.04376220703125,0.04376220703125
403,meta-llama/Llama-3.1-8B-Instruct,18,-0.0275421142578125,0.0275421142578125
419,meta-llama/Llama-3.1-8B-Instruct,18,-0.07855224609375,0.07855224609375
428,meta-llama/Llama-3.1-8B-Instruct,18,-0.074462890625,0.074462890625
445,meta-llama/Llama-3.1-8B-Instruct,18,0.2225341796875,0.2225341796875
455,meta-llama/Llama-3.1-8B-Instruct,18,0.069580078125,0.069580078125
458,meta-llama/Llama-3.1-8B-Instruct,18,0.33203125,0.33203125
474,meta-llama/Llama-3.1-8B-Instruct,18,0.088134765625,0.088134765625
487,meta-llama/Llama-3.1-8B-Instruct,18,-0.11669921875,0.11669921875
490,meta-llama/Llama-3.1-8B-Instruct,18,0.0100555419921875,0.0100555419921875
495,meta-llama/Llama-3.1-8B-Instruct,18,0.063232421875,0.063232421875
508,codellama/CodeLlama-7b-Instruct-hf,18,0.081787109375,0.081787109375
509,codellama/CodeLlama-7b-Instruct-hf,18,0.213623046875,0.213623046875
512,codellama/CodeLlama-7b-Instruct-hf,18,0.233642578125,0.233642578125
515,codellama/CodeLlama-7b-Instruct-hf,18,0.2259521484375,0.2259521484375
522,codellama/CodeLlama-7b-Instruct-hf,18,0.1885986328125,0.1885986328125
530,codellama/CodeLlama-7b-Instruct-hf,18,0.252197265625,0.252197265625
540,codellama/CodeLlama-7b-Instruct-hf,18,0.08441162109375,0.08441162109375
546,codellama/CodeLlama-7b-Instruct-hf,18,0.09393310546875,0.09393310546875
558,codellama/CodeLlama-7b-Instruct-hf,18,0.1461181640625,0.1461181640625
562,codellama/CodeLlama-7b-Instruct-hf,18,0.1300048828125,0.1300048828125
572,codellama/CodeLlama-7b-Instruct-hf,18,0.127685546875,0.127685546875
573,codellama/CodeLlama-7b-Instruct-hf,18,0.1490478515625,0.1490478515625
575,codellama/CodeLlama-7b-Instruct-hf,18,0.084716796875,0.084716796875
583,codellama/CodeLlama-7b-Instruct-hf,18,0.23291015625,0.23291015625
586,codellama/CodeLlama-7b-Instruct-hf,18,0.1927490234375,0.1927490234375
594,codellama/CodeLlama-7b-Instruct-hf,18,0.08612060546875,0.08612060546875
597,codellama/CodeLlama-7b-Instruct-hf,18,0.048248291015625,0.048248291015625
599,codellama/CodeLlama-7b-Instruct-hf,18,0.09771728515625,0.09771728515625
602,codellama/CodeLlama-7b-Instruct-hf,18,0.298828125,0.298828125
619,codellama/CodeLlama-7b-Instruct-hf,18,0.13720703125,0.13720703125
638,codellama/CodeLlama-7b-Instruct-hf,18,0.2088623046875,0.2088623046875
645,codellama/CodeLlama-7b-Instruct-hf,18,0.262451171875,0.262451171875
647,codellama/CodeLlama-7b-Instruct-hf,18,0.12384033203125,0.12384033203125
653,codellama/CodeLlama-7b-Instruct-hf,18,0.1383056640625,0.1383056640625
654,codellama/CodeLlama-7b-Instruct-hf,18,0.04840087890625,0.04840087890625
658,codellama/CodeLlama-7b-Instruct-hf,18,0.2059326171875,0.2059326171875
665,codellama/CodeLlama-7b-Instruct-hf,18,0.063720703125,0.063720703125
669,codellama/CodeLlama-7b-Instruct-hf,18,0.07720947265625,0.07720947265625
674,codellama/CodeLlama-7b-Instruct-hf,18,0.283447265625,0.283447265625
677,codellama/CodeLlama-7b-Instruct-hf,18,0.12139892578125,0.12139892578125
678,codellama/CodeLlama-7b-Instruct-hf,18,-0.088623046875,0.088623046875
679,codellama/CodeLlama-7b-Instruct-hf,18,0.25,0.25
685,codellama/CodeLlama-7b-Instruct-hf,18,0.1353759765625,0.1353759765625
689,codellama/CodeLlama-7b-Instruct-hf,18,0.2335205078125,0.2335205078125
695,codellama/CodeLlama-7b-Instruct-hf,18,0.0214385986328125,0.0214385986328125
702,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.12744140625,0.12744140625
703,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.05706787109375,0.05706787109375
712,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.07989501953125,0.07989501953125
714,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.1666259765625,0.1666259765625
718,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.163330078125,0.163330078125
731,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.220947265625,0.220947265625
732,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.00995635986328125,0.00995635986328125
740,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.125732421875,0.125732421875
752,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.09771728515625,0.09771728515625
757,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.11187744140625,0.11187744140625
764,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.1610107421875,0.1610107421875
765,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.086669921875,0.086669921875
766,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.0418701171875,0.0418701171875
768,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.096435546875,0.096435546875
772,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.1729736328125,0.1729736328125
776,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.10455322265625,0.10455322265625
784,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.05859375,0.05859375
788,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.176025390625,0.176025390625
789,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.0706787109375,0.0706787109375
791,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.1258544921875,0.1258544921875
795,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.1943359375,0.1943359375
800,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.127197265625,0.127197265625
805,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.1131591796875,0.1131591796875
806,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.08831787109375,0.08831787109375
807,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.06768798828125,0.06768798828125
811,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.057830810546875,0.057830810546875
817,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.0254669189453125,0.0254669189453125
839,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.08905029296875,0.08905029296875
841,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.1397705078125,0.1397705078125
846,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.11334228515625,0.11334228515625
850,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,-0.03839111328125,0.03839111328125
859,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.0830078125,0.0830078125
866,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.089599609375,0.089599609375
867,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.05682373046875,0.05682373046875
873,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.00045108795166015625,0.00045108795166015625
877,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.059173583984375,0.059173583984375
879,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.11810302734375,0.11810302734375
880,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.126953125,0.126953125
904,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.0265045166015625,0.0265045166015625
905,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,-0.07025146484375,0.07025146484375
906,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.13232421875,0.13232421875
907,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.09857177734375,0.09857177734375
927,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.111572265625,0.111572265625
930,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.09100341796875,0.09100341796875
931,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,-0.1009521484375,0.1009521484375
935,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.01206207275390625,0.01206207275390625
936,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.082763671875,0.082763671875
937,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.1600341796875,0.1600341796875
938,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.1480712890625,0.1480712890625
944,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,-0.022918701171875,0.022918701171875
950,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.131103515625,0.131103515625
957,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.0799560546875,0.0799560546875
958,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.1326904296875,0.1326904296875
960,deepseek-ai/deepseek-coder-6.7b-instruct,18,0.012542724609375,0.012542724609375
961,deepseek-ai/deepseek-coder-6.7b-instruct,18,0.0267181396484375,0.0267181396484375
962,deepseek-ai/deepseek-coder-6.7b-instruct,18,-0.1646728515625,0.1646728515625
963,deepseek-ai/deepseek-coder-6.7b-instruct,18,-0.047332763671875,0.047332763671875
964,deepseek-ai/deepseek-coder-6.7b-instruct,18,0.036041259765625,0.036041259765625
965,deepseek-ai/deepseek-coder-6.7b-instruct,18,-0.09063720703125,0.09063720703125
966,deepseek-ai/deepseek-coder-6.7b-instruct,18,0.17236328125,0.17236328125
