id,func,target,project,commit_id
4708,"static int proxy_fstat(FsContext *fs_ctx, int fid_type,

                       V9fsFidOpenState *fs, struct stat *stbuf)

{

    int fd;



    if (fid_type == P9_FID_DIR) {

        fd = dirfd(fs->dir);

    } else {

        fd = fs->fd;

    }

    return fstat(fd, stbuf);

}
",False,qemu,494a8ebe713055d3946183f4b395f85a18b43e9e
17248,"static void h264_v_loop_filter_chroma_c(uint8_t *pix, int stride, int alpha, int beta, int8_t *tc0)

{

    h264_loop_filter_chroma_c(pix, stride, 1, alpha, beta, tc0);

}
",False,FFmpeg,dd561441b1e849df7d8681c6f32af82d4088dafd
11357,"static void nbd_read(void *opaque)

{

    NBDClient *client = opaque;



    if (client->recv_coroutine) {

        qemu_coroutine_enter(client->recv_coroutine, NULL);

    } else {

        qemu_coroutine_enter(qemu_coroutine_create(nbd_trip), client);

    }

}
",True,qemu,0b8b8753e4d94901627b3e86431230f2319215c4
22368,"static gboolean gd_vc_in(GIOChannel *chan, GIOCondition cond, void *opaque)

{

    VirtualConsole *vc = opaque;

    uint8_t buffer[1024];

    ssize_t len;



    len = read(vc->fd, buffer, sizeof(buffer));

    if (len <= 0) {

        return FALSE;

    }



    qemu_chr_be_write(vc->chr, buffer, len);



    return TRUE;

}
",True,qemu,d4370741402a97b8b6d0c38fef18ab38bf25ab22
21215,"int qemu_timeout_ns_to_ms(int64_t ns)

{

    int64_t ms;

    if (ns < 0) {

        return -1;

    }



    if (!ns) {

        return 0;

    }



    /* Always round up, because it's better to wait too long than to wait too

     * little and effectively busy-wait

     */

    ms = DIV_ROUND_UP(ns, SCALE_MS);



    /* To avoid overflow problems, limit this to 2^31, i.e. approx 25 days */

    if (ms > (int64_t) INT32_MAX) {

        ms = INT32_MAX;

    }



    return (int) ms;

}
",False,qemu,c2b38b277a7882a592f4f2ec955084b2b756daaa
7905,"static av_always_inline void thread_park_workers(SliceThreadContext *c, int thread_count)

{

    while (c->current_job != thread_count + c->job_count)

        pthread_cond_wait(&c->last_job_cond, &c->current_job_lock);

    pthread_mutex_unlock(&c->current_job_lock);

}
",True,FFmpeg,b505f15b1530d72682b3314e84936f80fe6e43b2
23409,"static void gen_conditional_jump(DisasContext * ctx,

				 target_ulong ift, target_ulong ifnott)

{

    int l1;

    TCGv sr;



    l1 = gen_new_label();

    sr = tcg_temp_new();

    tcg_gen_andi_i32(sr, cpu_sr, SR_T);

    tcg_gen_brcondi_i32(TCG_COND_NE, sr, 0, l1);

    gen_goto_tb(ctx, 0, ifnott);

    gen_set_label(l1);

    gen_goto_tb(ctx, 1, ift);

}
",False,qemu,42a268c241183877192c376d03bd9b6d527407c7
22244,"static void test_visitor_out_empty(TestOutputVisitorData *data,

                                   const void *unused)

{

    QObject *arg;



    arg = qmp_output_get_qobject(data->qov);

    g_assert(qobject_type(arg) == QTYPE_QNULL);



    qobject_decref(arg);

}",True,qemu,a86156401559cb4401cf9ecc704faeab6fc8bb19
18776,"void *postcopy_get_tmp_page(MigrationIncomingState *mis)

{

    if (!mis->postcopy_tmp_page) {

        mis->postcopy_tmp_page = mmap(NULL, getpagesize(),

                             PROT_READ | PROT_WRITE, MAP_PRIVATE |

                             MAP_ANONYMOUS, -1, 0);

        if (!mis->postcopy_tmp_page) {

            error_report(""%s: %s"", __func__, strerror(errno));

            return NULL;

        }

    }



    return mis->postcopy_tmp_page;

}
",True,qemu,0e8b3cdfbc167f4bb7790ef744eaa1ac0e6959f9
21918,"void cpu_write_xer(CPUPPCState *env, target_ulong xer)

{

    env->so = (xer >> XER_SO) & 1;

    env->ov = (xer >> XER_OV) & 1;

    env->ca = (xer >> XER_CA) & 1;

    env->xer = xer & ~((1u << XER_SO) | (1u << XER_OV) | (1u << XER_CA));

}
",True,qemu,dd09c36159858c66ab6e47c688e4177dd3912bf0
15204,"static inline uint32_t mipsdsp_sub32(int32_t a, int32_t b, CPUMIPSState *env)

{

    int32_t temp;



    temp = a - b;

    if (MIPSDSP_OVERFLOW(a, -b, temp, 0x80000000)) {

        set_DSPControl_overflow_flag(1, 20, env);

    }



    return temp;

}
",True,qemu,20c334a797bf46a4ee59a6e42be6d5e7c3cda585
9793,"static void adb_mouse_reset(DeviceState *dev)

{

    ADBDevice *d = ADB_DEVICE(dev);

    MouseState *s = ADB_MOUSE(dev);



    d->handler = 2;

    d->devaddr = ADB_DEVID_MOUSE;

    s->last_buttons_state = s->buttons_state = 0;

    s->dx = s->dy = s->dz = 0;

}
",True,qemu,77cb0f5aafc8e6d0c6d3c339f381c9b7921648e0
23366,"void qemu_opts_del(QemuOpts *opts)

{

    QemuOpt *opt;



    for (;;) {

        opt = TAILQ_FIRST(&opts->head);

        if (opt == NULL)

            break;

        qemu_opt_del(opt);

    }

    TAILQ_REMOVE(&opts->list->head, opts, next);

    qemu_free(opts);

}
",False,qemu,72cf2d4f0e181d0d3a3122e04129c58a95da713e
20204,"void do_tlbwr (void)

{

    int r = cpu_mips_get_random(env);



    invalidate_tlb(r, 1);

    fill_tlb(r);

}
",False,qemu,2ee4aed86ff2ba38a0e1846de18a9aec38d73015
23135,"static int pty_chr_write(CharDriverState *chr, const uint8_t *buf, int len)

{

    PtyCharDriver *s = chr->opaque;



    if (!s->connected) {

        /* guest sends data, check for (re-)connect */

        pty_chr_update_read_handler(chr);

        return 0;

    }

    return io_channel_send(s->fd, buf, len);

}
",False,qemu,9005b2a7589540a3733b3abdcfbccfe7746cd1a1
20214,"static void raw_close(BlockDriverState *bs)

{

}
",False,qemu,2e6fc7eb1a4af1b127df5f07b8bb28af891946fa
15086,"static void virtio_net_set_config(VirtIODevice *vdev, const uint8_t *config)

{

    VirtIONet *n = VIRTIO_NET(vdev);

    struct virtio_net_config netcfg = {};



    memcpy(&netcfg, config, n->config_size);



    if (!(vdev->guest_features >> VIRTIO_NET_F_CTRL_MAC_ADDR & 1) &&

        memcmp(netcfg.mac, n->mac, ETH_ALEN)) {

        memcpy(n->mac, netcfg.mac, ETH_ALEN);

        qemu_format_nic_info_str(qemu_get_queue(n->nic), n->mac);

    }

}
",False,qemu,ef546f1275f6563e8934dd5e338d29d9f9909ca6
14354,"static struct pathelem *add_entry(struct pathelem *root, const char *name,

                                  unsigned type)

{

    struct pathelem **e;



    root->num_entries++;



    root = realloc(root, sizeof(*root)

                   + sizeof(root->entries[0])*root->num_entries);

    e = &root->entries[root->num_entries-1];



    *e = new_entry(root->pathname, root, name);

    if (is_dir_maybe(type)) {

        *e = add_dir_maybe(*e);

    }



    return root;

}
",True,qemu,bc5008a832f95aae86efce844382e64d54da2146
16283,"static void check_cmd(AHCIState *s, int port)

{

    AHCIPortRegs *pr = &s->dev[port].port_regs;

    int slot;



    if ((pr->cmd & PORT_CMD_START) && pr->cmd_issue) {

        for (slot = 0; (slot < 32) && pr->cmd_issue; slot++) {

            if ((pr->cmd_issue & (1 << slot)) &&

                !handle_cmd(s, port, slot)) {

                pr->cmd_issue &= ~(1 << slot);

            }

        }

    }

}
",True,qemu,ee25595f0126de0f83da86cc29ba2365be7a50d2
26049,"void laio_cleanup(void *s_)
{
    struct qemu_laio_state *s = s_;
    event_notifier_cleanup(&s->e);
    g_free(s);",True,qemu,a1abf40d6be2fc4b40d90ae3b46442f4a671776b
4713,"static uint64_t cmd646_data_read(void *opaque, target_phys_addr_t addr,

                                 unsigned size)

{

    CMD646BAR *cmd646bar = opaque;



    if (size == 1) {

        return ide_ioport_read(cmd646bar->bus, addr);

    } else if (addr == 0) {

        if (size == 2) {

            return ide_data_readw(cmd646bar->bus, addr);

        } else {

            return ide_data_readl(cmd646bar->bus, addr);

        }

    }

    return ((uint64_t)1 << (size * 8)) - 1;

}
",False,qemu,a8170e5e97ad17ca169c64ba87ae2f53850dab4c
3917,"static int tpm_passthrough_unix_write(int fd, const uint8_t *buf, uint32_t len)

{

    int ret, remain;



    remain = len;

    while (len > 0) {

        ret = write(fd, buf, remain);

        if (ret < 0) {

            if (errno != EINTR && errno != EAGAIN) {

                return -1;

            }

        } else if (ret == 0) {

            break;

        } else {

            buf += ret;

            remain -= ret;

        }

    }

    return len - remain;

}
",True,qemu,e7658fcc4c29a29c578acde26f7714023b93b46e
19785,"static void gen_mul(DisasContext *dc, TCGv dest, TCGv srca, TCGv srcb)

{

    TCGv sr_ov = tcg_temp_new();

    TCGv t0 = tcg_temp_new();



    tcg_gen_muls2_tl(dest, sr_ov, srca, srcb);

    tcg_gen_sari_tl(t0, dest, TARGET_LONG_BITS - 1);

    tcg_gen_setcond_tl(TCG_COND_NE, sr_ov, sr_ov, t0);

    tcg_temp_free(t0);



    tcg_gen_deposit_tl(cpu_sr, cpu_sr, sr_ov, ctz32(SR_OV), 1);



    gen_ove_ov(dc, sr_ov);

    tcg_temp_free(sr_ov);

}
",True,qemu,9745807191a81c45970f780166f44a7f93b18653
12702,"uint64_t helper_cmptun (uint64_t a, uint64_t b)

{

    float64 fa, fb;



    fa = t_to_float64(a);

    fb = t_to_float64(b);



    if (float64_is_quiet_nan(fa) || float64_is_quiet_nan(fb))

        return 0x4000000000000000ULL;

    else

        return 0;

}
",False,qemu,a4d2d1a063897b859b7f25e414b229370b679bc8
16358,"static void vp8_decode_flush(AVCodecContext *avctx)

{

    vp8_decode_flush_impl(avctx, 0, 0);

}
",True,FFmpeg,bfa0f96586fe2c257cfa574ffb991da493a54da1
22626,"static void evaluate_utility_inc(elbg_data *elbg)

{

    int i, inc=0;



    for (i=0; i < elbg->numCB; i++) {

        if (elbg->numCB*elbg->utility[i] > elbg->error)

            inc += elbg->utility[i];

        elbg->utility_inc[i] = inc;

    }

}
",True,FFmpeg,87ecefdab0097537c5c30014e57b19113ab05eee
12373,"static void arm_cpu_register_types(void)

{

    int i;



    type_register_static(&arm_cpu_type_info);

    for (i = 0; i < ARRAY_SIZE(arm_cpus); i++) {

        cpu_register(&arm_cpus[i]);

    }

}
",False,qemu,83e6813a93e38976391b8c382c3375e3e188df3e
21282,"static void on_vcpu(CPUState *env, void (*func)(void *data), void *data)

{

    if (env == cpu_single_env) {

        func(data);

        return;

    }

    abort();

}
",True,qemu,fc5d642fcae392bbc9fed9ac6bc78ac29ed48372
22937,"void ff_put_h264_qpel4_mc03_msa(uint8_t *dst, const uint8_t *src,

                                ptrdiff_t stride)

{

    avc_luma_vt_qrt_4w_msa(src - (stride * 2), stride, dst, stride, 4, 1);

}
",False,FFmpeg,6796a1dd8c14843b77925cb83a3ef88706ae1dd0
16821,"int tcp_socket_outgoing_spec(const char *address_and_port)

{

    return inet_connect(address_and_port, true, NULL);

}
",False,qemu,02a08fef079469c005d48fe2d181f0e0eb5752ae
143,"struct vhost_net *vhost_net_init(VLANClientState *backend, int devfd,

                                 bool force)

{


    return NULL;

}",True,qemu,35f754620615138aaae0ef72602f84c88fd8de0f
25551,"void spapr_tce_reset(DMAContext *dma)

{

    if (dma) {

        sPAPRTCETable *tcet = DO_UPCAST(sPAPRTCETable, dma, dma);

        size_t table_size = (tcet->window_size >> SPAPR_TCE_PAGE_SHIFT)

            * sizeof(sPAPRTCE);



        memset(tcet->table, 0, table_size);

    }

}
",False,qemu,53724ee565565f69560dbe17553bede8c0169379
11732,"static void nbd_coroutine_start(NbdClientSession *s,

   struct nbd_request *request)

{

    /* Poor man semaphore.  The free_sema is locked when no other request

     * can be accepted, and unlocked after receiving one reply.  */

    if (s->in_flight >= MAX_NBD_REQUESTS - 1) {

        qemu_co_mutex_lock(&s->free_sema);

        assert(s->in_flight < MAX_NBD_REQUESTS);

    }

    s->in_flight++;



    /* s->recv_coroutine[i] is set as soon as we get the send_lock.  */

}
",True,qemu,9bc9732faeff09828fe38c0ebe2401ee131a6fca
15217,"static inline abi_long host_to_target_timespec(abi_ulong target_addr,

                                               struct timespec *host_ts)

{

    struct target_timespec *target_ts;



    if (!lock_user_struct(VERIFY_WRITE, target_ts, target_addr, 0))

        return -TARGET_EFAULT;

    target_ts->tv_sec = tswapal(host_ts->tv_sec);

    target_ts->tv_nsec = tswapal(host_ts->tv_nsec);

    unlock_user_struct(target_ts, target_addr, 1);

    return 0;

}
",True,qemu,c7e35da348e2e4df072e6979c48fa5283e07d1db
521,"static int bdrv_rd_badreq_sectors(BlockDriverState *bs,

                                  int64_t sector_num, int nb_sectors)

{

    return

        nb_sectors < 0 ||

        sector_num < 0 ||

        nb_sectors > bs->total_sectors ||

        sector_num > bs->total_sectors - nb_sectors;

}
",True,qemu,b5eff355460643d09e533024360fe0522f368c07
25706,"static bool msi_is_masked(const PCIDevice *dev, unsigned int vector)

{

    uint16_t flags = pci_get_word(dev->config + msi_flags_off(dev));

    uint32_t mask;

    assert(vector < PCI_MSI_VECTORS_MAX);



    if (!(flags & PCI_MSI_FLAGS_MASKBIT)) {

        return false;

    }



    mask = pci_get_long(dev->config +

                        msi_mask_off(dev, flags & PCI_MSI_FLAGS_64BIT));

    return mask & (1U << vector);

}
",False,qemu,428c3ece97179557f2753071fb0ca97a03437267
12419,"static inline void check_for_slice(AVSContext *h) {

    GetBitContext *gb = &h->s.gb;

    int align;



    if(h->mbx)

        return;

    align = (-get_bits_count(gb)) & 7;

    if((show_bits_long(gb,24+align) & 0xFFFFFF) == 0x000001) {

        skip_bits_long(gb,24+align);

        h->stc = get_bits(gb,8);

        decode_slice_header(h,gb);

    }

}
",False,FFmpeg,88db5551cf1ced4ea3e5e8bd5b684d2dc74b1ed2
15973,"static int pci_unin_map_irq(PCIDevice *pci_dev, int irq_num)

{

    int retval;

    int devfn = pci_dev->devfn & 0x00FFFFFF;



    retval = (((devfn >> 11) & 0x1F) + irq_num) & 3;



    return retval;

}
",False,qemu,9be385980d37e8f4fd33f605f5fb1c3d144170a8
2985,"static void term_read(void *opaque, const uint8_t *buf, int size)

{

    int i;

    for(i = 0; i < size; i++)

        term_handle_byte(buf[i]);

}
",False,qemu,7e2515e87c41e2e658aaed466e11cbdf1ea8bcb1
23511,"size_t virtio_serial_guest_ready(VirtIOSerialPort *port)

{

    VirtQueue *vq = port->ivq;

    unsigned int bytes;



    if (!virtio_queue_ready(vq) ||

        !(port->vser->vdev.status & VIRTIO_CONFIG_S_DRIVER_OK) ||

        virtio_queue_empty(vq)) {

        return 0;

    }

    if (use_multiport(port->vser) && !port->guest_connected) {

        return 0;

    }

    virtqueue_get_avail_bytes(vq, &bytes, NULL);

    return bytes;

}
",False,qemu,e1f7b4812eab992de46c98b3726745afb042a7f0
14918,"float32 HELPER(ucf64_sf2si)(float32 x, CPUUniCore32State *env)

{

    return ucf64_itos(float32_to_int32(x, &env->ucf64.fp_status));

}
",False,qemu,e8ede0a8bb5298a6979bcf7ed84ef64a64a4e3fe
14943,"static void omap_i2c_set_slave_addr(OMAPI2C *s, uint8_t addr)

{

    uint16_t data = addr;



    memwrite(s->addr + OMAP_I2C_SA, &data, 2);

    memread(s->addr + OMAP_I2C_SA, &data, 2);

    g_assert_cmphex(data, ==, addr);

}
",True,qemu,d0bce760e04b1658a3b4ac95be2839ae20fd86db
16584,"static void virt_class_init(ObjectClass *oc, void *data)

{

    MachineClass *mc = MACHINE_CLASS(oc);



    mc->desc = ""ARM Virtual Machine"",

    mc->init = machvirt_init;

    mc->max_cpus = 8;

    mc->has_dynamic_sysbus = true;

    mc->block_default_type = IF_VIRTIO;

    mc->no_cdrom = 1;

}
",False,qemu,b92ad3949bc9cacd1652b4e07e7f6003b9e512af
2521,"static uint64_t bonito_pciconf_readl(void *opaque, target_phys_addr_t addr,

                                     unsigned size)

{



    PCIBonitoState *s = opaque;

    PCIDevice *d = PCI_DEVICE(s);



    DPRINTF(""bonito_pciconf_readl ""TARGET_FMT_plx""\n"", addr);

    return d->config_read(d, addr, 4);

}
",False,qemu,a8170e5e97ad17ca169c64ba87ae2f53850dab4c
11613,"static void qerror_abort(const QError *qerr, const char *fmt, ...)

{

    va_list ap;



    fprintf(stderr, ""qerror: bad call in function '%s':\n"", qerr->func);

    fprintf(stderr, ""qerror: -> "");



    va_start(ap, fmt);

    vfprintf(stderr, fmt, ap);

    va_end(ap);



    fprintf(stderr, ""\nqerror: call at %s:%d\n"", qerr->file, qerr->linenr);

    abort();

}
",False,qemu,8b7968f7c4ac8c07cad6a1a0891d38cf239a2839
