id_snippet,modello,layer_analizzato,cosine_similarity,valore_assoluto_allineamento
0,Qwen/Qwen2.5-7B-Instruct,18,0.065673828125,0.065673828125
2,Qwen/Qwen2.5-7B-Instruct,18,0.1092529296875,0.1092529296875
5,Qwen/Qwen2.5-7B-Instruct,18,0.015869140625,0.015869140625
8,Qwen/Qwen2.5-7B-Instruct,18,0.1463623046875,0.1463623046875
13,Qwen/Qwen2.5-7B-Instruct,18,0.105224609375,0.105224609375
22,Qwen/Qwen2.5-7B-Instruct,18,-0.006000518798828125,0.006000518798828125
23,Qwen/Qwen2.5-7B-Instruct,18,0.0743408203125,0.0743408203125
24,Qwen/Qwen2.5-7B-Instruct,18,0.0765380859375,0.0765380859375
39,Qwen/Qwen2.5-7B-Instruct,18,0.1778564453125,0.1778564453125
47,Qwen/Qwen2.5-7B-Instruct,18,0.140625,0.140625
51,Qwen/Qwen2.5-7B-Instruct,18,0.01136016845703125,0.01136016845703125
55,Qwen/Qwen2.5-7B-Instruct,18,0.1405029296875,0.1405029296875
57,Qwen/Qwen2.5-7B-Instruct,18,0.0848388671875,0.0848388671875
59,Qwen/Qwen2.5-7B-Instruct,18,0.1544189453125,0.1544189453125
61,Qwen/Qwen2.5-7B-Instruct,18,0.06292724609375,0.06292724609375
62,Qwen/Qwen2.5-7B-Instruct,18,0.14208984375,0.14208984375
68,Qwen/Qwen2.5-7B-Instruct,18,0.1270751953125,0.1270751953125
69,Qwen/Qwen2.5-7B-Instruct,18,0.1300048828125,0.1300048828125
71,Qwen/Qwen2.5-7B-Instruct,18,0.11346435546875,0.11346435546875
72,Qwen/Qwen2.5-7B-Instruct,18,0.177734375,0.177734375
84,Qwen/Qwen2.5-7B-Instruct,18,-0.054168701171875,0.054168701171875
86,Qwen/Qwen2.5-7B-Instruct,18,0.082763671875,0.082763671875
87,Qwen/Qwen2.5-7B-Instruct,18,0.1043701171875,0.1043701171875
88,Qwen/Qwen2.5-7B-Instruct,18,0.09893798828125,0.09893798828125
89,Qwen/Qwen2.5-7B-Instruct,18,0.031524658203125,0.031524658203125
95,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.12646484375,0.12646484375
