id_snippet,modello,layer_analizzato,cosine_similarity,valore_assoluto_allineamento
17,Qwen/Qwen2.5-7B-Instruct,18,0.09246826171875,0.09246826171875
78,Qwen/Qwen2.5-7B-Instruct,18,0.119384765625,0.119384765625
79,Qwen/Qwen2.5-7B-Instruct,18,0.060150146484375,0.060150146484375
83,Qwen/Qwen2.5-7B-Instruct,18,0.100830078125,0.100830078125
90,Qwen/Qwen2.5-7B-Instruct,18,0.127197265625,0.127197265625
93,Qwen/Qwen2.5-7B-Instruct,18,0.07305908203125,0.07305908203125
97,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.08428955078125,0.08428955078125
104,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.12017822265625,0.12017822265625
105,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.09674072265625,0.09674072265625
110,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.0863037109375,0.0863037109375
112,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.08355712890625,0.08355712890625
113,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.11175537109375,0.11175537109375
124,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.1048583984375,0.1048583984375
127,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.05682373046875,0.05682373046875
129,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.0972900390625,0.0972900390625
130,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.09649658203125,0.09649658203125
131,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.10736083984375,0.10736083984375
134,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.121337890625,0.121337890625
139,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.10003662109375,0.10003662109375
141,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.07855224609375,0.07855224609375
144,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.1014404296875,0.1014404296875
147,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.0784912109375,0.0784912109375
149,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.11419677734375,0.11419677734375
155,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.07110595703125,0.07110595703125
157,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.07879638671875,0.07879638671875
158,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.072998046875,0.072998046875
