MODELLO,LAYER,Cosine_AA_vs_AP,Cosine_AA_vs_PI,Cosine_AP_vs_PI
Qwen/Qwen2.5-7B-Instruct,0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,1,0.16649945080280304,0.023518243804574013,0.2240191102027893
Qwen/Qwen2.5-7B-Instruct,2,0.1873796284198761,0.08340457826852798,0.21631306409835815
Qwen/Qwen2.5-7B-Instruct,3,0.22057080268859863,0.16428381204605103,0.3042793869972229
Qwen/Qwen2.5-7B-Instruct,4,0.32345420122146606,0.3400518000125885,0.46111589670181274
Qwen/Qwen2.5-7B-Instruct,5,0.36051589250564575,0.4314724802970886,0.5039957165718079
Qwen/Qwen2.5-7B-Instruct,6,0.2935181260108948,0.35948944091796875,0.39977532625198364
Qwen/Qwen2.5-7B-Instruct,7,0.39362961053848267,0.398068368434906,0.35678333044052124
Qwen/Qwen2.5-7B-Instruct,8,0.44418641924858093,0.4013074040412903,0.3193737268447876
Qwen/Qwen2.5-7B-Instruct,9,0.4975874423980713,0.4519782066345215,0.3515681028366089
Qwen/Qwen2.5-7B-Instruct,10,0.4021105170249939,0.4897027909755707,0.18357481062412262
Qwen/Qwen2.5-7B-Instruct,11,0.3697863221168518,0.5092253684997559,0.07901573181152344
Qwen/Qwen2.5-7B-Instruct,12,0.32930001616477966,0.45171496272087097,0.07434645295143127
Qwen/Qwen2.5-7B-Instruct,13,0.35453036427497864,0.43504810333251953,0.0686374083161354
Qwen/Qwen2.5-7B-Instruct,14,0.3577086925506592,0.3902606964111328,0.023742351680994034
Qwen/Qwen2.5-7B-Instruct,15,0.37874120473861694,0.3384853005409241,0.06773799657821655
Qwen/Qwen2.5-7B-Instruct,16,0.3499542474746704,0.29747894406318665,0.056093402206897736
Qwen/Qwen2.5-7B-Instruct,17,0.3657115697860718,0.24855254590511322,0.06542494893074036
Qwen/Qwen2.5-7B-Instruct,18,0.38906151056289673,0.15979790687561035,0.0026939064264297485
Qwen/Qwen2.5-7B-Instruct,19,0.43004241585731506,0.06217406690120697,0.03930558264255524
Qwen/Qwen2.5-7B-Instruct,20,0.4342283308506012,0.0640328899025917,-0.018190469592809677
Qwen/Qwen2.5-7B-Instruct,21,0.4317193329334259,0.006166047416627407,-0.017010124400258064
Qwen/Qwen2.5-7B-Instruct,22,0.4649466574192047,0.01129065454006195,-0.03902263194322586
Qwen/Qwen2.5-7B-Instruct,23,0.4635750949382782,0.06016504764556885,-0.03546515852212906
Qwen/Qwen2.5-7B-Instruct,24,0.46005579829216003,0.051299937069416046,-0.060095660388469696
Qwen/Qwen2.5-7B-Instruct,25,0.4974040389060974,0.027981985360383987,-0.025986433029174805
Qwen/Qwen2.5-7B-Instruct,26,0.4833087921142578,-0.0006493441760540009,0.017624199390411377
Qwen/Qwen2.5-7B-Instruct,27,0.4595535099506378,0.03904648497700691,0.06574109196662903
Qwen/Qwen2.5-7B-Instruct,28,0.3886282742023468,-0.10717044770717621,-0.004154487978667021
Qwen/Qwen2.5-Coder-7B-Instruct,0,0.0,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,1,0.3191831707954407,0.5703080892562866,0.4323902428150177
Qwen/Qwen2.5-Coder-7B-Instruct,2,0.25346100330352783,0.5193385481834412,0.3693414628505707
Qwen/Qwen2.5-Coder-7B-Instruct,3,0.2811683118343353,0.47890788316726685,0.41531309485435486
Qwen/Qwen2.5-Coder-7B-Instruct,4,0.4143464267253876,0.4401179254055023,0.4940474331378937
Qwen/Qwen2.5-Coder-7B-Instruct,5,0.4164338707923889,0.40705838799476624,0.47821903228759766
Qwen/Qwen2.5-Coder-7B-Instruct,6,0.41351380944252014,0.438051700592041,0.48958370089530945
Qwen/Qwen2.5-Coder-7B-Instruct,7,0.43637996912002563,0.369069904088974,0.4815995395183563
Qwen/Qwen2.5-Coder-7B-Instruct,8,0.47774815559387207,0.4243311882019043,0.5466145277023315
Qwen/Qwen2.5-Coder-7B-Instruct,9,0.5106862187385559,0.43530258536338806,0.5405023097991943
Qwen/Qwen2.5-Coder-7B-Instruct,10,0.49200499057769775,0.3744437098503113,0.523540198802948
Qwen/Qwen2.5-Coder-7B-Instruct,11,0.506108283996582,0.4227598309516907,0.5600147247314453
Qwen/Qwen2.5-Coder-7B-Instruct,12,0.5020827054977417,0.3778645992279053,0.5723531246185303
Qwen/Qwen2.5-Coder-7B-Instruct,13,0.5314936637878418,0.4047451615333557,0.5662604570388794
Qwen/Qwen2.5-Coder-7B-Instruct,14,0.5437824130058289,0.40198564529418945,0.535594642162323
Qwen/Qwen2.5-Coder-7B-Instruct,15,0.5847029685974121,0.36793845891952515,0.5058045983314514
Qwen/Qwen2.5-Coder-7B-Instruct,16,0.5939207077026367,0.3760557472705841,0.5036276578903198
Qwen/Qwen2.5-Coder-7B-Instruct,17,0.5759382843971252,0.3317784070968628,0.5584518313407898
Qwen/Qwen2.5-Coder-7B-Instruct,18,0.5389127731323242,0.23768553137779236,0.5159940123558044
Qwen/Qwen2.5-Coder-7B-Instruct,19,0.5695475935935974,0.21870890259742737,0.42088374495506287
Qwen/Qwen2.5-Coder-7B-Instruct,20,0.5369870066642761,0.24259890615940094,0.3090440332889557
Qwen/Qwen2.5-Coder-7B-Instruct,21,0.5210456848144531,0.237693652510643,0.19699262082576752
Qwen/Qwen2.5-Coder-7B-Instruct,22,0.5300588607788086,0.22183068096637726,0.1784256398677826
Qwen/Qwen2.5-Coder-7B-Instruct,23,0.514947772026062,0.19135038554668427,0.1518644392490387
Qwen/Qwen2.5-Coder-7B-Instruct,24,0.5164532661437988,0.21564345061779022,0.17410656809806824
Qwen/Qwen2.5-Coder-7B-Instruct,25,0.5121539831161499,0.2019408494234085,0.18796378374099731
