id_snippet,modello,layer_analizzato,cosine_similarity,valore_assoluto_allineamento
0,Qwen/Qwen2.5-7B-Instruct,26,0.064208984375,0.064208984375
1,Qwen/Qwen2.5-7B-Instruct,26,0.09661865234375,0.09661865234375
2,Qwen/Qwen2.5-7B-Instruct,26,-0.0328369140625,0.0328369140625
3,Qwen/Qwen2.5-7B-Instruct,26,0.01108551025390625,0.01108551025390625
4,Qwen/Qwen2.5-7B-Instruct,26,0.1243896484375,0.1243896484375
5,Qwen/Qwen2.5-7B-Instruct,26,0.01403045654296875,0.01403045654296875
6,Qwen/Qwen2.5-7B-Instruct,26,0.0653076171875,0.0653076171875
7,Qwen/Qwen2.5-7B-Instruct,26,0.04693603515625,0.04693603515625
8,Qwen/Qwen2.5-7B-Instruct,26,0.046173095703125,0.046173095703125
9,Qwen/Qwen2.5-7B-Instruct,26,0.0249481201171875,0.0249481201171875
10,Qwen/Qwen2.5-7B-Instruct,26,0.049407958984375,0.049407958984375
11,Qwen/Qwen2.5-7B-Instruct,26,0.0223388671875,0.0223388671875
12,Qwen/Qwen2.5-7B-Instruct,26,0.00785064697265625,0.00785064697265625
13,Qwen/Qwen2.5-7B-Instruct,26,0.06134033203125,0.06134033203125
14,Qwen/Qwen2.5-7B-Instruct,26,0.08050537109375,0.08050537109375
15,Qwen/Qwen2.5-7B-Instruct,26,0.095947265625,0.095947265625
16,Qwen/Qwen2.5-7B-Instruct,26,0.09613037109375,0.09613037109375
18,Qwen/Qwen2.5-7B-Instruct,26,0.1024169921875,0.1024169921875
19,Qwen/Qwen2.5-7B-Instruct,26,0.04620361328125,0.04620361328125
20,Qwen/Qwen2.5-7B-Instruct,26,0.051055908203125,0.051055908203125
21,Qwen/Qwen2.5-7B-Instruct,26,0.039031982421875,0.039031982421875
22,Qwen/Qwen2.5-7B-Instruct,26,-0.0211639404296875,0.0211639404296875
23,Qwen/Qwen2.5-7B-Instruct,26,0.07177734375,0.07177734375
24,Qwen/Qwen2.5-7B-Instruct,26,0.05108642578125,0.05108642578125
25,Qwen/Qwen2.5-7B-Instruct,26,-0.05877685546875,0.05877685546875
26,Qwen/Qwen2.5-7B-Instruct,26,0.1474609375,0.1474609375
27,Qwen/Qwen2.5-7B-Instruct,26,0.041748046875,0.041748046875
28,Qwen/Qwen2.5-7B-Instruct,26,-0.053924560546875,0.053924560546875
29,Qwen/Qwen2.5-7B-Instruct,26,0.05792236328125,0.05792236328125
30,Qwen/Qwen2.5-7B-Instruct,26,0.08160400390625,0.08160400390625
31,Qwen/Qwen2.5-7B-Instruct,26,0.04510498046875,0.04510498046875
32,Qwen/Qwen2.5-7B-Instruct,26,-0.067626953125,0.067626953125
33,Qwen/Qwen2.5-7B-Instruct,26,0.04132080078125,0.04132080078125
34,Qwen/Qwen2.5-7B-Instruct,26,0.094970703125,0.094970703125
35,Qwen/Qwen2.5-7B-Instruct,26,0.09918212890625,0.09918212890625
36,Qwen/Qwen2.5-7B-Instruct,26,0.074951171875,0.074951171875
37,Qwen/Qwen2.5-7B-Instruct,26,0.004978179931640625,0.004978179931640625
38,Qwen/Qwen2.5-7B-Instruct,26,-0.0050201416015625,0.0050201416015625
39,Qwen/Qwen2.5-7B-Instruct,26,0.08953857421875,0.08953857421875
40,Qwen/Qwen2.5-7B-Instruct,26,0.051605224609375,0.051605224609375
41,Qwen/Qwen2.5-7B-Instruct,26,0.0721435546875,0.0721435546875
42,Qwen/Qwen2.5-7B-Instruct,26,0.1175537109375,0.1175537109375
43,Qwen/Qwen2.5-7B-Instruct,26,0.08203125,0.08203125
44,Qwen/Qwen2.5-7B-Instruct,26,-0.203369140625,0.203369140625
45,Qwen/Qwen2.5-7B-Instruct,26,0.07373046875,0.07373046875
46,Qwen/Qwen2.5-7B-Instruct,26,-0.0838623046875,0.0838623046875
47,Qwen/Qwen2.5-7B-Instruct,26,0.0709228515625,0.0709228515625
48,Qwen/Qwen2.5-7B-Instruct,26,0.08563232421875,0.08563232421875
49,Qwen/Qwen2.5-7B-Instruct,26,0.0831298828125,0.0831298828125
50,Qwen/Qwen2.5-7B-Instruct,26,0.11468505859375,0.11468505859375
51,Qwen/Qwen2.5-7B-Instruct,26,-0.056243896484375,0.056243896484375
52,Qwen/Qwen2.5-7B-Instruct,26,0.08111572265625,0.08111572265625
53,Qwen/Qwen2.5-7B-Instruct,26,0.11248779296875,0.11248779296875
54,Qwen/Qwen2.5-7B-Instruct,26,-0.07403564453125,0.07403564453125
55,Qwen/Qwen2.5-7B-Instruct,26,0.043182373046875,0.043182373046875
56,Qwen/Qwen2.5-7B-Instruct,26,0.056182861328125,0.056182861328125
57,Qwen/Qwen2.5-7B-Instruct,26,0.0296630859375,0.0296630859375
58,Qwen/Qwen2.5-7B-Instruct,26,0.004611968994140625,0.004611968994140625
59,Qwen/Qwen2.5-7B-Instruct,26,-0.00794219970703125,0.00794219970703125
60,Qwen/Qwen2.5-7B-Instruct,26,0.0797119140625,0.0797119140625
61,Qwen/Qwen2.5-7B-Instruct,26,-0.0458984375,0.0458984375
62,Qwen/Qwen2.5-7B-Instruct,26,-0.0755615234375,0.0755615234375
63,Qwen/Qwen2.5-7B-Instruct,26,0.08123779296875,0.08123779296875
64,Qwen/Qwen2.5-7B-Instruct,26,0.06646728515625,0.06646728515625
65,Qwen/Qwen2.5-7B-Instruct,26,0.0787353515625,0.0787353515625
66,Qwen/Qwen2.5-7B-Instruct,26,0.08685302734375,0.08685302734375
67,Qwen/Qwen2.5-7B-Instruct,26,0.11968994140625,0.11968994140625
