modello,layer,moltiplicatore,asr_percentuale,errori_percentuale
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,3,11.406844106463879,7.224334600760455
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,5,15.96958174904943,4.562737642585551
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,8,15.5893536121673,6.844106463878327
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,10,17.870722433460077,5.323193916349809
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,15,15.209125475285171,5.7034220532319395
deepseek-ai/deepseek-coder-6.7b-instruct,16,3,28.57142857142857,0.0
deepseek-ai/deepseek-coder-6.7b-instruct,16,5,57.14285714285714,0.0
deepseek-ai/deepseek-coder-6.7b-instruct,16,8,85.71428571428571,0.0
deepseek-ai/deepseek-coder-6.7b-instruct,16,10,85.71428571428571,0.0
deepseek-ai/deepseek-coder-6.7b-instruct,16,15,85.71428571428571,0.0
