modello,target_vero,target_predetto,codice
Qwen/Qwen2.5-3B-Instruct,Sicuro,Sicuro,"static int proxy_fstat(FsContext *fs_ctx, int fid_type,

                       V9fsFidOpenState *fs, struct stat *stbuf)

{

    int fd;



    if (fid_type == P9_FID_DIR) {

        fd = dirfd(fs->dir);

    } else {

        fd = fs->fd;

    }

    return fstat(fd, stbuf);

}
"
Qwen/Qwen2.5-3B-Instruct,Sicuro,Sicuro,"static void h264_v_loop_filter_chroma_c(uint8_t *pix, int stride, int alpha, int beta, int8_t *tc0)

{

    h264_loop_filter_chroma_c(pix, stride, 1, alpha, beta, tc0);

}
"
Qwen/Qwen2.5-3B-Instruct,Vulnerabile,Vulnerabile,"static void nbd_read(void *opaque)

{

    NBDClient *client = opaque;



    if (client->recv_coroutine) {

        qemu_coroutine_enter(client->recv_coroutine, NULL);

    } else {

        qemu_coroutine_enter(qemu_coroutine_create(nbd_trip), client);

    }

}
"
Qwen/Qwen2.5-3B-Instruct,Vulnerabile,Sicuro,"static gboolean gd_vc_in(GIOChannel *chan, GIOCondition cond, void *opaque)

{

    VirtualConsole *vc = opaque;

    uint8_t buffer[1024];

    ssize_t len;



    len = read(vc->fd, buffer, sizeof(buffer));

    if (len <= 0) {

        return FALSE;

    }



    qemu_chr_be_write(vc->chr, buffer, len);



    return TRUE;

}
"
Qwen/Qwen2.5-3B-Instruct,Sicuro,Sicuro,"int qemu_timeout_ns_to_ms(int64_t ns)

{

    int64_t ms;

    if (ns < 0) {

        return -1;

    }



    if (!ns) {

        return 0;

    }



    /* Always round up, because it's better to wait too long than to wait too

     * little and effectively busy-wait

     */

    ms = DIV_ROUND_UP(ns, SCALE_MS);



    /* To avoid overflow problems, limit this to 2^31, i.e. approx 25 days */

    if (ms > (int64_t) INT32_MAX) {

        ms = INT32_MAX;

    }



    return (int) ms;

}
"
Qwen/Qwen2.5-3B-Instruct,Vulnerabile,Sicuro,"static av_always_inline void thread_park_workers(SliceThreadContext *c, int thread_count)

{

    while (c->current_job != thread_count + c->job_count)

        pthread_cond_wait(&c->last_job_cond, &c->current_job_lock);

    pthread_mutex_unlock(&c->current_job_lock);

}
"
Qwen/Qwen2.5-3B-Instruct,Sicuro,Sicuro,"static void gen_conditional_jump(DisasContext * ctx,

				 target_ulong ift, target_ulong ifnott)

{

    int l1;

    TCGv sr;



    l1 = gen_new_label();

    sr = tcg_temp_new();

    tcg_gen_andi_i32(sr, cpu_sr, SR_T);

    tcg_gen_brcondi_i32(TCG_COND_NE, sr, 0, l1);

    gen_goto_tb(ctx, 0, ifnott);

    gen_set_label(l1);

    gen_goto_tb(ctx, 1, ift);

}
"
Qwen/Qwen2.5-3B-Instruct,Vulnerabile,Vulnerabile,"static void test_visitor_out_empty(TestOutputVisitorData *data,

                                   const void *unused)

{

    QObject *arg;



    arg = qmp_output_get_qobject(data->qov);

    g_assert(qobject_type(arg) == QTYPE_QNULL);



    qobject_decref(arg);

}"
Qwen/Qwen2.5-3B-Instruct,Vulnerabile,Sicuro,"void *postcopy_get_tmp_page(MigrationIncomingState *mis)

{

    if (!mis->postcopy_tmp_page) {

        mis->postcopy_tmp_page = mmap(NULL, getpagesize(),

                             PROT_READ | PROT_WRITE, MAP_PRIVATE |

                             MAP_ANONYMOUS, -1, 0);

        if (!mis->postcopy_tmp_page) {

            error_report(""%s: %s"", __func__, strerror(errno));

            return NULL;

        }

    }



    return mis->postcopy_tmp_page;

}
"
Qwen/Qwen2.5-3B-Instruct,Vulnerabile,Sicuro,"void cpu_write_xer(CPUPPCState *env, target_ulong xer)

{

    env->so = (xer >> XER_SO) & 1;

    env->ov = (xer >> XER_OV) & 1;

    env->ca = (xer >> XER_CA) & 1;

    env->xer = xer & ~((1u << XER_SO) | (1u << XER_OV) | (1u << XER_CA));

}
"
