modello,layer,norma_L2
Qwen/Qwen2.5-7B-Instruct,0,0.2061767578125
Qwen/Qwen2.5-7B-Instruct,1,0.2685546875
Qwen/Qwen2.5-7B-Instruct,2,0.35302734375
Qwen/Qwen2.5-7B-Instruct,3,0.412841796875
Qwen/Qwen2.5-7B-Instruct,4,0.4541015625
Qwen/Qwen2.5-7B-Instruct,5,0.513671875
Qwen/Qwen2.5-7B-Instruct,6,0.54638671875
Qwen/Qwen2.5-7B-Instruct,7,0.5732421875
Qwen/Qwen2.5-7B-Instruct,8,0.662109375
Qwen/Qwen2.5-7B-Instruct,9,0.708984375
Qwen/Qwen2.5-7B-Instruct,10,0.72265625
Qwen/Qwen2.5-7B-Instruct,11,0.8369140625
Qwen/Qwen2.5-7B-Instruct,12,0.8173828125
Qwen/Qwen2.5-7B-Instruct,13,1.03125
Qwen/Qwen2.5-7B-Instruct,14,1.107421875
Qwen/Qwen2.5-7B-Instruct,15,1.09375
Qwen/Qwen2.5-7B-Instruct,16,1.154296875
Qwen/Qwen2.5-7B-Instruct,17,1.357421875
Qwen/Qwen2.5-7B-Instruct,18,2.763671875
Qwen/Qwen2.5-7B-Instruct,19,4.47265625
Qwen/Qwen2.5-7B-Instruct,20,5.5234375
Qwen/Qwen2.5-7B-Instruct,21,5.60546875
Qwen/Qwen2.5-7B-Instruct,22,6.58203125
Qwen/Qwen2.5-7B-Instruct,23,7.109375
Qwen/Qwen2.5-7B-Instruct,24,7.9296875
Qwen/Qwen2.5-7B-Instruct,25,9.6875
Qwen/Qwen2.5-7B-Instruct,26,11.265625
Qwen/Qwen2.5-7B-Instruct,27,9.125
Qwen/Qwen2.5-Coder-7B-Instruct,0,0.291748046875
Qwen/Qwen2.5-Coder-7B-Instruct,1,0.3505859375
Qwen/Qwen2.5-Coder-7B-Instruct,2,0.44287109375
Qwen/Qwen2.5-Coder-7B-Instruct,3,0.5146484375
Qwen/Qwen2.5-Coder-7B-Instruct,4,0.5703125
Qwen/Qwen2.5-Coder-7B-Instruct,5,0.7060546875
Qwen/Qwen2.5-Coder-7B-Instruct,6,0.71240234375
Qwen/Qwen2.5-Coder-7B-Instruct,7,0.81298828125
Qwen/Qwen2.5-Coder-7B-Instruct,8,0.99560546875
Qwen/Qwen2.5-Coder-7B-Instruct,9,1.08203125
Qwen/Qwen2.5-Coder-7B-Instruct,10,1.130859375
Qwen/Qwen2.5-Coder-7B-Instruct,11,1.181640625
Qwen/Qwen2.5-Coder-7B-Instruct,12,1.1455078125
Qwen/Qwen2.5-Coder-7B-Instruct,13,1.2236328125
Qwen/Qwen2.5-Coder-7B-Instruct,14,1.384765625
Qwen/Qwen2.5-Coder-7B-Instruct,15,1.431640625
Qwen/Qwen2.5-Coder-7B-Instruct,16,1.556640625
Qwen/Qwen2.5-Coder-7B-Instruct,17,2.04296875
Qwen/Qwen2.5-Coder-7B-Instruct,18,4.421875
Qwen/Qwen2.5-Coder-7B-Instruct,19,6.19140625
Qwen/Qwen2.5-Coder-7B-Instruct,20,9.4609375
Qwen/Qwen2.5-Coder-7B-Instruct,21,10.1484375
Qwen/Qwen2.5-Coder-7B-Instruct,22,11.0546875
Qwen/Qwen2.5-Coder-7B-Instruct,23,12.234375
Qwen/Qwen2.5-Coder-7B-Instruct,24,14.0546875
Qwen/Qwen2.5-Coder-7B-Instruct,25,16.625
Qwen/Qwen2.5-Coder-7B-Instruct,26,19.5
Qwen/Qwen2.5-Coder-7B-Instruct,27,5.7265625
meta-llama/Llama-3.1-8B-Instruct,0,0.037506103515625
meta-llama/Llama-3.1-8B-Instruct,1,0.057220458984375
meta-llama/Llama-3.1-8B-Instruct,2,0.091796875
meta-llama/Llama-3.1-8B-Instruct,3,0.1463623046875
meta-llama/Llama-3.1-8B-Instruct,4,0.194091796875
meta-llama/Llama-3.1-8B-Instruct,5,0.241455078125
meta-llama/Llama-3.1-8B-Instruct,6,0.27197265625
meta-llama/Llama-3.1-8B-Instruct,7,0.341796875
meta-llama/Llama-3.1-8B-Instruct,8,0.355712890625
meta-llama/Llama-3.1-8B-Instruct,9,0.395263671875
meta-llama/Llama-3.1-8B-Instruct,10,0.396240234375
meta-llama/Llama-3.1-8B-Instruct,11,0.379150390625
meta-llama/Llama-3.1-8B-Instruct,12,0.423095703125
meta-llama/Llama-3.1-8B-Instruct,13,0.485595703125
meta-llama/Llama-3.1-8B-Instruct,14,0.61767578125
meta-llama/Llama-3.1-8B-Instruct,15,0.7880859375
meta-llama/Llama-3.1-8B-Instruct,16,0.93505859375
meta-llama/Llama-3.1-8B-Instruct,17,1.201171875
meta-llama/Llama-3.1-8B-Instruct,18,1.4013671875
