MODELLO,LAYER,Baseline_Vanilla (S_base - V_base),AA_Overshooting (S_AA - S_base),AA_Forza (S_AA - V_base),AA_Confine (S_AA - V_AA),PI_Overshooting (S_PI - S_base),PI_Forza (S_PI - V_base),PI_Confine (S_PI - V_PI),AP_Overshooting (S_AP - S_base),AP_Forza (S_AP - V_base),AP_Confine (S_AP - V_AP),Steering_Overshooting (S_Steering - S_base),Steering_Forza (S_Steering - V_base),Steering_Confine (S_Steering - V_Steering),AA (S_base - V_AA),AA (V_base - V_AA),PI (S_base - V_PI),PI (V_base - V_PI),AP (S_base - V_AP),AP (V_base - V_AP),Sbase-Vsteering (S_base - V_Steering),Steering_Overshooting (V_base - V_Steering)
Qwen/Qwen2.5-7B-Instruct,0,0.2062,0.6206,0.512,0.2443,0.4817,0.518,0.4675,1.505,1.585,0.2421,0.2062,0,,0.6846,0.5825,0.7114,0.8115,1.5205,1.594,,
Qwen/Qwen2.5-7B-Instruct,1,0.2686,0.884,0.723,0.3242,0.731,0.7583,0.6484,1.628,1.692,0.2817,0.2686,0,,0.9126,0.7563,0.9766,1.103,1.654,1.704,,
Qwen/Qwen2.5-7B-Instruct,2,0.353,1.174,0.9727,0.4658,1.546,1.502,0.846,2.365,2.406,0.3271,0.353,0,,1.235,1.071,1.708,1.743,2.37,2.395,,
Qwen/Qwen2.5-7B-Instruct,3,0.4128,1.505,1.273,0.6206,2.348,2.256,0.9976,3.006,2.998,0.3743,0.4128,0,,1.579,1.393,2.494,2.465,2.992,2.975,,
Qwen/Qwen2.5-7B-Instruct,4,0.454,1.767,1.482,0.698,2.912,2.76,1.176,3.627,3.549,0.4185,0.454,0,,1.826,1.595,2.852,2.773,3.643,3.55,,
Qwen/Qwen2.5-7B-Instruct,5,0.5137,2.193,1.874,0.8623,3.334,3.17,1.445,4.336,4.25,0.549,0.5137,0,,2.281,2.02,3.23,3.15,4.375,4.27,,
Qwen/Qwen2.5-7B-Instruct,6,0.5464,2.404,2.064,0.932,3.537,3.309,1.658,4.195,4.066,0.621,0.5464,0,,2.414,2.14,3.367,3.23,4.316,4.16,,
Qwen/Qwen2.5-7B-Instruct,7,0.573,2.549,2.2,1.026,3.521,3.264,1.848,4.285,4.137,0.7095,0.573,0,,2.523,2.244,3.43,3.262,4.47,4.285,,
Qwen/Qwen2.5-7B-Instruct,8,0.662,2.877,2.508,1.244,3.9,3.629,2.059,4.555,4.395,0.922,0.662,0,,2.875,2.582,3.82,3.64,4.832,4.625,,
Qwen/Qwen2.5-7B-Instruct,9,0.709,3.021,2.566,1.307,4.316,4.04,2.166,4.574,4.363,0.919,0.709,0,,2.844,2.504,4.285,4.11,4.875,4.63,,
Qwen/Qwen2.5-7B-Instruct,10,0.7227,3.361,2.893,1.435,4.355,4.035,2.268,4.906,4.67,0.923,0.7227,0,,3.164,2.824,4.406,4.203,5.25,4.992,,
Qwen/Qwen2.5-7B-Instruct,11,0.837,3.691,3.152,1.6,4.67,4.36,2.273,5.11,4.88,0.979,0.837,0,,3.494,3.113,4.78,4.562,5.504,5.242,,
Qwen/Qwen2.5-7B-Instruct,12,0.8174,3.777,3.248,1.599,4.79,4.46,2.26,4.945,4.72,0.974,0.8174,0,,3.49,3.117,4.945,4.684,5.316,5.066,,
Qwen/Qwen2.5-7B-Instruct,13,1.031,4.41,3.734,1.715,5.844,5.484,2.678,5.527,5.12,1.281,1.031,0,,4.195,3.668,5.95,5.645,5.957,5.492,,
Qwen/Qwen2.5-7B-Instruct,14,1.107,4.85,4.08,1.815,7.02,6.66,2.756,5.78,5.312,1.667,1.107,0,,4.598,3.97,6.953,6.652,6.375,5.816,,
Qwen/Qwen2.5-7B-Instruct,15,1.094,4.844,4.113,1.775,8.61,8.336,2.838,5.652,5.195,1.775,1.094,0,,4.63,4.03,8.555,8.32,6.168,5.617,,
Qwen/Qwen2.5-7B-Instruct,16,1.154,5.023,4.258,1.866,9.79,9.51,3.11,6.176,5.68,2,1.154,0,,4.76,4.133,9.64,9.41,6.613,6.016,,
Qwen/Qwen2.5-7B-Instruct,17,1.357,6.01,5.176,2.223,11.87,11.58,3.316,6.934,6.453,2.541,1.357,0,,5.562,4.86,11.766,11.516,7.31,6.65,,
Qwen/Qwen2.5-7B-Instruct,18,2.764,8.23,6.977,3.371,16.73,16.31,4.67,7.836,7.117,3.543,2.764,0,,8.19,6.727,16.3,15.74,8.8,7.39,,
Qwen/Qwen2.5-7B-Instruct,19,4.473,10.4,9.03,4.5,23.62,23.39,6.418,10.055,9.39,5.3,23.7,27.62,,10.375,8.24,22.77,22.28,11.586,9.29,,
Qwen/Qwen2.5-7B-Instruct,20,5.523,12.74,11.16,5.664,30.03,29.5,8.305,12.01,11.19,6.332,23.86,28.14,,12.58,10.08,28.8,27.94,14.13,11.33,,
Qwen/Qwen2.5-7B-Instruct,21,5.605,12.85,11.24,5.793,29.53,28.98,8.54,12.22,11.38,6.41,24.08,28.33,,12.69,10.16,28.28,27.38,14.45,11.66,,
Qwen/Qwen2.5-7B-Instruct,22,6.582,14.45,12.516,6.527,36.12,35.53,10.71,13.695,13.03,7.367,26.2,31.17,,14.29,11.24,34.47,33.44,16.19,13.07,,
Qwen/Qwen2.5-7B-Instruct,23,7.11,16.19,13.93,7.145,38.88,38.22,11.734,15.41,14.62,8.07,28.6,33.72,,15.85,12.51,37.16,36.06,18.1,14.79,,
Qwen/Qwen2.5-7B-Instruct,24,7.93,18.42,15.74,8.35,43.44,42.6,13.22,17.48,16.42,9.125,30.42,36.03,,17.7,13.84,41.7,40.44,20.75,16.98,,
Qwen/Qwen2.5-7B-Instruct,25,9.69,21.77,18.44,9.805,50.8,49.62,16.02,21.94,20.08,10.836,34.03,40.3,,21.31,16.92,49.47,47.84,25.55,20.75,,
Qwen/Qwen2.5-7B-Instruct,26,11.266,26.62,22.77,11.51,63.03,62.25,20.53,28.53,26.3,13.09,39.2,46.7,,26.48,21.61,63.06,61.8,31.78,26.36,,
Qwen/Qwen2.5-7B-Instruct,27,9.125,22.11,19.02,9.29,49.72,50.78,17.61,24.64,23.75,13.54,28.73,35.06,,21.95,18.05,48.66,49.22,27.1,23.08,,
Qwen/Qwen2.5-Coder-7B-Instruct,0,0.2917,1.092,0.9014,0.3965,1.068,0.9697,0.2411,1.978,1.952,0.2435,0.2917,0,,1.246,1.023,1.013,0.9175,1.932,1.9,,
Qwen/Qwen2.5-Coder-7B-Instruct,1,0.3506,1.433,1.2,0.4722,1.285,1.171,0.298,2.139,2.12,0.2869,0.3506,0,,1.632,1.373,1.204,1.094,2.12,2.092,,
Qwen/Qwen2.5-Coder-7B-Instruct,2,0.4429,1.893,1.673,0.6504,1.805,1.722,0.4583,2.986,2.947,0.4087,0.4429,0,,2.195,1.965,1.74,1.644,2.982,2.934,,
Qwen/Qwen2.5-Coder-7B-Instruct,3,0.5146,2.363,2.117,0.8022,2.447,2.346,0.553,3.537,3.463,0.5015,0.5146,0,,2.725,2.467,2.363,2.254,3.59,3.502,,
Qwen/Qwen2.5-Coder-7B-Instruct,4,0.5703,2.533,2.287,0.883,3,2.848,0.6973,4.03,3.93,0.5605,0.5703,0,,2.922,2.662,2.992,2.828,4.12,4.004,,
Qwen/Qwen2.5-Coder-7B-Instruct,5,0.706,3.1,2.777,1.093,3.732,3.502,0.8774,5.2,5.035,0.678,0.706,0,,3.62,3.281,3.703,3.457,5.312,5.133,,
Qwen/Qwen2.5-Coder-7B-Instruct,6,0.7124,3.398,3.102,1.135,3.955,3.723,0.9497,5.43,5.25,0.7744,0.7124,0,,3.926,3.623,3.846,3.604,5.605,5.41,,
Qwen/Qwen2.5-Coder-7B-Instruct,7,0.813,3.768,3.404,1.235,4.617,4.305,1.141,6.066,5.773,0.9346,0.813,0,,4.234,3.883,4.453,4.12,6.324,6.02,,
Qwen/Qwen2.5-Coder-7B-Instruct,8,0.9956,3.967,3.535,1.328,4.65,4.348,1.455,6.184,5.812,1.068,0.9956,0,,4.438,4.027,4.62,4.227,6.508,6.125,,
Qwen/Qwen2.5-Coder-7B-Instruct,9,1.082,4.273,3.764,1.278,5.496,5.086,1.55,6.684,6.2,1.343,1.082,0,,4.73,4.242,5.414,4.95,7.2,6.67,,
Qwen/Qwen2.5-Coder-7B-Instruct,10,1.131,4.543,3.965,1.288,5.754,5.266,1.545,6.832,6.3,1.41,1.131,0,,5.03,4.5,5.664,5.117,7.273,6.695,,
Qwen/Qwen2.5-Coder-7B-Instruct,11,1.182,4.777,4.152,1.279,6.316,5.773,1.499,7.188,6.62,1.652,1.182,0,,5.215,4.63,6.105,5.527,7.715,7.074,,
Qwen/Qwen2.5-Coder-7B-Instruct,12,1.1455,4.67,4.055,1.217,7.09,6.504,1.43,7.105,6.54,1.801,1.1455,0,,5.004,4.434,6.86,6.246,7.598,6.945,,
Qwen/Qwen2.5-Coder-7B-Instruct,13,1.224,5.082,4.426,1.329,9.11,8.49,1.653,7.863,7.266,2.127,1.224,0,,5.35,4.773,8.8,8.15,8.29,7.58,,
Qwen/Qwen2.5-Coder-7B-Instruct,14,1.385,6.023,5.324,1.417,10.61,9.984,1.931,8.836,8.25,2.727,1.385,0,,6.215,5.57,10.29,9.59,9.36,8.586,,
Qwen/Qwen2.5-Coder-7B-Instruct,15,1.432,6.42,5.715,1.492,11.836,11.24,2.146,9.125,8.586,2.988,1.432,0,,6.605,5.95,11.34,10.664,9.59,8.82,,
